MejorEval,PromedioEval,ContadorFueraDeRango,UltimaEnRango
12.767425,18.852700,1,1.0
12.767425,19.878120,1,1.0
12.767425,20.267563,1,1.0
12.767425,20.940813,1,1.0
12.767425,19.942784,1,1.0
12.767425,21.095915,1,1.0
12.767425,20.230328,1,1.0
12.767425,20.791010,1,1.0
12.767425,20.861595,1,1.0
12.767425,20.239562,1,1.0
12.767425,20.705985,1,1.0
12.767425,19.950262,1,1.0
12.767425,20.119582,1,1.0
12.767425,20.102164,1,1.0
12.767425,19.840502,1,1.0
12.767425,19.581369,1,1.0
12.767425,19.536729,1,1.0
12.767425,19.356423,1,1.0
12.544867,18.957575,1,1.0
11.137357,18.505807,1,1.0
11.137357,18.319804,1,1.0
9.376678,17.691281,1,1.0
9.376678,17.905090,1,1.0
9.376678,18.599390,1,1.0
9.376678,19.163303,1,1.0
9.376678,18.214595,1,1.0
9.376678,18.681564,1,1.0
9.376678,18.431203,1,1.0
9.376678,18.427841,1,1.0
9.376678,18.161658,1,1.0
9.376678,17.983366,1,1.0
9.376678,17.717935,1,1.0
9.376678,17.320276,1,1.0
9.136857,17.659068,1,1.0
9.136857,17.050221,1,1.0
9.136857,18.583232,1,1.0
9.136857,17.828231,1,1.0
9.136857,18.269038,1,1.0
8.082714,18.335227,1,1.0
8.082714,17.759280,1,1.0
8.082714,18.476431,1,1.0
8.082714,17.902289,1,1.0
8.082714,17.248444,1,1.0
8.082714,17.702877,1,1.0
8.082714,17.349092,1,1.0
8.082714,16.414034,1,1.0
8.082714,16.842880,1,1.0
8.082714,16.463205,1,1.0
8.082714,16.253739,1,1.0
8.082714,16.854938,1,1.0
8.082714,16.135450,1,1.0
8.082714,15.935067,1,1.0
8.082714,16.484651,1,1.0
8.082714,15.541008,1,1.0
7.880549,15.697180,1,1.0
7.880549,15.012776,1,1.0
7.794156,14.636407,1,1.0
7.577545,14.446704,1,1.0
7.130776,14.386657,1,1.0
6.825877,13.653336,1,1.0
5.581270,13.913276,1,1.0
5.581270,13.687132,1,1.0
5.581270,15.054891,1,1.0
3.933007,14.067105,1,1.0
3.933007,13.821575,1,1.0
3.933007,14.624816,1,1.0
3.933007,13.172266,1,1.0
3.933007,12.389970,1,1.0
3.933007,12.534819,1,1.0
3.933007,12.165974,1,1.0
3.933007,11.623442,1,1.0
3.933007,12.516846,1,1.0
3.834962,11.345381,1,1.0
3.834962,11.293616,1,1.0
3.834962,11.180903,1,1.0
3.834962,10.221925,1,1.0
3.834962,10.640472,1,1.0
3.834962,10.150861,1,1.0
3.834962,9.475696,1,1.0
3.583915,9.094938,1,1.0
3.583915,8.850540,1,1.0
3.583915,9.220752,1,1.0
3.583915,9.593399,1,1.0
3.575555,8.421640,1,1.0
3.575555,8.773525,1,1.0
3.575555,8.588394,1,1.0
3.575555,8.274267,1,1.0
3.575555,8.058415,1,1.0
3.350062,7.219933,1,1.0
2.967116,7.640958,1,1.0
2.967116,7.170637,1,1.0
2.967116,7.254419,1,1.0
2.967116,6.618014,1,1.0
2.774485,6.602268,1,1.0
2.774485,6.197865,1,1.0
2.774485,6.213697,1,1.0
2.774485,5.907794,1,1.0
2.507653,5.625924,1,1.0
2.208069,5.374113,1,1.0
2.208069,5.305174,1,1.0
2.208069,5.936890,1,1.0
2.208069,5.823270,1,1.0
2.208069,5.205251,1,1.0
2.208069,5.711099,1,1.0
2.208069,5.420590,1,1.0
2.208069,5.311979,1,1.0
2.208069,5.076985,1,1.0
2.208069,4.946591,1,1.0
2.084946,4.736765,1,1.0
1.871098,4.582522,1,1.0
1.871098,4.636421,1,1.0
1.397977,4.448330,1,1.0
1.397977,4.297319,1,1.0
1.397977,4.548656,1,1.0
1.397977,4.287235,1,1.0
1.397977,4.236312,1,1.0
1.397977,4.349354,1,1.0
1.397977,4.404898,1,1.0
1.397977,3.758715,1,1.0
1.397977,4.051761,1,1.0
1.397977,3.916354,1,1.0
1.208123,3.707357,1,1.0
1.208123,3.438383,1,1.0
1.208123,4.249803,1,1.0
1.208123,4.115741,1,1.0
1.208123,3.850076,1,1.0
1.208123,4.010859,1,1.0
1.208123,3.795719,1,1.0
1.208123,3.649769,1,1.0
1.208123,4.061871,1,1.0
1.208123,3.970075,1,1.0
1.208123,3.770469,1,1.0
1.208123,4.345460,1,1.0
1.208123,4.033781,1,1.0
1.208123,3.592330,1,1.0
1.208123,3.947930,1,1.0
1.123811,3.380726,1,1.0
1.109045,3.286377,1,1.0
1.017746,3.293827,1,1.0
1.017746,3.186492,1,1.0
1.017746,3.323710,1,1.0
1.017746,3.095573,1,1.0
1.017746,3.106951,1,1.0
1.017746,3.088792,1,1.0
1.017746,3.013489,1,1.0
1.017746,2.861605,1,1.0
0.997181,2.897216,1,1.0
0.921933,2.552478,1,1.0
0.818528,2.489241,1,1.0
0.799459,2.418237,1,1.0
0.797201,2.460413,1,1.0
0.618693,2.333248,1,1.0
0.479142,2.223076,1,1.0
0.479142,2.169473,1,1.0
0.479142,2.345851,1,1.0
0.479142,2.125640,1,1.0
0.479142,1.909984,1,1.0
0.479142,1.870602,1,1.0
0.479142,1.919785,1,1.0
0.236985,1.697186,1,1.0
0.236985,1.555126,1,1.0
0.236985,1.651479,1,1.0
0.236985,1.463482,1,1.0
