MejorEval,PromedioEval,ContadorFueraDeRango,UltimaEnRango
87.750166,206.604730,3,1.0
53.112102,354.060150,3,1.0
16.225721,223.140713,3,1.0
16.225721,233.054730,3,1.0
16.225721,414.968185,3,1.0
16.225721,430.659882,3,1.0
16.225721,335.115986,3,1.0
16.225721,369.488974,3,1.0
16.225721,441.218769,3,1.0
16.225721,340.008536,3,1.0
16.225721,414.550438,3,1.0
16.225721,555.227772,3,1.0
16.225721,395.242498,3,1.0
16.225721,547.042722,3,1.0
16.225721,350.330584,3,1.0
16.225721,361.446633,3,1.0
16.225721,247.278936,3,1.0
16.225721,312.871727,3,1.0
16.225721,221.307353,3,1.0
16.225721,234.890865,3,1.0
16.225721,200.034209,3,1.0
16.225721,181.289444,3,1.0
15.998958,136.647930,3,1.0
11.797469,150.249012,3,1.0
11.797469,105.746408,3,1.0
11.797469,128.085265,3,1.0
11.797469,164.889466,3,1.0
11.797469,109.802567,3,1.0
11.797469,156.937029,3,1.0
11.797469,161.680319,3,1.0
11.797469,108.000316,3,1.0
11.797469,136.046222,3,1.0
11.797469,133.942725,3,1.0
11.797469,96.280344,3,1.0
11.797469,106.990070,3,1.0
11.797469,114.806040,3,1.0
11.797469,89.248795,3,1.0
11.254940,87.793717,3,1.0
10.371403,87.730759,3,1.0
7.677380,87.227681,3,1.0
7.263101,82.732584,3,1.0
6.351421,97.893255,3,1.0
6.351421,86.717169,3,1.0
6.257743,93.720611,3,1.0
4.961437,87.295785,3,1.0
4.961437,51.712506,3,1.0
4.961437,74.185768,3,1.0
4.961437,66.937624,3,1.0
4.961437,55.970257,3,1.0
4.100476,50.774175,3,1.0
4.100476,63.296111,3,1.0
3.666995,53.517484,3,1.0
3.104435,52.434639,3,1.0
2.719783,41.144221,3,1.0
2.719783,47.543393,3,1.0
2.719783,56.359616,3,1.0
2.719783,52.893123,3,1.0
2.719783,85.051690,3,1.0
2.692102,59.511631,3,1.0
2.692102,80.096316,3,1.0
2.692102,82.344870,3,1.0
2.692102,66.040325,3,1.0
