MejorEval,PromedioEval,ContadorFueraDeRango,UltimaEnRango
106.707259,164.937410,12,1.0
106.707259,225.426094,12,1.0
106.707259,237.962658,12,1.0
106.707259,231.222278,12,1.0
93.624846,206.944400,12,1.0
90.553809,223.895467,12,1.0
82.668475,212.773260,12,1.0
82.668475,227.824610,12,1.0
82.668475,367.414984,12,1.0
80.478601,479.000298,12,1.0
80.478601,341.799976,12,1.0
80.478601,538.352228,12,1.0
80.478601,386.070509,12,1.0
80.478601,503.991753,12,1.0
80.478601,621.854925,12,1.0
80.478601,425.642240,12,1.0
80.478601,659.913459,12,1.0
80.478601,437.103133,12,1.0
80.478601,458.912365,12,1.0
80.478601,566.137415,12,1.0
72.237447,357.553934,12,1.0
68.895876,362.655599,12,1.0
68.895876,286.919924,12,1.0
68.895876,318.341567,12,1.0
68.895876,310.202184,12,1.0
68.895876,365.349611,12,1.0
49.605149,289.848654,12,1.0
49.605149,302.318040,12,1.0
49.605149,307.101876,12,1.0
49.605149,259.403575,12,1.0
49.605149,323.327388,12,1.0
49.605149,296.113889,12,1.0
49.605149,238.417598,12,1.0
49.605149,265.928414,12,1.0
49.605149,293.062437,12,1.0
49.605149,427.258102,12,1.0
49.605149,554.053480,12,1.0
49.605149,468.105819,12,1.0
47.767544,638.068753,12,1.0
45.486886,210.638556,12,1.0
45.468612,279.534217,12,1.0
45.468612,220.710235,12,1.0
45.468612,251.506068,12,1.0
39.547440,163.963300,12,1.0
39.547440,174.544416,12,1.0
39.547440,146.327680,12,1.0
39.547440,169.866887,12,1.0
35.294597,135.504804,12,1.0
29.370413,158.408191,12,1.0
29.370413,132.327759,12,1.0
29.370413,125.547516,12,1.0
29.370413,131.762406,12,1.0
29.370413,131.046859,12,1.0
29.370413,110.462855,12,1.0
21.243022,93.964328,12,1.0
15.871906,104.867330,12,1.0
15.871906,96.047651,12,1.0
15.565938,88.927891,12,1.0
15.565938,84.690380,12,1.0
15.565938,85.902249,12,1.0
14.783402,81.353366,12,1.0
14.351097,88.589482,12,1.0
14.351097,75.064697,12,1.0
14.351097,84.018991,12,1.0
14.181245,68.904971,12,1.0
14.181245,72.900080,12,1.0
14.181245,68.543809,12,1.0
14.181245,67.894042,12,1.0
14.181245,65.933593,12,1.0
13.690783,63.987476,12,1.0
13.690783,62.816621,12,1.0
13.690783,63.618285,12,1.0
13.690783,63.451703,12,1.0
13.690783,58.878529,12,1.0
13.690783,59.772811,12,1.0
13.690783,57.372724,12,1.0
13.690783,56.700317,12,1.0
13.690783,55.699169,12,1.0
13.429285,51.678477,12,1.0
13.429285,50.363432,12,1.0
13.429285,53.000512,12,1.0
11.728961,49.368278,12,1.0
11.196812,48.763296,12,1.0
11.196812,46.390596,12,1.0
11.196812,45.170373,12,1.0
10.885753,48.772207,12,1.0
10.885753,43.292565,12,1.0
10.885753,42.752105,12,1.0
10.885753,43.388175,12,1.0
10.885753,42.434995,12,1.0
10.743614,38.628005,12,1.0
10.743614,38.344758,12,1.0
10.743614,40.151590,12,1.0
10.743614,40.555193,12,1.0
10.743614,37.356067,12,1.0
10.743614,37.455242,12,1.0
10.743614,39.566728,12,1.0
10.484117,38.722336,12,1.0
10.484117,38.644814,12,1.0
10.484117,36.622196,12,1.0
10.484117,35.015360,12,1.0
10.484117,36.551867,12,1.0
10.484117,34.506185,12,1.0
10.484117,36.950060,12,1.0
10.484117,34.636082,12,1.0
10.262383,35.577656,12,1.0
10.262383,34.084689,12,1.0
10.262383,35.680640,12,1.0
10.262383,33.048377,12,1.0
10.262383,32.966827,12,1.0
10.262383,35.406407,12,1.0
10.262383,31.770267,12,1.0
10.262383,31.625508,12,1.0
10.262383,29.054463,12,1.0
10.262383,28.301217,12,1.0
10.262383,30.301312,12,1.0
10.262383,28.141331,12,1.0
10.262383,26.812357,12,1.0
10.262383,28.386425,12,1.0
10.262383,29.098664,12,1.0
10.262383,26.998805,12,1.0
10.262383,24.569374,12,1.0
10.262383,25.182650,12,1.0
10.262383,26.368462,12,1.0
10.218925,23.933570,12,1.0
10.218925,25.328584,12,1.0
10.218925,23.254933,12,1.0
10.179479,22.462028,12,1.0
10.151130,22.350390,12,1.0
10.138324,21.498879,12,1.0
10.138324,22.322439,12,1.0
10.138324,20.256373,12,1.0
10.138324,19.623654,12,1.0
10.111614,18.436629,12,1.0
10.080738,19.318523,12,1.0
10.075498,19.718025,12,1.0
10.028323,18.912622,12,1.0
10.012247,17.393518,12,1.0
10.007840,17.450116,12,1.0
10.007840,17.522156,12,1.0
10.007840,17.173318,12,1.0
9.989194,16.646396,12,1.0
9.982929,15.339969,12,1.0
9.982929,17.116979,12,1.0
9.982929,15.204955,12,1.0
9.982929,15.026443,12,1.0
9.972587,14.687528,12,1.0
9.967791,15.745754,12,1.0
9.967791,14.794013,12,1.0
9.967791,15.392112,12,1.0
9.967791,15.855260,12,1.0
9.967791,14.546763,12,1.0
9.967791,14.971492,12,1.0
9.967791,15.038721,12,1.0
9.967791,14.907524,12,1.0
9.967791,13.434304,12,1.0
9.967791,15.527825,12,1.0
9.967791,15.159175,12,1.0
9.967791,16.492257,12,1.0
9.967703,14.933306,12,1.0
9.964922,15.870018,12,1.0
9.963304,14.186045,12,1.0
9.958970,14.863679,12,1.0
9.958970,13.718066,12,1.0
9.958970,14.819451,12,1.0
9.958970,13.777683,12,1.0
9.958970,13.889128,12,1.0
9.958970,14.753558,12,1.0
9.958970,13.633939,12,1.0
9.958970,14.757067,12,1.0
9.958970,14.604217,12,1.0
9.958970,14.315513,12,1.0
9.954841,14.209025,12,1.0
9.954841,13.584962,12,1.0
9.954841,13.293154,12,1.0
9.954841,13.061966,12,1.0
9.954841,14.008122,12,1.0
9.954841,14.149838,12,1.0
9.954841,13.810951,12,1.0
9.954841,13.552350,12,1.0
9.954841,13.122708,12,1.0
9.954841,13.203528,12,1.0
9.954841,13.565804,12,1.0
9.954841,12.294163,12,1.0
9.953270,12.204003,12,1.0
9.953212,12.765809,12,1.0
9.953212,12.763216,12,1.0
9.953212,12.584830,12,1.0
9.953212,11.890966,12,1.0
9.951216,11.647614,12,1.0
9.951216,13.381001,12,1.0
9.951216,12.394078,12,1.0
9.950809,12.316953,12,1.0
9.950334,12.359759,12,1.0
9.950334,12.260046,12,1.0
9.950334,12.106682,12,1.0
9.950187,12.615512,12,1.0
9.950187,11.911426,12,1.0
9.950187,12.430235,12,1.0
9.950187,11.802415,12,1.0
9.950062,12.279395,12,1.0
9.950062,12.457652,12,1.0
9.950062,11.786185,12,1.0
9.949962,12.325747,12,1.0
9.949962,11.961262,12,1.0
9.949962,11.017275,12,1.0
9.949962,11.906035,12,1.0
9.949962,11.396688,12,1.0
9.949962,11.877866,12,1.0
9.949962,11.242122,12,1.0
9.949962,11.671292,12,1.0
9.949904,11.581961,12,1.0
9.949811,12.112649,12,1.0
9.949735,11.747804,12,1.0
9.949735,11.272410,12,1.0
9.949735,11.272904,12,1.0
9.949735,11.868201,12,1.0
9.949735,11.580167,12,1.0
9.949735,12.138816,12,1.0
9.949735,11.546587,12,1.0
9.949735,11.650517,12,1.0
9.949735,11.979427,12,1.0
9.949735,11.233861,12,1.0
9.949735,11.605693,12,1.0
9.949735,11.307297,12,1.0
9.949735,10.870263,12,1.0
9.949735,11.438036,12,1.0
9.949735,10.728346,12,1.0
9.949735,10.893340,12,1.0
9.949735,10.587649,12,1.0
9.949735,11.487465,12,1.0
9.949735,11.018848,12,1.0
9.949735,10.436243,12,1.0
9.949735,10.966847,12,1.0
9.949735,10.631644,12,1.0
9.949735,10.655769,12,1.0
9.949735,10.834480,12,1.0
9.949735,11.010066,12,1.0
9.949703,10.984370,12,1.0
9.949599,10.292135,12,1.0
8.531209,10.559415,12,1.0
7.943542,28.712350,12,1.0
7.943542,26.780237,12,1.0
7.943542,31.592727,12,1.0
7.943542,28.807299,12,1.0
7.943542,30.669175,12,1.0
7.943542,30.568006,12,1.0
7.943542,31.833739,12,1.0
7.943542,28.776942,12,1.0
7.943542,28.049287,12,1.0
7.943542,26.863920,12,1.0
7.943542,29.328288,12,1.0
7.943542,27.317859,12,1.0
6.918122,25.401517,12,1.0
6.918122,24.523035,12,1.0
6.918122,27.705194,12,1.0
6.918122,29.776331,12,1.0
6.918122,36.956532,12,1.0
6.918122,42.384156,12,1.0
6.918122,30.151473,12,1.0
6.918122,42.399089,12,1.0
6.918122,30.808619,12,1.0
6.918122,31.569162,12,1.0
6.918122,28.896044,12,1.0
6.918122,25.453230,12,1.0
6.918122,26.495525,12,1.0
6.918122,27.913750,12,1.0
6.650185,25.237226,12,1.0
6.650185,22.647845,12,1.0
6.650185,30.431030,12,1.0
6.650185,31.641550,12,1.0
6.650185,30.806176,12,1.0
6.650185,31.080753,12,1.0
6.650185,39.653204,12,1.0
6.650185,27.639988,12,1.0
6.650185,30.970818,12,1.0
6.650185,27.078262,12,1.0
6.650185,23.755960,12,1.0
6.306934,23.423984,12,1.0
6.306934,22.842531,12,1.0
6.306934,24.176839,12,1.0
