MejorEval,PromedioEval,ContadorFueraDeRango,UltimaEnRango
13.107860,40.088999,1,1.0
12.934482,76.144767,1,1.0
11.805343,43.089475,1,1.0
5.856031,43.372678,1,1.0
5.856031,43.651681,1,1.0
5.856031,65.058225,1,1.0
5.856031,67.007782,1,1.0
5.856031,53.151150,1,1.0
5.856031,78.705740,1,1.0
5.856031,54.939968,1,1.0
5.741010,48.084322,1,1.0
4.738443,48.261082,1,1.0
4.738443,43.140904,1,1.0
4.738443,56.696772,1,1.0
4.738443,54.400726,1,1.0
4.738443,51.070219,1,1.0
3.651396,53.222394,1,1.0
3.651396,53.025530,1,1.0
3.651396,55.821940,1,1.0
3.525098,45.569315,1,1.0
3.525098,43.352270,1,1.0
3.525098,36.316828,1,1.0
3.525098,42.555794,1,1.0
1.964866,40.350632,1,1.0
1.964866,37.469224,1,1.0
1.964866,50.096733,1,1.0
1.964866,46.165443,1,1.0
1.964866,36.460644,1,1.0
1.964866,56.686079,1,1.0
1.964866,32.863360,1,1.0
1.964866,51.516416,1,1.0
1.964866,37.506058,1,1.0
1.964866,29.970084,1,1.0
1.964866,25.968908,1,1.0
1.668474,25.029365,1,1.0
0.962791,26.289295,1,1.0
0.962791,21.506046,1,1.0
0.962791,22.557836,1,1.0
0.851719,19.407942,1,1.0
0.851719,24.588554,1,1.0
0.851719,16.372250,1,1.0
0.851719,18.367554,1,1.0
0.851719,21.947587,1,1.0
0.851719,24.611669,1,1.0
0.851719,19.625279,1,1.0
0.851719,23.020240,1,1.0
0.725396,36.907752,1,1.0
0.725396,19.336067,1,1.0
0.701120,46.473528,1,1.0
0.551821,13.330878,1,1.0
0.402439,49.713951,1,1.0
0.384284,15.134657,1,1.0
0.215362,45.877172,1,1.0
0.215362,28.646944,1,1.0
0.215362,37.275281,1,1.0
0.215362,57.600954,1,1.0
0.215362,17.006800,1,1.0
0.099141,17.490460,1,1.0
0.099141,33.881364,1,1.0
0.099141,8.567389,1,1.0
0.099141,24.481521,1,1.0
0.099141,10.058694,1,1.0
0.099141,17.172517,1,1.0
0.099141,24.422837,1,1.0
0.099141,16.989299,1,1.0
0.099141,8.134781,1,1.0
0.099141,9.434901,1,1.0
0.099141,7.864657,1,1.0
0.099141,9.990216,1,1.0
0.099141,10.164996,1,1.0
0.099141,5.776757,1,1.0
0.099141,7.723563,1,1.0
0.099141,6.179994,1,1.0
0.099141,6.412012,1,1.0
0.097729,6.315462,1,1.0
0.086524,8.541668,1,1.0
0.086524,9.516991,1,1.0
0.086524,25.103336,1,1.0
0.086524,13.981119,1,1.0
0.086524,3.774928,1,1.0
0.086524,4.277256,1,1.0
0.086524,3.768208,1,1.0
0.086524,2.823516,1,1.0
0.086524,3.349571,1,1.0
0.086524,4.255669,1,1.0
0.086524,2.443934,1,1.0
0.086524,3.976422,1,1.0
0.086524,3.305113,1,1.0
0.086524,3.453017,1,1.0
0.086524,3.529235,1,1.0
0.057915,2.786056,1,1.0
0.053450,2.447891,1,1.0
0.031731,2.730497,1,1.0
0.031731,1.617113,1,1.0
0.031731,2.619414,1,1.0
0.031731,2.284282,1,1.0
0.031731,1.852358,1,1.0
0.031731,1.782672,1,1.0
0.031731,3.274025,1,1.0
0.031731,2.386831,1,1.0
0.031731,2.430933,1,1.0
0.028575,1.482890,1,1.0
0.019138,2.539539,1,1.0
0.019138,1.500366,1,1.0
0.019138,1.505353,1,1.0
0.019138,0.963355,1,1.0
0.019138,1.078343,1,1.0
0.019138,1.511876,1,1.0
0.019138,1.288551,1,1.0
0.019138,0.570196,1,1.0
0.019138,0.826363,1,1.0
0.019138,0.687795,1,1.0
0.019138,1.117709,1,1.0
0.015319,0.427168,1,1.0
0.009228,0.530390,1,1.0
0.009228,0.720271,1,1.0
0.009228,0.993488,1,1.0
0.009228,0.267435,1,1.0
0.008874,0.826730,1,1.0
0.007785,0.314364,1,1.0
0.007169,0.552375,1,1.0
0.004154,0.509597,1,1.0
0.004154,0.204991,1,1.0
0.004154,0.308022,1,1.0
0.003321,0.207931,1,1.0
0.003321,0.349878,1,1.0
0.003321,0.149745,1,1.0
0.003321,0.261520,1,1.0
0.003321,0.111465,1,1.0
0.003321,0.238541,1,1.0
0.003321,0.207167,1,1.0
0.003321,0.150391,1,1.0
0.003321,0.142032,1,1.0
0.003321,0.144861,1,1.0
0.003321,0.114741,1,1.0
0.003321,0.139065,1,1.0
0.003321,0.132096,1,1.0
0.003321,0.113349,1,1.0
0.003321,0.099116,1,1.0
0.003321,0.122651,1,1.0
0.002912,0.073622,1,1.0
0.002912,0.090901,1,1.0
0.002912,0.058210,1,1.0
0.002836,0.076928,1,1.0
0.002546,0.042295,1,1.0
0.001867,0.049188,1,1.0
0.000607,0.048173,1,1.0
0.000495,0.037352,1,1.0
0.000495,0.036039,1,1.0
0.000495,0.031578,1,1.0
0.000495,0.046454,1,1.0
0.000495,0.042503,1,1.0
0.000495,0.037511,1,1.0
0.000495,0.046162,1,1.0
0.000495,0.032015,1,1.0
0.000495,0.048091,1,1.0
0.000495,0.046918,1,1.0
0.000495,0.030355,1,1.0
0.000495,0.036408,1,1.0
0.000418,0.037739,1,1.0
0.000418,0.021431,1,1.0
0.000418,0.029118,1,1.0
0.000418,0.023505,1,1.0
0.000418,0.021559,1,1.0
0.000418,0.019473,1,1.0
0.000418,0.022851,1,1.0
0.000418,0.015994,1,1.0
0.000418,0.020327,1,1.0
0.000418,0.016765,1,1.0
0.000418,0.012884,1,1.0
0.000418,0.010503,1,1.0
0.000332,0.016595,1,1.0
0.000332,0.011669,1,1.0
0.000332,0.012419,1,1.0
0.000332,0.007848,1,1.0
0.000305,0.014878,1,1.0
0.000305,0.011715,1,1.0
0.000189,0.012054,1,1.0
0.000175,0.007762,1,1.0
0.000155,0.011994,1,1.0
0.000139,0.007215,1,1.0
0.000137,0.011942,1,1.0
0.000130,0.008159,1,1.0
0.000106,0.008196,1,1.0
0.000106,0.008622,1,1.0
0.000106,0.004914,1,1.0
0.000095,0.005163,1,1.0
0.000092,0.003502,1,1.0
0.000091,0.004156,1,1.0
0.000083,0.003836,1,1.0
0.000067,0.003220,1,1.0
0.000029,0.004432,1,1.0
0.000029,0.003541,1,1.0
0.000029,0.004732,1,1.0
0.000029,0.002180,1,1.0
0.000029,0.002295,1,1.0
0.000023,0.001353,1,1.0
0.000022,0.001774,1,1.0
0.000022,0.001017,1,1.0
0.000022,0.001324,1,1.0
0.000022,0.000840,1,1.0
0.000022,0.000869,1,1.0
0.000022,0.000921,1,1.0
0.000022,0.000943,1,1.0
0.000022,0.001200,1,1.0
0.000022,0.001011,1,1.0
0.000022,0.000751,1,1.0
0.000021,0.000601,1,1.0
0.000021,0.000701,1,1.0
0.000021,0.000757,1,1.0
0.000021,0.000687,1,1.0
0.000021,0.000642,1,1.0
0.000021,0.000476,1,1.0
0.000021,0.000584,1,1.0
0.000021,0.000468,1,1.0
0.000021,0.000615,1,1.0
0.000021,0.000541,1,1.0
0.000021,0.000631,1,1.0
0.000013,0.000818,1,1.0
0.000013,0.000657,1,1.0
0.000013,0.000333,1,1.0
0.000013,0.000397,1,1.0
0.000013,0.000393,1,1.0
0.000006,0.000505,1,1.0
0.000006,0.000259,1,1.0
0.000006,0.000382,1,1.0
0.000006,0.000373,1,1.0
0.000006,0.000177,1,1.0
0.000006,0.000267,1,1.0
0.000006,0.000167,1,1.0
0.000006,0.000171,1,1.0
0.000006,0.000181,1,1.0
0.000006,0.000172,1,1.0
0.000006,0.000130,1,1.0
0.000006,0.000156,1,1.0
0.000006,0.000088,1,1.0
0.000006,0.000139,1,1.0
0.000006,0.000102,1,1.0
0.000006,0.000129,1,1.0
0.000003,0.000096,1,1.0
0.000001,0.000092,1,1.0
0.000001,0.000075,1,1.0
0.000001,0.000090,1,1.0
0.000001,0.000068,1,1.0
0.000001,0.000071,1,1.0
0.000001,0.000086,1,1.0
0.000001,0.000071,1,1.0
0.000001,0.000088,1,1.0
0.000001,0.000073,1,1.0
0.000001,0.000047,1,1.0
0.000001,0.000041,1,1.0
0.000001,0.000043,1,1.0
0.000001,0.000055,1,1.0
0.000001,0.000060,1,1.0
0.000001,0.000062,1,1.0
0.000001,0.000036,1,1.0
0.000001,0.000053,1,1.0
0.000001,0.000055,1,1.0
0.000001,0.000048,1,1.0
0.000001,0.000054,1,1.0
0.000001,0.000027,1,1.0
0.000000,0.000024,1,1.0
0.000000,0.000024,1,1.0
0.000000,0.000019,1,1.0
0.000000,0.000021,1,1.0
0.000000,0.000021,1,1.0
0.000000,0.000024,1,1.0
0.000000,0.000018,1,1.0
0.000000,0.000028,1,1.0
0.000000,0.000015,1,1.0
0.000000,0.000010,1,1.0
0.000000,0.000011,1,1.0
0.000000,0.000007,1,1.0
0.000000,0.000008,1,1.0
0.000000,0.000007,1,1.0
0.000000,0.000007,1,1.0
0.000000,0.000005,1,1.0
0.000000,0.000005,1,1.0
0.000000,0.000006,1,1.0
0.000000,0.000003,1,1.0
0.000000,0.000004,1,1.0
0.000000,0.000004,1,1.0
0.000000,0.000003,1,1.0
0.000000,0.000003,1,1.0
0.000000,0.000003,1,1.0
0.000000,0.000003,1,1.0
0.000000,0.000003,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000004,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000002,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000001,1,1.0
0.000000,0.000001,1,1.0
