# Semilla: 1729462187
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
19.629625,20.999802,0.486004,0.340071,0.998718
19.293318,20.927464,0.483420,0.325786,0.997912
18.679203,20.920446,0.476618,0.329000,0.997804
18.679203,20.877115,0.472884,0.300714,0.996954
18.679203,20.963363,0.471771,0.309071,0.995904
18.679203,20.874482,0.466086,0.308429,0.993941
18.679203,20.870364,0.460014,0.309000,0.995030
18.679203,20.938692,0.455420,0.294286,0.993401
18.679203,20.822726,0.452112,0.300929,0.992128
18.679203,20.838184,0.447790,0.304000,0.991195
18.679203,20.909233,0.451167,0.297000,0.993842
18.679203,20.987869,0.447939,0.301000,0.991319
18.679203,20.910709,0.443004,0.305143,0.991709
18.679203,20.959537,0.443022,0.282357,0.989552
18.679203,20.944085,0.438733,0.287714,0.989219
18.679203,21.048527,0.430371,0.279571,0.987979
18.679203,21.022804,0.428010,0.273929,0.986708
18.679203,20.914074,0.418545,0.272857,0.985320
18.679203,20.924745,0.413673,0.265286,0.983355
18.402044,20.826837,0.414014,0.259643,0.984235
18.402044,20.829774,0.412843,0.272071,0.981712
18.268942,20.819615,0.412469,0.259429,0.983781
18.268942,20.852833,0.404733,0.258571,0.980860
18.268942,20.821825,0.403690,0.256214,0.979694
18.268942,20.863424,0.402576,0.245071,0.980210
18.268942,20.758750,0.392851,0.254643,0.979784
17.659716,20.779825,0.391653,0.257571,0.977995
17.659716,20.754814,0.392298,0.252500,0.976484
17.659716,20.764776,0.389982,0.234286,0.974858
17.659716,20.680718,0.378229,0.234214,0.971639
17.659716,20.768687,0.376557,0.232286,0.973680
17.659716,20.894825,0.381947,0.251929,0.975982
17.659716,20.957751,0.375594,0.240786,0.973337
17.659716,20.918827,0.374047,0.241000,0.974143
17.659716,20.866736,0.375473,0.241500,0.975488
17.659716,20.799949,0.367563,0.235429,0.976421
17.659716,20.765650,0.367798,0.226214,0.972692
17.659716,20.822357,0.361851,0.232000,0.970983
17.659716,20.873488,0.356657,0.225286,0.969868
17.659716,20.783512,0.354306,0.220214,0.968506
17.074916,20.779147,0.345806,0.211000,0.965628
17.074916,20.689445,0.345586,0.208143,0.964307
17.074916,20.682174,0.344598,0.223000,0.966365
17.074916,20.591898,0.341278,0.211929,0.967103
17.074916,20.590499,0.339957,0.220071,0.967068
17.042922,20.562866,0.346214,0.219857,0.968912
16.776693,20.499372,0.349243,0.224929,0.969244
16.776693,20.662381,0.346549,0.210214,0.968676
16.776693,20.558214,0.346961,0.222357,0.968975
16.776693,20.596129,0.345741,0.215214,0.966319
16.776693,20.704929,0.346004,0.222714,0.966891
16.776693,20.700087,0.343216,0.214714,0.962417
16.776693,20.683024,0.347896,0.227071,0.963900
16.696878,20.357695,0.345100,0.214429,0.960182
16.516940,20.333762,0.337890,0.212571,0.957212
16.216599,20.270796,0.334688,0.209429,0.956201
15.764300,20.272226,0.341724,0.225143,0.955782
15.764300,20.235352,0.334667,0.209857,0.951609
15.764300,20.458835,0.336980,0.210500,0.953681
15.764300,20.444560,0.329243,0.203357,0.953579
15.764300,20.160652,0.318163,0.185071,0.951478
15.764300,20.223787,0.325018,0.199214,0.950655
15.634637,20.113663,0.328118,0.201571,0.953129
15.634637,20.317291,0.331057,0.203143,0.954964
15.634637,20.254141,0.331510,0.198357,0.957629
15.115945,20.013166,0.331286,0.207786,0.956902
15.115945,20.005997,0.324610,0.202286,0.957461
15.115945,20.069453,0.322184,0.188500,0.956243
15.115945,20.125566,0.323745,0.202286,0.955526
14.356043,19.766240,0.318190,0.197857,0.952987
14.356043,20.076294,0.314227,0.200500,0.950452
14.356043,19.799617,0.320614,0.193500,0.949046
14.356043,19.677141,0.315751,0.186286,0.951292
14.356043,19.800661,0.319549,0.194714,0.951717
14.356043,20.054015,0.322637,0.212286,0.952362
14.356043,19.975267,0.324035,0.210143,0.953529
14.356043,19.837557,0.325849,0.202071,0.953881
14.356043,20.076603,0.328222,0.200643,0.956378
14.356043,20.037482,0.330408,0.204071,0.952537
14.356043,19.742101,0.326849,0.203500,0.952566
14.356043,19.787805,0.327429,0.206429,0.953825
14.356043,19.877563,0.330892,0.202429,0.951347
14.356043,19.734121,0.326404,0.193786,0.949074
14.356043,19.637824,0.323443,0.209214,0.948704
14.356043,19.629099,0.328855,0.213857,0.950736
14.356043,19.266889,0.317463,0.188286,0.949037
14.356043,19.577635,0.320396,0.196286,0.950422
14.356043,19.586641,0.318308,0.194286,0.949452
14.356043,19.497367,0.320604,0.196571,0.951939
14.356043,19.646749,0.320482,0.195571,0.952158
14.356043,19.646659,0.321355,0.180929,0.951691
14.356043,19.582304,0.309859,0.185714,0.947418
14.356043,19.677851,0.317314,0.189214,0.949284
14.356043,19.787217,0.320308,0.201571,0.951946
14.356043,19.827844,0.318724,0.196071,0.951279
14.356043,19.948426,0.315816,0.188357,0.946585
14.356043,19.706544,0.311080,0.177714,0.942902
14.091696,19.314938,0.300518,0.177357,0.944037
13.701289,19.559303,0.302745,0.195143,0.945492
13.012878,19.784557,0.301367,0.181357,0.947108
13.012878,19.846818,0.299082,0.188357,0.951021
13.012878,19.646447,0.296814,0.182643,0.949183
13.012878,19.425745,0.301216,0.180786,0.951092
13.012878,19.628795,0.300016,0.181857,0.954614
13.012878,19.625124,0.299547,0.183500,0.958790
13.012878,19.415325,0.302637,0.185214,0.957615
13.012878,19.513334,0.302361,0.185143,0.959614
13.012878,19.236668,0.307414,0.191357,0.963166
13.012878,19.775255,0.308671,0.192500,0.964842
13.012878,19.519322,0.305222,0.192929,0.966128
13.012878,19.647421,0.307408,0.184643,0.962551
13.012878,19.506207,0.301916,0.184143,0.961650
13.012878,19.222070,0.304212,0.187571,0.961615
13.012878,19.210182,0.299439,0.187500,0.965122
13.012878,18.849832,0.298359,0.184500,0.964144
13.012878,19.052125,0.301233,0.187643,0.959738
13.012878,19.179286,0.304894,0.193357,0.959730
13.012878,19.027156,0.306461,0.194929,0.961687
13.012878,19.486725,0.302122,0.189286,0.962633
11.836106,19.015383,0.294257,0.180643,0.962767
11.836106,18.889140,0.302694,0.188000,0.965220
11.836106,18.906701,0.298486,0.186143,0.965126
11.836106,19.161172,0.307247,0.194786,0.967096
11.836106,19.296453,0.310918,0.196143,0.967291
11.836106,19.299852,0.314796,0.187286,0.968614
11.836106,19.231987,0.309380,0.196143,0.968159
11.836106,19.094130,0.303202,0.190786,0.968469
11.836106,19.101774,0.304065,0.185071,0.968921
11.836106,18.965832,0.303608,0.189500,0.970221
11.836106,19.407001,0.306898,0.188571,0.969148
