MejorEval,PromedioEval
19.579707,20.904846
19.136099,20.948102
19.136099,21.018408
19.136099,20.973612
19.136099,20.954375
19.136099,20.963327
19.136099,20.993777
19.136099,20.942477
19.136099,20.954150
19.136099,21.003569
19.136099,20.934681
19.136099,20.923786
19.136099,20.895436
19.136099,20.893248
19.136099,20.920091
19.136099,20.910121
19.136099,20.922581
19.136099,20.953129
19.136099,20.963960
19.136099,20.917303
19.136099,20.915684
19.136099,20.904171
18.995004,20.830103
18.995004,20.886174
18.995004,20.794504
18.995004,20.876820
18.995004,20.938777
18.995004,20.907661
18.995004,20.941014
18.995004,20.929488
18.995004,20.963990
18.995004,20.941491
17.397846,20.874879
17.397846,20.879108
16.994145,20.848128
16.994145,20.892215
16.994145,20.805314
16.994145,20.850192
16.994145,20.886651
16.994145,20.950254
16.043250,20.857894
16.043250,20.858866
16.043250,20.875001
16.043250,20.690160
16.043250,20.906204
15.483414,20.853718
15.483414,20.829369
15.483414,20.817618
15.483414,20.892848
15.483414,20.903541
15.483414,20.817664
15.483414,20.846008
15.483414,20.889392
15.483414,20.821747
15.483414,20.816060
15.483414,20.812103
15.483414,20.722368
15.483414,20.833867
15.483414,20.774974
15.483414,20.881619
15.483414,20.869387
15.483414,20.900481
15.483414,20.863377
15.483414,20.805583
15.483414,20.896715
15.483414,20.832889
15.483414,20.691647
15.483414,20.832831
15.483414,20.825464
15.483414,20.763577
15.483414,20.698078
15.483414,20.652196
15.483414,20.554624
15.483414,20.544935
15.483414,20.549870
15.483414,20.549026
15.483414,20.459946
15.483414,20.500705
15.393152,20.483372
15.393152,20.353522
15.393152,20.546119
15.393152,20.623831
15.393152,20.650743
15.289974,20.457195
15.289974,20.400478
15.289974,20.644248
15.289974,20.747236
15.289974,20.599843
15.289974,20.607464
15.289974,20.596759
15.289974,20.699883
15.289974,20.709547
15.289974,20.587494
15.289974,20.610471
15.289974,20.501322
15.095020,20.386696
15.095020,20.425306
14.527514,20.275994
14.527514,20.242848
14.527514,20.357847
14.527514,20.334064
14.527514,20.269588
14.527514,20.451206
14.527514,20.425096
14.527514,20.320023
14.392371,20.147573
14.392371,20.253207
14.392371,20.540527
14.392371,20.501571
14.392371,20.444560
14.392371,20.502183
14.392371,20.588869
14.392371,20.602589
14.392371,20.683618
14.354112,20.394613
14.354112,20.531762
14.354112,20.566410
14.354112,20.469464
14.354112,20.604506
14.354112,20.514977
14.354112,20.533057
14.354112,20.752465
14.354112,20.720608
14.354112,20.522627
14.354112,20.652053
14.354112,20.523033
14.354112,20.316218
14.354112,20.321689
14.354112,20.275445
14.354112,20.054206
14.354112,20.213010
14.354112,20.282532
14.354112,20.128882
14.354112,20.267557
14.354112,20.339624
14.354112,20.175373
14.354112,19.953895
14.354112,20.412930
14.354112,20.313920
14.354112,20.428443
14.354112,20.529741
14.354112,20.538186
14.351971,20.371687
13.321283,20.280644
13.321283,20.401975
13.321283,20.513236
13.321283,20.387635
13.233873,20.219061
13.233873,20.471791
13.233873,20.568687
13.233873,20.446599
