MejorEval,PromedioEval
19.759553,20.950666
19.989791,20.888145
18.577477,20.909512
19.707694,20.966293
19.021109,20.854909
18.545936,20.970257
19.443642,20.977694
18.156672,20.895324
18.672275,21.037971
18.561783,20.959515
19.522510,20.996920
16.854578,20.906386
18.620954,20.964022
18.335972,20.968734
18.209749,20.831966
19.286918,20.780804
19.396401,20.868718
18.891986,20.905115
19.226445,20.859689
19.275338,20.919951
19.748466,20.880066
19.501310,20.894632
19.981624,20.956705
19.806188,20.881760
19.883140,20.881525
19.800378,20.885566
19.222399,20.761566
19.361840,20.841591
19.724409,20.807823
19.590581,20.756065
18.913238,20.833168
19.789161,20.868951
19.645443,20.855416
19.190360,20.907396
18.077467,20.814710
18.751087,20.768674
18.700216,20.815775
18.577206,20.815105
18.453258,20.831228
17.341056,20.719852
18.002750,20.771694
17.171944,20.554019
18.018971,20.722636
18.008174,20.589868
17.914234,20.728281
18.881650,20.792597
17.816992,20.729584
18.566172,20.723379
18.132432,20.705244
19.673999,20.944834
17.120995,20.939327
18.965305,20.869375
19.830078,21.012426
19.684705,20.923207
19.442011,20.914137
19.923116,20.831972
20.039252,20.834015
19.995931,20.877502
19.695473,20.850364
19.994502,20.921706
19.384852,20.931791
18.200146,20.917586
19.743689,20.877379
19.882511,20.898229
19.449872,20.878334
18.513977,20.926791
19.551730,20.892947
19.382411,20.855819
20.151210,20.850423
19.957871,20.800384
19.603601,20.809488
19.969496,20.824160
19.513769,20.851123
19.802329,20.813145
19.072467,20.794347
19.394496,20.791428
19.293528,20.729820
19.814715,20.746077
19.525307,20.744456
19.417835,20.784534
19.740970,20.861432
19.415355,20.793700
19.460870,20.820443
19.678020,20.818813
19.747889,20.809615
19.761723,20.710303
19.556409,20.748008
19.126651,20.727118
19.006194,20.715260
19.012478,20.661931
18.828681,20.712356
19.011060,20.660687
19.454764,20.637948
19.597403,20.669693
18.956891,20.624617
18.866672,20.595541
19.575086,20.639945
19.075389,20.606554
19.261177,20.679136
18.912655,20.698441
18.691882,20.666084
18.331622,20.648724
18.811335,20.574929
18.076398,20.579723
18.424893,20.552006
18.890661,20.425300
18.093649,20.371094
18.655827,20.483429
19.089065,20.514610
18.394602,20.475810
17.897704,20.417897
18.790782,20.359680
18.261490,20.278282
18.837847,20.412057
18.864013,20.379526
18.802425,20.483786
18.651085,20.471881
18.469100,20.435262
17.102634,20.461892
18.847418,20.428535
18.827685,20.367644
18.499567,20.381157
17.939342,20.372493
18.350387,20.365249
17.736490,20.403995
18.525790,20.489618
18.722873,20.420010
18.400760,20.484119
18.351837,20.428874
18.044498,20.462482
18.003201,20.335817
18.034302,20.421508
17.323363,20.329864
17.990558,20.404110
18.827026,20.542482
18.172982,20.719848
18.074511,20.620813
18.573564,20.667208
18.472638,20.702434
18.860127,20.746827
18.310920,20.821545
18.439657,20.698492
18.564899,20.758183
19.259274,20.819244
19.021241,20.743582
18.829416,20.783022
19.436044,20.782358
19.755130,20.870653
18.967038,20.899146
19.801622,20.806663
19.483727,20.847893
19.849722,20.847318
18.595611,20.778875
19.755561,20.907212
19.738128,20.907674
18.665724,20.905119
19.929647,20.941424
19.647147,21.004345
18.995825,20.913002
19.172121,20.892933
19.660046,20.957501
19.469498,21.005731
19.937373,21.038623
18.937306,21.089772
18.712853,21.035387
17.667778,21.048473
19.895768,21.066419
19.594523,21.004394
20.084762,21.051325
20.198285,21.051441
19.805275,21.050715
20.475333,21.147308
20.154325,21.114513
20.132304,21.141617
20.201655,21.118211
20.051947,21.098192
20.490313,21.180636
19.717247,21.136401
20.360372,21.136218
19.875702,21.138938
20.232107,21.119905
20.124323,21.089620
19.950740,21.060951
18.784542,21.040049
19.839555,21.004378
20.295694,21.047016
19.570451,21.049870
20.133283,21.056833
20.203071,21.104641
20.018565,21.154415
19.949339,21.121404
20.028886,21.119636
19.839728,21.098847
19.099955,21.017263
19.666019,21.092080
18.756553,21.031382
20.386642,21.177073
20.111438,21.124983
19.341965,21.060391
19.342277,21.005479
20.024336,20.966386
18.775042,20.985501
19.623218,20.970936
18.875858,20.924985
18.635171,20.854955
19.662827,20.899986
18.203658,20.924891
19.597988,20.865214
18.167242,20.858147
18.906388,20.858044
19.226381,20.854635
19.543803,20.823889
19.065165,20.874424
19.404612,20.913486
19.759666,20.924036
19.832910,20.936002
19.549465,20.968974
19.129408,20.973755
19.173013,20.905894
19.625385,21.001204
19.665504,20.971109
20.002970,21.014094
20.026378,20.958795
19.840673,20.895904
19.478391,20.860177
18.927315,20.893549
19.346368,20.977291
19.817292,20.929951
20.142591,20.964029
19.808774,21.003553
19.977025,21.010292
20.012380,21.032591
20.204557,20.997307
20.078737,20.963917
19.846999,20.945163
20.024625,20.951260
19.392683,20.878879
20.125877,20.964550
19.925454,20.988816
19.727193,20.949577
19.710096,20.852440
20.027147,20.937477
19.945206,20.943643
19.629516,20.957551
19.954764,20.927913
19.587654,20.900292
19.749021,20.934497
18.996809,20.842912
19.202345,20.819107
18.642555,20.823912
19.027770,20.869522
19.203241,20.883227
19.577047,20.847248
18.718107,20.772254
18.586930,20.793746
18.730076,20.755823
19.336082,20.806578
19.708985,20.882760
19.884679,20.910025
19.602551,20.971236
19.253744,20.954743
19.741916,20.977667
19.396377,21.012841
19.738435,21.097718
20.001539,21.160890
19.937017,21.089654
20.054787,21.218504
20.128464,21.193734
19.975170,21.171090
20.085983,21.128942
20.169227,21.106854
20.086211,21.099543
20.364521,21.118202
19.500437,21.064351
19.571160,21.085008
19.459924,21.095026
19.334668,21.160612
20.251429,21.144881
20.442491,21.213103
20.321315,21.179204
20.509423,21.241390
19.599017,21.227839
20.005116,21.210571
20.165761,21.203051
20.120448,21.207770
20.380405,21.113560
20.333257,21.172617
19.917927,21.148571
19.725923,21.114442
19.514931,21.191761
19.397002,21.132885
19.903056,21.044777
19.638653,21.149754
19.760747,21.092619
19.904725,21.208446
20.098403,21.224244
19.614017,21.202288
19.794457,21.155730
20.207196,21.230116
20.114648,21.162409
19.190432,21.224485
19.994194,21.184925
20.578340,21.267690
20.439470,21.190904
20.138185,21.149293
20.106466,21.183118
19.510752,21.255531
20.122271,21.319571
19.951575,21.216511
19.716651,21.220225
19.379910,21.235110
20.466521,21.227682
20.489749,21.199666
19.834614,21.188569
20.074065,21.257959
20.201496,21.260878
20.485427,21.278679
20.219999,21.290804
20.140121,21.224318
20.338895,21.199410
20.158435,21.232999
20.321429,21.221874
20.520300,21.280783
19.398285,21.243162
20.391066,21.264273
19.663284,21.251386
19.835306,21.262078
19.994029,21.255347
19.643501,21.227898
19.169386,21.103861
20.132355,21.137619
20.019784,21.184447
19.674597,21.080007
19.671287,21.147756
19.577603,21.155525
18.862795,21.232734
19.078597,21.177889
19.344548,21.241465
19.396123,21.239412
19.882289,21.262433
19.194363,21.185143
18.897920,21.200813
18.474275,21.225856
17.892019,21.194722
19.475703,21.150717
18.267538,21.164963
19.027966,21.068900
19.604253,21.167695
19.889731,21.208416
19.456215,21.206747
20.344345,21.276276
19.545957,21.198410
18.924163,21.281676
19.102794,21.287820
20.005386,21.350965
20.008199,21.298881
20.359484,21.298630
20.594234,21.340682
20.705923,21.351600
20.550405,21.317530
20.501482,21.266443
19.989805,21.278593
20.535810,21.289380
20.574399,21.319191
20.575435,21.312488
20.578679,21.304053
20.334773,21.298266
20.405300,21.294381
20.151994,21.234923
20.413476,21.196988
20.256082,21.212912
19.961630,21.226091
20.559430,21.266576
20.272933,21.225038
20.147834,21.215612
20.615246,21.198472
20.386327,21.196679
20.333070,21.183465
20.270331,21.102206
20.435033,21.120071
20.444816,21.147845
20.270125,21.126044
19.545630,21.070947
20.170645,21.039565
20.033324,21.071253
19.987308,21.083936
19.869880,21.068560
20.387007,21.056428
20.252695,21.123987
19.754638,21.092884
19.979076,21.092558
20.121497,21.098417
19.733688,21.041687
