# Semilla: 1729462288
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
19.256669,20.966274,0.485067,0.337786,0.997485
19.330859,20.959629,0.476924,0.325786,0.994883
19.089351,20.966244,0.469065,0.311786,0.993059
18.712789,20.961083,0.464016,0.318071,0.992646
20.018163,20.995595,0.460896,0.307571,0.993207
19.505933,20.937759,0.454208,0.311786,0.992284
19.190321,20.947634,0.453492,0.311071,0.993088
20.187497,21.070157,0.451569,0.291571,0.993163
19.359636,20.952717,0.447288,0.299357,0.990543
19.610491,20.998606,0.443829,0.301714,0.990310
19.410012,21.149329,0.446684,0.292143,0.990445
20.015263,21.099335,0.444041,0.296786,0.990072
19.432333,20.978462,0.437822,0.286000,0.987952
20.084740,21.090144,0.436657,0.285714,0.986041
19.961656,21.067503,0.433522,0.291357,0.985588
18.721211,21.034749,0.429718,0.274500,0.984330
19.174365,21.104000,0.432239,0.274929,0.982873
18.865908,20.950151,0.428473,0.274429,0.983630
18.419175,20.883764,0.426716,0.273643,0.983579
17.532186,20.829686,0.425312,0.275071,0.981449
19.741732,21.029589,0.420573,0.281571,0.982017
19.231023,20.942102,0.417424,0.272071,0.982399
18.544115,20.970543,0.422224,0.269929,0.985080
19.204954,20.935736,0.419853,0.272571,0.985461
19.655333,20.957149,0.423159,0.277357,0.988616
19.345850,20.921675,0.421959,0.269929,0.988780
19.003766,20.902882,0.413349,0.262357,0.987696
19.293252,21.003731,0.407092,0.267357,0.986401
19.578572,21.026348,0.400347,0.258643,0.985866
19.499621,20.964472,0.392500,0.258286,0.985030
19.660691,20.988356,0.401959,0.254214,0.986353
18.642985,20.868093,0.399755,0.246286,0.986602
20.127410,20.908234,0.401892,0.253071,0.984269
19.010117,20.797399,0.401161,0.258857,0.986828
19.940199,20.977682,0.397414,0.256500,0.988765
18.346859,20.929144,0.396090,0.258071,0.987386
18.887777,20.950333,0.391943,0.253786,0.989172
19.664202,21.040860,0.384890,0.234214,0.987985
18.661117,21.066662,0.378018,0.236714,0.986301
19.543601,20.967660,0.375169,0.238714,0.983141
19.262884,21.038194,0.379088,0.240500,0.983744
20.320260,21.145977,0.371302,0.234071,0.982668
19.342715,21.064993,0.377371,0.233929,0.981070
19.491617,21.065646,0.377369,0.242214,0.980269
19.560307,21.029243,0.381629,0.239500,0.981600
19.479041,20.941122,0.379955,0.239000,0.983414
19.478621,20.942834,0.372800,0.228286,0.983052
