MejorEval,SolActiva
21.212117,21.213327
21.212117,21.234118
21.212117,21.291553
21.212117,21.291631
21.212117,21.284607
21.212117,21.284766
21.056305,21.056305
21.056305,21.057105
21.056305,21.056834
21.056305,21.057105
21.056305,21.063773
21.056305,21.139089
21.056305,21.139806
21.056305,21.139781
21.056305,21.295785
21.056305,21.295942
21.056305,21.296000
21.056305,21.324499
21.056305,21.389971
21.056305,21.524003
21.056305,21.523888
21.056305,21.385675
21.056305,21.455602
21.056305,21.461702
21.056305,21.405083
21.056305,21.297787
21.056305,21.297748
21.056305,21.197215
21.055937,21.055937
21.055937,21.056004
21.055937,21.056038
21.040879,21.040879
21.032105,21.032105
21.032105,21.032206
20.922854,20.922854
20.922021,20.922021
20.826383,20.826383
20.734437,20.734437
20.734341,20.734341
20.734341,20.734396
20.734341,20.734587
20.734148,20.734148
20.734148,20.853661
20.734148,20.840535
20.734148,20.854202
20.734148,20.861520
20.734148,21.079420
20.734148,21.059273
20.734148,21.059273
20.734148,21.062199
20.734148,21.062199
20.734148,21.062199
20.734148,21.062199
20.734148,21.062008
20.734148,20.849478
20.734148,20.849431
20.734148,20.936560
20.734148,20.936560
20.734148,20.936560
20.734148,20.936560
20.734148,20.918976
20.734148,20.918976
20.734148,20.921474
20.734148,20.921474
20.734148,20.921474
20.734148,20.921474
20.734148,20.921474
20.734148,20.921474
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.734148,20.939877
20.701093,20.701093
20.701093,20.701093
20.670549,20.670549
20.654504,20.654504
20.581610,20.581610
20.581610,20.581610
20.581610,20.581610
20.581610,20.581791
20.432391,20.432391
20.432391,20.432391
20.179238,20.179238
20.179238,20.179424
20.178880,20.178880
20.125650,20.125650
20.123649,20.123649
20.122654,20.122654
20.104951,20.104951
20.104951,20.104951
20.103731,20.103731
20.098662,20.098662
20.098662,20.098662
20.091614,20.091614
20.091614,20.091614
20.091614,20.091614
19.941461,19.941461
19.941461,19.941461
19.922825,19.922825
19.922825,19.922825
19.922825,19.922825
19.922825,19.922825
19.921456,19.921456
19.921456,19.921456
19.921456,19.921456
19.921456,19.921456
19.920780,19.920780
19.920780,19.920780
19.920696,19.920696
19.920696,19.920696
19.919919,19.919919
19.919841,19.919841
19.919841,19.919841
19.918280,19.918280
19.918280,19.918280
19.918280,19.918280
19.918280,19.918280
19.906598,19.906598
19.906598,19.906598
19.906598,19.906598
19.906505,19.906505
19.905767,19.905767
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.881494,19.881494
19.863027,19.863027
19.863027,19.863027
19.863027,19.863027
19.863027,19.863027
19.863027,19.863027
19.863027,19.863027
19.863013,19.863013
19.863013,19.863013
19.863013,19.863013
19.862854,19.862854
19.862854,19.862854
19.862854,19.862854
19.862854,19.862854
19.862854,19.862854
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.740695,19.740695
19.590955,19.590955
