MejorEval,SolActiva
17.223556,17.420819
16.951969,16.951969
16.951969,18.522460
16.951969,18.203501
16.951969,20.074478
16.951969,20.083031
16.951969,20.085820
16.951969,20.138337
16.951969,20.098539
16.951969,20.098293
16.951969,19.945405
16.951969,19.376671
16.951969,19.436273
16.951969,19.437591
16.951969,19.388083
16.951969,19.407737
16.951969,19.407695
16.951969,19.407725
16.951969,19.406954
16.951969,19.502533
16.951969,19.500652
16.951969,19.500646
16.951969,19.587776
16.951969,19.587875
16.951969,19.587915
16.951969,19.587895
16.951969,20.064406
16.951969,20.064366
16.951969,20.068520
16.951969,20.068479
16.951969,20.015303
16.951969,19.987146
16.951969,19.936556
16.951969,20.254528
16.951969,20.254552
16.951969,20.258465
16.951969,20.279184
16.951969,20.251224
16.951969,20.251417
16.951969,20.251446
16.951969,18.202651
16.951969,18.202696
16.951969,18.232449
16.951969,18.235000
16.951969,18.235182
16.951969,19.459669
16.951969,19.466757
16.951969,19.479253
16.951969,19.479235
16.951969,19.478939
16.951969,19.478675
16.951969,19.436371
16.951969,19.436450
16.951969,19.411963
16.951969,19.412139
16.951969,19.411159
16.951969,19.436577
16.951969,19.437316
16.951969,19.428791
16.951969,20.281891
16.951969,20.364748
16.951969,20.355940
16.951969,20.341422
16.951969,20.410565
16.951969,20.410481
16.951969,20.410319
16.951969,20.417404
16.951969,20.366943
16.951969,20.896417
16.951969,20.929948
16.951969,20.929992
16.951969,20.929319
16.951969,20.930846
16.951969,20.930957
16.951969,20.929430
16.951969,20.717656
16.951969,20.846368
16.951969,20.845971
16.951969,20.971772
16.951969,20.975241
16.951969,20.980288
16.951969,20.888218
16.951969,20.888009
16.951969,21.233805
16.951969,21.231371
16.951969,21.346209
16.951969,21.346416
16.951969,21.346780
16.951969,21.318205
16.951969,21.093915
16.951969,21.096207
16.951969,21.095318
16.951969,21.092543
16.951969,21.102877
16.951969,21.102306
16.951969,21.105056
16.951969,21.049007
16.951969,20.944893
16.951969,20.945580
16.951969,21.203859
16.951969,21.137419
16.951969,21.137665
16.951969,21.114348
16.951969,21.114607
16.951969,21.114478
16.951969,21.114504
16.951969,21.058103
16.951969,21.058172
16.951969,21.059250
16.951969,21.168702
16.951969,21.168224
16.951969,21.168025
16.951969,21.167996
16.951969,21.164290
16.951969,21.258306
16.951969,21.255834
16.951969,21.339089
16.951969,21.324522
16.951969,21.324564
16.951969,21.334881
16.951969,21.232138
16.951969,21.313343
16.951969,21.321309
16.951969,21.321076
16.951969,21.229817
16.951969,21.150926
16.951969,21.015626
16.951969,21.015593
16.951969,21.150897
16.951969,21.147590
16.951969,21.038890
16.951969,20.993439
16.951969,20.999942
16.951969,21.132470
16.951969,21.196476
16.951969,21.196281
16.951969,21.192493
16.951969,21.019557
16.951969,21.030571
16.951969,21.030585
16.951969,21.019173
16.951969,21.053528
16.951969,21.109753
16.951969,21.138224
16.951969,21.138230
16.951969,20.961836
16.951969,20.966506
16.951969,20.966543
16.951969,21.087426
16.951969,21.086417
16.951969,21.093801
16.951969,21.096895
16.951969,20.933492
16.951969,20.893222
16.951969,20.893831
16.951969,20.894414
16.951969,20.894894
16.951969,20.895940
16.951969,20.917428
16.951969,20.690789
16.951969,20.692166
16.951969,20.157598
16.951969,20.118620
16.951969,20.176995
16.951969,20.178343
16.951969,20.098271
16.951969,20.095434
16.951969,20.270847
16.951969,20.245044
16.951969,20.245049
16.951969,20.317826
16.951969,20.312964
16.951969,20.312934
16.951969,20.440772
16.951969,20.440151
16.951969,20.238181
16.951969,20.226883
16.951969,20.407167
16.951969,20.403471
16.951969,20.403667
16.951969,20.403655
16.951969,20.403649
16.951969,20.384020
16.951969,20.453250
16.951969,20.453287
16.951969,20.348766
16.951969,20.348784
16.951969,20.357682
16.951969,20.353695
16.951969,20.356364
16.951969,20.554763
16.951969,20.462762
16.951969,20.462774
16.951969,20.511579
16.951969,20.773154
16.951969,20.773191
16.951969,20.773919
16.951969,20.761475
16.951969,20.636517
16.951969,20.681785
16.951969,20.511317
16.951969,20.511280
16.951969,20.511208
16.951969,20.511240
16.951969,20.498476
16.951969,20.550025
16.951969,20.550061
16.951969,20.547719
16.951969,20.539167
16.951969,20.713539
16.951969,20.713255
16.951969,20.639218
16.951969,20.678722
16.951969,20.682375
16.951969,20.682597
16.951969,20.653437
16.951969,20.854207
16.951969,20.854562
16.951969,20.854518
16.951969,20.785972
16.951969,20.790053
16.951969,20.941024
16.951969,20.940332
16.951969,20.940603
16.951969,20.940540
16.951969,20.940154
16.951969,20.933522
16.951969,21.003380
16.951969,21.010448
16.951969,20.986430
16.951969,20.967192
16.951969,20.986424
16.951969,21.055957
16.951969,21.024470
16.951969,20.904960
16.951969,20.688603
16.951969,20.688404
16.951969,20.679436
16.951969,20.774248
16.951969,20.730883
16.951969,20.728356
16.951969,20.728310
16.951969,20.716647
16.951969,20.704054
16.951969,20.818006
16.951969,20.813309
16.951969,20.844215
16.951969,20.877958
16.951969,20.877782
16.951969,20.877875
16.951969,20.871928
16.951969,21.067968
16.951969,20.876670
16.951969,20.881141
16.951969,20.878065
16.951969,20.878059
16.951969,20.840711
16.951969,20.979817
16.951969,20.979792
16.951969,20.833056
16.951969,20.828736
16.951969,20.841417
16.951969,20.833605
16.951969,20.832944
16.951969,20.910489
16.951969,20.941196
16.951969,21.015268
16.951969,21.142213
16.951969,21.188305
16.951969,20.995310
16.951969,20.882234
16.951969,20.882009
16.951969,20.989840
16.951969,20.989295
16.951969,20.988965
16.951969,20.886612
16.951969,20.883984
16.951969,20.726040
16.951969,20.726013
16.951969,20.728618
16.951969,20.817629
16.951969,20.813588
16.951969,20.744424
16.951969,20.745199
16.951969,20.842100
16.951969,20.843311
16.951969,20.843349
16.951969,20.769692
16.951969,20.680892
16.951969,20.579423
16.951969,20.613124
16.951969,20.786238
16.951969,20.786037
16.951969,20.797547
16.951969,20.793274
16.951969,20.787134
16.951969,20.849422
16.951969,21.094167
16.951969,21.095488
16.951969,21.135049
16.951969,21.127607
16.951969,21.128137
16.951969,21.132079
16.951969,21.140936
16.951969,21.199555
16.951969,21.199498
16.951969,21.199435
16.951969,21.176086
16.951969,21.175970
16.951969,21.176559
16.951969,21.225446
16.951969,21.225576
16.951969,21.197035
16.951969,21.199369
16.951969,21.276405
16.951969,21.340816
16.951969,21.340753
16.951969,21.341226
16.951969,21.333776
16.951969,21.332120
16.951969,21.472886
16.951969,21.497318
16.951969,21.490048
16.951969,21.490243
16.951969,21.425415
16.951969,21.397583
16.951969,21.389968
16.951969,21.288058
16.951969,21.267385
16.951969,21.367910
16.951969,21.367487
16.951969,21.391112
16.951969,21.422243
16.951969,21.422526
16.951969,21.422490
16.951969,21.422521
16.951969,21.519713
16.951969,21.517835
16.951969,21.645954
16.951969,21.658951
16.951969,21.494127
16.951969,21.493922
16.951969,21.495562
16.951969,21.419160
16.951969,21.459649
16.951969,21.446140
16.951969,21.176764
16.951969,21.177170
16.951969,21.169604
16.951969,21.169194
16.951969,21.150611
16.951969,21.136743
16.951969,21.145444
16.951969,21.145321
16.951969,21.159054
16.951969,21.162727
16.951969,21.146886
16.951969,21.000602
16.951969,20.943705
16.951969,20.944267
16.951969,20.976937
16.951969,20.976651
16.951969,20.985297
16.951969,21.002673
16.951969,21.008617
16.951969,21.008859
16.951969,20.974510
16.951969,20.985644
16.951969,20.985652
16.951969,20.985690
16.951969,21.048590
16.951969,21.048598
16.951969,20.886364
16.951969,20.882535
16.951969,21.081509
16.951969,21.123658
16.951969,21.189363
16.951969,21.219074
16.951969,21.162714
16.951969,21.143488
16.951969,21.143363
16.951969,21.144306
16.951969,21.144260
16.951969,21.138159
16.951969,21.138164
16.951969,21.123044
16.951969,21.122994
16.951969,21.119696
16.951969,21.045461
16.951969,20.836447
16.951969,20.840969
16.951969,20.839854
16.951969,20.839807
16.951969,20.625135
16.951969,20.773326
16.951969,20.858210
16.951969,20.791666
16.951969,20.791359
16.951969,20.791159
16.951969,20.790998
16.951969,20.790848
16.951969,20.958609
16.951969,20.958769
16.951969,20.735641
16.951969,20.928462
16.951969,20.928466
16.951969,20.928462
16.951969,20.969768
16.951969,20.998061
16.951969,21.128382
16.951969,21.093488
16.951969,21.110894
16.951969,21.071581
16.951969,20.995602
16.951969,20.998175
16.951969,21.032404
16.951969,21.098009
16.951969,21.082492
16.951969,21.173217
16.951969,21.134310
16.951969,21.171398
16.951969,21.139282
16.951969,21.138993
16.951969,21.139154
16.951969,21.175195
16.951969,21.175332
16.951969,21.200533
16.951969,21.281222
16.951969,21.264614
16.951969,21.264580
16.951969,21.263569
16.951969,21.152037
16.951969,21.117239
16.951969,21.117205
16.951969,21.117212
16.951969,21.119506
16.951969,20.827019
16.951969,20.599834
16.951969,20.599742
16.951969,20.599711
16.951969,20.599830
16.951969,20.868117
16.951969,20.927038
16.951969,20.921657
16.951969,20.921134
16.951969,20.921738
16.951969,20.805623
16.951969,20.805702
16.951969,20.805861
16.951969,20.805790
16.951969,21.015704
16.951969,21.015047
16.951969,21.106126
16.951969,21.029518
16.951969,21.140095
16.951969,20.894173
16.951969,20.896970
16.951969,20.896930
16.951969,20.908645
16.951969,21.024303
16.951969,21.024177
16.951969,21.024468
16.951969,21.024520
16.951969,21.024368
16.951969,21.187462
16.951969,21.287801
16.951969,21.229024
16.951969,21.160810
16.951969,21.078663
16.951969,21.013804
16.951969,21.012629
16.951969,21.013452
16.951969,21.013415
16.951969,20.977820
16.951969,20.977204
16.951969,20.982127
16.951969,21.020971
16.951969,20.959436
16.951969,20.738239
16.951969,20.745872
16.951969,20.728155
16.951969,20.678716
16.951969,20.678781
16.951969,20.899818
16.951969,20.899827
16.951969,20.878539
16.951969,20.904888
16.951969,20.904765
16.951969,20.904888
16.951969,20.905018
16.951969,20.907033
16.951969,20.907001
16.951969,20.907158
16.951969,21.140746
16.951969,21.262807
16.951969,21.264897
16.951969,21.271470
16.951969,21.266483
16.951969,21.079677
16.951969,21.080443
16.951969,21.200513
16.951969,21.200658
16.951969,21.200861
16.951969,21.201061
16.951969,21.201061
16.951969,21.315123
16.951969,21.266634
16.951969,21.266497
16.951969,21.265886
16.951969,21.288267
16.951969,21.229744
16.951969,21.225394
16.951969,21.241895
16.951969,21.242326
16.951969,21.139419
16.951969,21.139340
16.951969,21.115049
16.951969,21.125835
16.951969,21.125762
16.951969,21.204055
16.951969,21.212129
16.951969,21.211678
16.951969,21.230959
16.951969,21.320122
16.951969,21.424576
16.951969,21.424793
16.951969,21.300478
16.951969,21.393974
16.951969,21.375093
16.951969,21.486886
16.951969,21.495678
16.951969,21.462054
16.951969,21.464750
16.951969,21.575433
16.951969,21.555671
16.951969,21.683521
16.951969,21.680297
16.951969,21.678189
16.951969,21.625066
16.951969,21.542565
16.951969,21.542545
16.951969,21.542755
16.951969,21.535787
16.951969,21.455202
16.951969,21.508207
16.951969,21.507460
16.951969,21.507802
16.951969,21.507817
16.951969,21.492358
16.951969,21.301593
16.951969,21.157787
16.951969,21.150869
16.951969,21.168436
16.951969,21.167215
16.951969,21.188102
16.951969,21.126324
16.951969,21.036654
16.951969,21.036218
16.951969,21.035832
16.951969,21.035520
16.951969,20.992643
16.951969,20.998026
16.951969,20.995334
16.951969,20.929108
16.951969,21.104279
16.951969,21.107838
16.951969,21.262786
16.951969,21.268936
16.951969,21.362009
16.951969,21.362351
16.951969,21.365007
16.951969,21.366005
16.951969,21.218726
16.951969,21.218975
16.951969,21.218466
16.951969,21.261141
16.951969,21.218466
16.951969,21.039025
16.951969,21.091052
16.951969,21.139409
16.951969,21.198871
16.951969,21.198859
16.951969,21.157055
16.951969,21.157069
16.951969,21.247374
16.951969,21.250287
16.951969,21.288758
16.951969,20.964139
16.951969,21.227497
16.951969,21.224848
16.951969,20.857581
16.951969,20.857540
16.951969,20.764759
16.951969,20.586720
16.951969,20.586530
16.951969,20.594437
16.951969,20.594500
16.951969,20.605041
16.951969,20.605094
16.951969,20.691568
16.951969,20.691512
16.951969,20.575708
16.951969,20.234917
16.951969,20.425897
16.951969,20.425788
16.951969,20.403117
16.951969,20.243753
16.951969,20.576500
16.951969,20.520699
16.951969,20.525153
16.951969,20.772293
16.951969,20.790553
16.951969,20.790485
16.951969,20.790018
16.951969,20.789979
16.951969,20.807215
16.951969,20.639801
16.951969,20.639773
16.951969,20.606938
16.951969,20.606156
16.951969,20.620333
16.951969,20.610148
16.951969,20.610107
16.951969,20.610108
16.951969,20.610595
16.951969,20.609721
16.951969,20.610212
16.951969,20.610899
16.951969,20.867845
16.951969,20.868093
16.951969,20.867950
16.951969,20.876128
16.951969,20.926126
16.951969,20.924176
16.951969,21.025128
16.951969,21.027779
16.951969,21.027766
16.951969,21.019500
16.951969,21.019826
16.951969,21.019769
16.951969,20.837935
16.951969,20.837976
16.951969,20.838086
16.951969,20.838047
16.951969,20.837994
16.951969,20.822800
16.951969,20.822875
16.951969,20.821932
16.951969,21.147570
16.951969,21.147624
16.951969,21.147614
16.951969,21.197528
16.951969,21.195407
16.951969,21.037027
16.951969,21.237345
16.951969,21.083600
16.951969,21.084168
16.951969,21.076401
16.951969,21.076194
16.951969,20.845777
16.951969,20.845354
16.951969,20.845305
16.951969,21.080148
16.951969,21.021612
16.951969,21.021308
16.951969,20.999161
16.951969,21.001783
16.951969,20.869337
16.951969,21.057967
16.951969,21.112287
16.951969,21.277436
16.951969,21.209129
16.951969,21.242354
16.951969,21.172078
16.951969,21.169891
16.951969,21.169100
16.951969,21.169105
16.951969,21.322365
16.951969,21.316113
16.951969,21.239031
16.951969,21.242251
16.951969,21.242107
16.951969,21.242390
16.951969,21.242303
16.951969,21.244344
16.951969,21.270370
16.951969,21.270330
16.951969,21.333427
16.951969,21.503299
16.951969,21.527477
16.951969,21.526021
16.951969,21.411699
16.951969,21.533438
16.951969,21.421161
16.951969,21.259092
16.951969,21.257349
16.951969,21.256924
16.951969,21.256349
16.951969,21.263143
16.951969,21.263178
16.951969,21.303352
16.951969,21.372548
16.951969,21.436528
16.951969,21.388905
16.951969,21.388840
16.951969,21.437243
16.951969,21.436900
16.951969,21.485325
16.951969,21.498844
16.951969,21.353092
16.951969,21.353159
16.951969,21.367436
16.951969,21.367498
16.951969,21.435701
16.951969,21.429320
16.951969,21.430267
16.951969,21.429320
16.951969,21.429320
16.951969,21.414521
16.951969,21.371696
16.951969,21.299690
16.951969,21.344728
16.951969,21.511298
16.951969,21.460104
16.951969,21.460105
16.951969,21.460946
16.951969,21.181622
16.951969,21.213920
16.951969,21.215717
16.951969,21.215649
16.951969,21.198412
16.951969,21.198319
16.951969,21.193666
16.951969,21.193558
16.951969,21.191986
16.951969,21.191870
16.951969,21.195301
16.951969,21.195330
16.951969,21.171589
16.951969,21.171615
16.951969,21.215830
16.951969,21.215808
16.951969,21.127678
16.951969,21.296987
16.951969,21.302278
16.951969,21.252112
16.951969,21.257529
16.951969,21.218668
16.951969,21.204357
16.951969,21.211410
16.951969,21.005119
16.951969,21.004670
16.951969,21.004686
16.951969,21.003795
16.951969,21.003762
16.951969,20.869711
16.951969,20.869648
16.951969,20.815206
16.951969,20.850134
16.951969,20.845784
16.951969,20.820827
16.951969,20.816567
16.951969,20.813238
16.951969,20.542914
16.951969,20.610655
16.951969,20.610151
16.951969,20.415540
16.951969,20.415286
16.951969,20.415376
16.951969,20.404120
16.951969,20.426691
16.951969,20.426671
16.951969,20.426010
16.951969,20.425796
16.951969,20.425877
16.951969,20.425917
16.951969,20.445565
16.951969,20.435504
16.951969,20.512115
16.951969,20.511490
16.951969,20.510237
16.951969,20.455119
16.951969,20.454954
16.951969,20.456208
16.951969,20.456427
16.951969,20.705315
16.951969,20.637741
16.951969,20.636607
16.951969,20.635418
16.951969,20.665410
16.951969,20.895687
16.951969,20.748674
16.951969,20.745098
16.951969,20.747769
16.951969,20.748824
16.951969,20.695810
16.951969,20.670371
16.951969,20.676345
16.951969,20.677580
16.951969,20.888255
16.951969,20.873069
16.951969,21.054929
16.951969,21.057073
16.951969,21.056946
16.951969,21.012475
16.951969,21.029795
16.951969,20.839349
16.951969,20.840132
16.951969,20.907452
16.951969,20.902808
16.951969,20.592269
16.951969,21.054485
16.951969,21.204530
16.951969,21.045281
16.951969,21.018373
16.951969,21.024005
16.951969,21.023995
16.951969,21.005624
16.951969,20.731013
16.951969,20.755746
16.951969,20.768496
16.951969,20.770262
16.951969,20.772836
16.951969,20.772521
