# Semilla: 1729462382
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
19.530635,20.829617,0.488443,0.318857,0.999200
19.530635,20.727368,0.483308,0.283357,0.998575
19.530635,20.633606,0.475435,0.266857,0.997852
19.530635,20.587050,0.474151,0.261643,0.997931
19.530635,20.562377,0.468686,0.253214,0.996891
19.530635,20.451521,0.463347,0.247857,0.994996
19.481242,20.425029,0.458239,0.243286,0.995781
19.425650,20.365223,0.455992,0.231643,0.995541
19.425650,20.388054,0.456041,0.226786,0.995570
19.091652,20.305052,0.454351,0.230929,0.994545
19.006006,20.283582,0.450637,0.226929,0.994345
19.006006,20.289570,0.448345,0.218857,0.995074
19.006006,20.316491,0.442806,0.236857,0.994279
18.799198,20.177150,0.432004,0.197643,0.991200
18.799198,20.121827,0.431798,0.199286,0.990400
18.398100,20.109341,0.428669,0.196286,0.992301
18.398100,20.122920,0.421237,0.205143,0.991988
18.398100,19.970374,0.413853,0.195357,0.991730
18.398100,20.023289,0.418133,0.205714,0.990644
18.398100,19.841998,0.415447,0.202357,0.991093
17.779232,19.787357,0.401004,0.201786,0.988348
17.779232,19.810407,0.394614,0.190214,0.985375
17.779232,19.625981,0.385986,0.190357,0.983272
17.779232,19.778189,0.384794,0.189429,0.985151
17.779232,19.693723,0.383690,0.200071,0.985988
17.779232,19.489565,0.380720,0.189143,0.987719
17.779232,19.578677,0.388351,0.170714,0.989046
17.070207,19.408536,0.381851,0.170714,0.989886
17.070207,19.366268,0.372467,0.185429,0.989502
16.794963,19.079556,0.355949,0.167929,0.987046
16.794963,18.967939,0.355273,0.167071,0.987672
16.794963,18.771236,0.333267,0.146071,0.984009
14.525160,18.490565,0.324849,0.142071,0.983883
14.525160,18.519267,0.322802,0.156786,0.983532
14.033820,18.355003,0.317365,0.150000,0.983060
14.033820,18.352719,0.312422,0.148143,0.980901
14.033820,18.085573,0.307249,0.156500,0.980064
14.033820,17.792198,0.299963,0.150214,0.979615
14.029806,17.394558,0.290778,0.130000,0.977764
13.917886,17.109124,0.294151,0.130643,0.976142
13.917886,16.959760,0.286029,0.124214,0.974783
13.846294,16.609355,0.272967,0.117214,0.973263
13.587762,15.890083,0.265943,0.116714,0.976332
13.587762,15.739403,0.265924,0.119571,0.977739
13.587762,15.454690,0.259378,0.119857,0.977648
13.358046,14.869073,0.250557,0.110857,0.977579
