MejorEval,PromedioEval
19.069591,20.645340
19.069591,20.543020
19.069591,20.460222
18.633673,20.422059
18.633673,20.375626
18.613555,20.275667
18.613555,20.166267
18.613555,20.087511
18.613555,20.030088
18.469366,20.079984
18.469366,20.002801
18.469366,19.856468
18.469366,19.860505
18.469366,19.741553
18.469366,19.588678
18.469366,19.615426
18.310824,19.476992
18.213062,19.362846
17.816258,19.436758
17.816258,19.301276
17.816258,19.190243
17.816258,19.191686
17.816258,19.034357
17.816258,18.892072
17.689719,18.828359
17.589550,18.676749
17.473473,18.447596
17.443984,18.453632
17.319523,18.409594
17.319523,18.117441
15.016016,18.105382
15.016016,17.989832
15.016016,17.954472
15.016016,17.900935
15.016016,17.839266
15.016016,17.807318
15.016016,17.731183
14.982517,17.670403
14.982517,17.485429
14.982517,17.268733
13.983990,17.049803
13.983990,17.155727
13.983990,16.734303
13.979063,16.630239
12.511413,16.078133
12.511413,15.643589
12.511413,15.596872
12.511413,15.443788
12.511413,14.906788
12.511413,14.670144
12.511413,14.388856
12.511413,14.172278
12.315994,14.202439
12.315994,13.959615
12.019251,13.741284
12.019251,13.690225
9.511280,13.610965
9.511280,13.539356
9.511280,13.153394
9.511280,12.531486
8.964962,12.525146
8.964962,12.137915
7.605013,12.058960
7.605013,11.991780
7.605013,11.443359
7.605013,10.657034
7.148914,10.032566
7.148914,9.812496
7.148914,9.365019
7.148914,9.099183
7.148914,8.645304
7.109341,8.658314
7.041104,8.987010
7.002001,8.789491
5.856648,8.252486
5.856648,8.451934
5.856648,8.259023
5.856648,8.719678
5.415919,8.317420
5.415919,7.583453
5.415919,7.953532
5.415919,7.101225
5.415919,7.060826
5.148967,7.572234
4.910794,7.344289
4.910794,7.575782
4.910794,7.331506
4.910794,6.910057
4.712971,7.115259
4.712971,6.477239
4.633317,6.404157
4.286744,6.831601
4.286744,7.210118
4.286744,6.832986
4.109719,6.373706
3.827804,6.507614
3.827804,5.898612
3.827804,5.882942
3.824929,6.616940
3.824929,5.417637
3.741139,5.148508
3.536894,5.575652
3.536894,6.241280
3.536894,5.533681
3.536894,5.471288
3.536894,5.200497
3.528322,5.129972
3.528322,5.828410
3.506050,5.069192
2.502809,4.300592
2.502809,4.865496
2.502809,4.637869
2.487416,3.839785
2.375068,4.285469
2.375068,4.647614
2.352537,4.278768
2.186377,4.579826
2.049259,5.132274
1.995632,4.697474
1.995632,4.970121
1.879684,4.396637
1.627754,3.995137
1.627754,4.558524
1.621751,4.670645
1.359677,3.918504
1.359677,4.147744
1.359677,4.150180
1.356224,3.452014
1.343645,3.069299
0.528414,2.665175
0.528414,2.949284
0.528414,2.965623
0.528414,2.880894
0.437185,3.296793
0.437185,3.602175
0.437185,2.210124
0.425982,2.965359
0.422674,2.648727
0.422674,2.627595
0.422674,2.970110
0.187030,2.468628
0.187030,2.858874
0.187030,2.630239
0.187030,2.478231
0.187030,1.834092
0.187030,2.169922
0.187030,2.467602
0.187030,2.440970
0.187030,2.447445
0.178237,1.291945
0.178237,2.192182
0.171771,2.050617
0.171771,1.964809
0.171771,2.092367
0.171771,2.626151
0.153339,1.493485
0.153339,2.482006
0.153339,2.819519
0.153339,1.912133
0.153339,1.963847
0.153339,3.639608
0.153339,3.056078
0.153339,2.520934
0.149845,2.787342
0.147412,2.597363
0.125279,2.449579
0.125279,2.102802
0.125279,2.289306
0.125279,2.654940
0.125279,2.376719
0.125279,1.451229
0.125279,2.444414
0.103872,2.556362
0.098556,3.181593
0.098556,2.194982
0.098556,1.702985
0.098556,1.988806
0.098556,1.854013
0.097698,1.257548
0.093604,2.199020
0.087903,1.862815
0.087903,1.491703
0.077591,1.639676
0.075453,1.868156
0.075453,1.724043
0.075453,1.953242
0.075453,1.627675
0.075453,1.562024
0.075453,3.035120
0.075453,1.761130
0.075453,1.592537
0.073007,1.299655
0.073007,1.263928
0.070073,1.066684
0.070073,1.440437
0.070073,1.372347
0.070073,1.452122
0.070073,1.842906
0.070073,1.608898
0.070073,1.543522
0.070073,1.433650
0.070073,1.384087
0.070073,1.879433
0.070073,1.875159
0.070057,0.814492
0.068183,1.072784
0.068183,1.861826
0.068183,2.529357
0.053697,1.719511
0.051461,2.342326
0.051461,2.165122
0.051461,2.787586
0.051461,3.091575
0.051461,3.320809
0.051450,2.047940
0.049791,1.428038
0.049791,1.601102
0.049791,2.006400
0.047187,1.838843
0.047187,1.268096
0.046966,2.094985
0.046966,2.498567
0.046966,2.037393
0.046966,1.847814
0.046966,1.718906
0.046966,2.774867
0.046898,2.593120
0.025836,2.142235
0.025836,2.588243
0.023440,3.045787
0.023440,3.187770
0.023440,2.931167
0.023440,1.395246
0.023440,1.708881
0.023440,2.145319
0.023440,2.517053
0.017186,1.710220
0.017186,0.960497
0.015881,1.432921
0.015881,2.435903
0.011917,2.586476
0.011917,3.186415
0.011917,2.734278
0.011917,3.762675
0.011343,2.333347
0.011343,2.201417
0.011343,2.705097
0.011343,2.789428
0.011343,2.041290
0.011343,1.759733
0.011343,1.911980
0.009629,1.118382
0.009629,1.684660
0.009629,1.972996
0.009629,2.267654
0.009629,2.179591
0.009629,3.249132
0.009619,2.544082
0.009578,2.447976
0.009578,2.173108
0.009410,3.076118
0.009410,2.835780
0.009190,2.467599
0.009190,1.964987
0.009190,2.179318
0.008973,0.882267
0.008973,1.572528
0.008821,1.611321
0.008821,1.607965
0.008821,1.144769
0.008821,1.430905
0.008523,2.279981
0.008523,1.944454
0.008523,2.450713
0.008523,2.672846
0.008523,2.967389
0.007957,3.223587
0.007957,3.961029
0.007957,2.817369
0.007957,1.776528
0.007957,2.426675
0.007957,2.132286
0.007957,1.224161
0.007957,1.686090
0.007673,2.401137
0.007673,1.772170
0.007673,1.522935
0.007673,1.992532
0.007298,2.406624
0.007298,2.284199
0.007298,1.523772
0.007298,2.375881
0.007077,2.838080
0.007077,2.659111
0.006968,2.537130
0.006968,1.342007
0.006968,1.711481
0.006953,2.119151
0.006953,2.003329
0.006953,2.351094
0.005651,2.675822
0.005651,3.135679
0.005651,3.277319
0.005651,1.914826
0.005651,1.362441
0.005651,1.674838
0.005619,2.102264
0.005619,1.983335
0.005619,1.819899
0.005619,1.882751
0.005619,2.516067
0.005619,1.150370
0.005619,2.059603
0.005619,2.814651
0.005224,3.085872
0.005224,3.289268
0.005224,3.508738
0.005224,3.516666
0.005014,2.376426
0.004984,3.009781
0.004984,2.637940
0.004984,2.094943
0.004984,0.867198
0.004974,1.665072
0.004107,0.706791
0.004107,1.306149
0.004107,1.980493
0.004107,1.975783
0.004107,1.426299
0.004060,2.117075
0.004060,1.780326
0.004060,1.718040
0.004060,1.517972
0.004060,2.281058
0.004060,2.525317
0.004060,2.589204
0.004060,2.415323
0.004060,2.195848
0.004060,2.484743
0.004060,2.121670
0.004026,0.898211
0.004026,2.592882
0.004026,2.197735
0.004026,1.694520
0.004026,1.905295
0.004026,1.134991
0.004007,1.033179
0.004007,2.113672
0.003597,1.485003
0.003597,1.965245
0.003597,3.105965
0.003597,2.406202
0.003597,1.439304
0.003597,1.993116
0.003597,1.948269
0.003597,2.025662
0.003597,1.551956
0.003597,1.730234
0.003597,1.288586
0.003591,1.612502
0.003530,1.279579
0.003530,2.299885
0.003530,1.590256
0.003411,1.652388
0.003411,1.986884
