# Semilla: 1729462667
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
148.854856,311.282416,0.487327,0.337071,0.997779
148.854856,295.846541,0.480355,0.322000,0.996442
122.226187,289.857331,0.470831,0.317929,0.995761
122.226187,279.691355,0.464945,0.314857,0.994140
77.633483,275.397140,0.460645,0.299857,0.996127
71.464315,263.766515,0.456973,0.299357,0.995720
71.464315,258.408950,0.437949,0.289143,0.992795
71.464315,261.788666,0.437686,0.286143,0.991918
71.464315,274.672188,0.434645,0.286429,0.992986
71.464315,254.453464,0.430369,0.289429,0.991915
71.464315,270.133462,0.431139,0.296143,0.990356
71.464315,263.019441,0.433241,0.277143,0.989127
71.464315,271.941535,0.429571,0.278786,0.990971
71.464315,294.807525,0.426014,0.261714,0.990609
66.838137,306.171498,0.425835,0.275071,0.992127
66.838137,302.845617,0.421833,0.277786,0.992451
66.838137,300.915325,0.419359,0.273500,0.992529
66.838137,294.844726,0.416104,0.270929,0.990971
66.838137,289.203139,0.417635,0.273071,0.989876
66.838137,286.932475,0.418941,0.262857,0.989241
66.838137,264.505590,0.405602,0.247357,0.985443
66.838137,250.470461,0.408912,0.256429,0.987160
66.838137,277.782330,0.415661,0.269071,0.989800
66.838137,279.706763,0.417363,0.267786,0.989956
57.145094,280.580732,0.416357,0.264143,0.989215
57.145094,282.070734,0.418571,0.262500,0.988770
57.145094,272.781758,0.421712,0.281000,0.987250
55.298243,294.725907,0.422514,0.262500,0.989387
55.298243,291.054547,0.417953,0.270143,0.987530
55.298243,276.699562,0.418529,0.258214,0.987785
54.096918,277.715173,0.416690,0.264929,0.987097
54.096918,269.859408,0.406982,0.251429,0.986376
53.979903,280.184040,0.409496,0.263071,0.987819
52.641576,283.822126,0.404361,0.264857,0.989229
52.641576,290.080780,0.404504,0.263000,0.989727
52.641576,302.628901,0.397312,0.256071,0.990788
52.641576,285.363709,0.394188,0.256643,0.988609
52.641576,280.047473,0.397763,0.259500,0.988813
52.641576,261.725880,0.392014,0.241286,0.988512
52.641576,257.800916,0.388022,0.244643,0.987644
52.641576,306.684994,0.386390,0.236857,0.987942
52.641576,297.110162,0.387710,0.251929,0.989493
52.641576,289.807962,0.389318,0.242714,0.989304
