# Semilla: 1729462735
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
141.063674,299.706923,0.488196,0.342000,0.998233
115.412086,295.998772,0.483169,0.334857,0.997605
152.599750,316.070044,0.477439,0.299571,0.996341
144.236493,324.612836,0.475280,0.323929,0.996138
192.980600,318.718236,0.469312,0.307857,0.994706
113.412646,314.085394,0.465402,0.317929,0.993744
178.096084,310.678861,0.458614,0.300643,0.992846
114.984073,313.196402,0.457033,0.302500,0.992625
100.827202,306.801176,0.455737,0.306714,0.990050
121.352000,306.868107,0.448800,0.296571,0.988188
123.622298,280.685290,0.444078,0.292143,0.987453
121.534090,292.345238,0.445900,0.293929,0.985646
121.947069,304.038660,0.443271,0.291214,0.986018
100.892128,265.768183,0.440359,0.295286,0.986819
114.454993,269.836980,0.432157,0.290571,0.986104
132.245660,286.416989,0.424288,0.284643,0.984228
148.064120,286.491686,0.421518,0.278071,0.982833
130.910930,277.401849,0.422976,0.275000,0.981483
103.417352,280.908790,0.421596,0.265071,0.981232
122.546185,275.467943,0.423784,0.271857,0.982042
143.172163,258.911542,0.414049,0.256857,0.975171
121.929419,263.565598,0.414161,0.261000,0.976880
121.823156,258.520420,0.404361,0.260071,0.976223
128.020917,258.491764,0.402714,0.264143,0.976597
125.907118,273.942772,0.401996,0.257143,0.978688
114.037172,272.271844,0.402473,0.265000,0.979690
119.894650,264.071892,0.391694,0.241357,0.977863
115.220898,262.552688,0.389394,0.233714,0.976303
116.585724,263.880479,0.392592,0.255071,0.979483
141.092308,275.344443,0.393024,0.254786,0.980015
113.679974,278.629428,0.396516,0.243214,0.979668
136.919890,276.166316,0.397494,0.266143,0.980843
129.309347,281.974569,0.398776,0.266143,0.981405
131.601232,279.627330,0.390427,0.254857,0.980098
173.217548,285.366128,0.391033,0.245143,0.983003
127.452214,269.096732,0.389986,0.252357,0.980482
151.087912,279.837060,0.386263,0.248357,0.979847
159.131070,285.446976,0.389145,0.239214,0.976623
151.820665,271.678844,0.385829,0.237929,0.976167
136.267359,269.426488,0.383986,0.245071,0.976991
137.801469,269.815798,0.380890,0.245143,0.974960
136.451842,277.871980,0.375404,0.245500,0.973234
161.409272,281.864525,0.371294,0.239857,0.974641
150.659912,279.641235,0.371755,0.231571,0.980047
148.378647,277.067064,0.377606,0.245571,0.982076
168.781534,290.120221,0.376294,0.241071,0.983496
174.963157,280.498614,0.377276,0.238786,0.985752
168.304162,288.932515,0.378478,0.244429,0.987619
158.497655,291.094976,0.372629,0.237643,0.987488
188.329762,303.676414,0.370600,0.238786,0.990784
187.665512,291.659773,0.368490,0.236571,0.991324
146.656074,289.443561,0.371569,0.232143,0.990401
177.198430,301.326113,0.366996,0.226643,0.990681
164.092306,290.236185,0.362261,0.231643,0.990452
172.569635,298.501324,0.366745,0.236714,0.990136
156.771339,290.121208,0.376655,0.243214,0.989035
171.247711,289.953630,0.379388,0.252643,0.989291
174.333569,287.540446,0.372753,0.248714,0.988786
161.989315,279.764939,0.371539,0.236857,0.986546
139.397019,289.574014,0.365627,0.239714,0.984869
130.148912,283.383147,0.363094,0.243357,0.985507
150.345162,277.625156,0.363804,0.220929,0.985881
147.023846,261.657539,0.361880,0.226143,0.986528
108.506310,264.414152,0.357394,0.228714,0.986961
130.602260,253.697722,0.355920,0.226643,0.987031
131.643958,251.807994,0.356663,0.223286,0.984969
130.920988,257.014932,0.355898,0.231643,0.985459
141.204178,274.461434,0.362443,0.225429,0.987267
100.932935,261.221561,0.361447,0.228500,0.983887
98.739396,255.334010,0.361033,0.237357,0.980281
75.890756,259.672418,0.354576,0.232643,0.983226
123.725134,254.745531,0.354588,0.230429,0.983371
78.572446,244.457648,0.360647,0.235000,0.984069
113.649268,249.682245,0.362720,0.233071,0.984233
120.500228,275.949890,0.362767,0.228000,0.986661
139.096943,264.104461,0.363735,0.225143,0.989562
136.158685,260.876386,0.363016,0.237357,0.989348
95.517658,259.280409,0.348398,0.226929,0.987875
81.025989,266.834007,0.347955,0.223714,0.988952
94.672037,255.393164,0.344218,0.224143,0.986722
95.981161,278.961119,0.349465,0.233643,0.987525
123.109063,268.797096,0.354306,0.231286,0.989270
130.065888,289.534335,0.350437,0.229786,0.990165
74.719527,267.228631,0.343800,0.223714,0.987701
120.899736,267.399263,0.342769,0.222214,0.990131
77.566952,254.979312,0.342631,0.227000,0.991294
97.174267,254.969598,0.336698,0.221286,0.989845
127.707984,263.218842,0.341390,0.224214,0.987527
124.592213,258.433148,0.339606,0.219500,0.988480
138.085409,263.648271,0.338365,0.208429,0.989011
134.870827,267.189907,0.340424,0.224929,0.985480
98.677993,256.139975,0.345927,0.226643,0.984493
104.446688,259.109818,0.347541,0.217286,0.986241
99.638739,246.996017,0.350108,0.215357,0.985287
112.220470,242.917673,0.338153,0.210500,0.981455
118.159175,248.920124,0.333282,0.218071,0.981541
127.262579,244.658285,0.332394,0.206714,0.983834
112.374546,257.918043,0.326298,0.214929,0.982672
119.627958,254.062880,0.329345,0.218786,0.980566
88.484482,255.813137,0.334596,0.222357,0.982069
72.439197,252.069389,0.339255,0.223143,0.986470
63.412409,252.470129,0.336994,0.214214,0.986127
