MejorEval,PromedioEval
98.163892,315.882105
76.429308,302.739835
114.044138,314.266951
112.525123,285.645251
63.641180,293.671844
95.575505,295.568881
159.941222,291.109827
125.665662,305.899490
132.396352,313.586116
138.344432,287.655732
94.104432,289.912770
109.581901,273.861434
125.699038,275.675433
121.491778,262.368236
131.171424,279.660967
110.786151,287.662095
107.291742,320.766657
86.101747,301.740423
75.520212,308.664738
78.679817,293.166904
71.259191,303.783353
126.293322,303.769031
127.750203,313.918131
135.059158,302.291062
132.214502,306.991735
80.862817,306.758842
88.203423,305.304697
172.099988,315.913668
186.555356,320.919133
188.866613,302.913382
158.259010,305.145093
135.459595,288.930627
95.166433,298.899983
137.559745,292.803572
123.002516,289.074565
123.039368,305.486851
153.458754,299.327916
124.750694,289.073388
52.532463,283.543927
122.086404,288.833448
151.814462,296.567175
124.541024,299.903326
114.619627,300.465063
82.198113,285.612100
169.784156,275.484899
140.919653,304.175405
121.770367,312.250112
165.242181,297.182613
129.613166,301.931927
116.264117,308.403114
161.963120,315.539947
115.815852,319.832088
133.443956,325.520295
175.305189,326.659592
203.946386,324.677906
156.384461,325.934668
140.589538,328.195210
178.778605,335.998881
141.551807,318.097162
189.479457,333.602978
178.441442,332.883193
146.101759,319.576175
141.744001,316.440430
149.237179,324.530967
152.391304,333.065736
165.526649,334.894378
125.505735,332.564348
165.377141,341.663057
178.248946,342.363232
182.637132,350.739290
183.478253,339.008898
150.110517,341.315381
142.084261,331.864264
206.984488,346.793393
175.346635,363.164225
203.700550,364.577314
167.173937,360.728491
164.531246,367.439557
192.351123,357.546870
192.019351,348.889027
175.061267,326.655163
148.590067,342.182165
181.531188,339.575482
209.204811,357.094580
139.004154,358.262179
196.601946,368.606626
223.487140,382.860426
201.629127,383.099026
215.049876,361.279606
220.023933,362.977775
127.554368,343.708500
212.745373,370.483510
182.915296,374.052064
227.367066,396.137352
191.050334,395.708025
147.066701,374.738971
198.629110,385.482849
159.796531,382.529627
178.048825,384.117762
181.784059,386.931048
222.264644,390.913479
237.671724,380.349571
204.527746,386.180024
197.863145,403.969969
207.515819,383.906752
