MejorEval,SolActiva
404.425507,406.824109
374.647542,374.647542
344.048549,344.048549
344.048487,344.048487
344.048487,344.281922
344.048487,344.890601
344.048487,344.724031
343.552391,343.552391
343.539439,343.539439
343.539439,343.746557
343.539439,343.746760
343.539439,344.052876
324.954309,324.954309
324.954309,324.954495
324.954309,355.775381
324.954309,355.966703
324.954309,358.654938
324.954309,360.364223
324.954309,389.092398
324.954309,402.715233
324.954309,355.302125
324.954309,355.094043
324.954309,352.475059
324.954309,352.583574
324.954309,352.275057
324.954309,352.276050
324.954309,352.276112
324.954309,331.218592
324.954309,331.102084
324.954309,331.362888
324.954309,330.750734
324.954309,330.685085
324.954309,328.376993
324.954309,330.640714
324.954309,330.637336
324.954309,341.040809
324.954309,357.261046
324.954309,357.262878
324.954309,340.977493
324.954309,340.977163
324.954309,340.977163
324.954309,340.977756
324.954309,341.559566
324.954309,325.337302
312.146561,312.146561
309.462301,309.462301
279.412875,279.412875
279.183771,279.183771
269.809848,269.809848
269.806608,269.806608
269.806608,269.806811
269.806608,274.768689
269.806608,274.768139
269.806608,270.344546
269.806608,273.030785
269.806608,274.142104
269.806608,274.142223
269.806608,274.083757
269.806608,274.000745
264.800652,264.800652
264.800652,274.000745
264.800652,274.000686
264.800652,287.957818
264.800652,288.208141
264.800652,288.208112
224.037037,224.037037
224.037037,229.083619
224.037037,290.227303
224.037037,290.243310
224.037037,289.702717
224.037037,289.704899
224.037037,289.772323
224.037037,289.776935
224.037037,289.776390
224.037037,319.998969
224.037037,319.998850
224.037037,320.002860
224.037037,316.333789
224.037037,316.331608
224.037037,316.331107
224.037037,316.329835
224.037037,316.459555
224.037037,307.364277
224.037037,343.715853
224.037037,344.373046
224.037037,331.454647
224.037037,338.115812
224.037037,338.118387
224.037037,347.619946
224.037037,347.618873
224.037037,343.239005
224.037037,338.057666
224.037037,338.246670
224.037037,338.222983
224.037037,337.721157
224.037037,335.198738
224.037037,335.207179
224.037037,334.534010
224.037037,334.622444
224.037037,334.619678
224.037037,333.741889
224.037037,363.234073
224.037037,363.234425
224.037037,363.217633
224.037037,347.601471
224.037037,345.507927
224.037037,345.508536
224.037037,345.508581
