# Semilla: 1729462838
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
161.639514,267.142612,0.488812,0.339000,0.998183
136.791404,257.382994,0.482829,0.283929,0.997251
136.791404,236.742725,0.478841,0.257000,0.997308
136.791404,248.934196,0.472833,0.248786,0.996180
136.791404,237.211188,0.467227,0.240500,0.995662
136.791404,235.587138,0.464445,0.236143,0.994214
105.172073,224.640410,0.460049,0.251571,0.992669
103.075021,213.489846,0.454000,0.226143,0.992838
95.714008,207.509846,0.452498,0.228571,0.992224
95.714008,206.347537,0.448520,0.214071,0.991290
95.714008,223.431103,0.442786,0.231571,0.990870
95.714008,198.652919,0.438839,0.215429,0.989770
95.714008,213.050968,0.437282,0.240500,0.989821
95.714008,198.930145,0.434663,0.223643,0.989909
95.714008,188.388880,0.430865,0.221571,0.990173
95.714008,184.466021,0.421233,0.216571,0.987352
95.714008,172.353928,0.419139,0.205714,0.988168
95.714008,167.384041,0.415002,0.192571,0.987627
95.714008,171.371729,0.407867,0.193571,0.985683
95.714008,160.805178,0.409939,0.205786,0.986830
95.714008,157.854002,0.399629,0.220714,0.985015
66.504935,154.159947,0.398578,0.201357,0.985910
66.397455,136.072747,0.389210,0.204714,0.984671
50.226673,127.182329,0.382159,0.192286,0.984471
50.226673,132.899385,0.380771,0.196071,0.983242
43.571656,136.624375,0.381065,0.188357,0.984997
43.571656,139.572702,0.381010,0.192143,0.986198
43.571656,122.914817,0.367633,0.190286,0.983244
43.571656,123.172013,0.366610,0.182071,0.983895
43.571656,115.338291,0.357235,0.180500,0.983046
43.571656,110.076237,0.353176,0.178500,0.984508
43.571656,102.615602,0.354006,0.173429,0.983069
39.323804,95.141093,0.352161,0.164857,0.981924
39.323804,85.234917,0.349084,0.169714,0.977327
39.323804,85.283653,0.343884,0.165071,0.977238
27.754093,84.209147,0.337718,0.159786,0.974731
27.754093,69.338330,0.330214,0.152357,0.972528
20.853863,66.218910,0.331739,0.151929,0.972569
20.853863,69.669838,0.322412,0.154500,0.967849
20.853863,64.813582,0.316704,0.158071,0.965019
20.853863,59.095273,0.319684,0.149143,0.965611
20.853863,56.227156,0.318284,0.142000,0.966821
20.853863,61.489707,0.305467,0.143786,0.962641
20.853863,50.383784,0.301843,0.143643,0.962169
20.853863,47.618466,0.298547,0.141000,0.962109
20.853863,49.517076,0.302102,0.145857,0.960506
20.094842,45.253944,0.290688,0.135143,0.960055
19.030831,39.544265,0.286414,0.141571,0.957097
17.617542,32.929588,0.274300,0.125786,0.954067
17.483174,29.464237,0.274137,0.131857,0.954562
17.483174,28.925458,0.269490,0.124286,0.953258
13.584787,25.465665,0.260706,0.117714,0.951057
13.584787,23.509911,0.257414,0.108143,0.952742
13.423211,23.424639,0.246680,0.108786,0.950466
13.416253,22.875605,0.234106,0.106286,0.948882
13.135425,28.601477,0.232637,0.110357,0.952046
8.713824,23.783932,0.232165,0.108714,0.953884
8.713824,22.122877,0.231800,0.100214,0.954340
8.713824,23.068617,0.227206,0.104714,0.952763
7.916536,21.011663,0.226724,0.101500,0.953550
6.276995,19.518515,0.215824,0.095214,0.956096
5.247568,18.246593,0.211390,0.095214,0.954866
5.247568,21.404099,0.219061,0.098429,0.955286
5.247568,18.593862,0.224694,0.095000,0.958976
5.247568,13.084135,0.230608,0.106214,0.963818
5.247568,13.765597,0.236531,0.108071,0.962056
4.940316,14.943624,0.236698,0.112071,0.962643
4.940316,11.363039,0.229927,0.108500,0.961036
4.872695,10.075350,0.224480,0.109786,0.960135
4.529809,9.544466,0.222549,0.100286,0.960927
4.319077,10.703798,0.231308,0.106714,0.962553
4.319077,6.598134,0.221351,0.106286,0.960862
3.801018,9.260680,0.217661,0.102357,0.961624
3.736706,7.430993,0.222371,0.107357,0.959256
3.238730,10.605882,0.225282,0.105643,0.964204
3.238730,12.153264,0.230304,0.110071,0.965259
2.889023,10.928529,0.234106,0.108214,0.967355
2.843433,11.611774,0.232165,0.113500,0.965715
2.776341,14.372865,0.227335,0.111286,0.966661
2.655502,15.026455,0.226396,0.111429,0.965988
2.655502,17.246207,0.228249,0.114429,0.968524
2.432667,16.515024,0.227729,0.110714,0.971054
2.432667,11.597604,0.223988,0.104500,0.968473
2.196240,11.659976,0.221482,0.102643,0.968665
2.196240,10.073050,0.216306,0.102500,0.967678
2.196240,6.148454,0.208510,0.100000,0.966869
2.196240,6.710867,0.204267,0.094500,0.967531
2.196240,4.887922,0.198039,0.094143,0.967453
2.196240,5.000759,0.199173,0.091143,0.965008
1.692298,5.697628,0.197286,0.093071,0.963447
1.692298,8.352294,0.194486,0.085214,0.963934
1.692122,6.595684,0.187804,0.083929,0.963848
1.692122,7.315742,0.190086,0.090000,0.961921
1.692122,8.091679,0.194810,0.087643,0.963332
1.692122,6.660543,0.190714,0.087786,0.964676
1.692122,8.045137,0.190908,0.093571,0.964606
1.661036,10.056162,0.186714,0.089143,0.962068
1.661036,9.392510,0.184202,0.083643,0.964416
1.564252,5.157008,0.185598,0.083214,0.964459
1.564252,6.064071,0.184494,0.083429,0.965519
1.536023,6.248628,0.181437,0.085786,0.963692
1.536023,6.501544,0.175396,0.082143,0.961389
1.536023,6.968779,0.174998,0.079357,0.961168
1.536023,6.790991,0.167892,0.082071,0.959983
1.536023,12.211587,0.165382,0.080214,0.960619
1.536023,13.648217,0.166420,0.084214,0.963142
1.534726,8.730239,0.164780,0.073286,0.965473
1.444308,6.506326,0.161516,0.076786,0.966633
1.444308,5.312262,0.160561,0.069500,0.967652
1.444308,8.538779,0.162186,0.072929,0.969309
1.444308,8.506161,0.156408,0.068857,0.969196
1.444308,3.816218,0.152780,0.069786,0.970425
1.444308,5.597037,0.147282,0.066643,0.970665
1.444308,7.516641,0.148855,0.067500,0.970578
1.444308,5.623381,0.147418,0.065500,0.971330
1.349739,7.609731,0.147086,0.067143,0.974695
1.349739,3.012211,0.146831,0.068429,0.974394
1.349739,5.934970,0.148251,0.065786,0.975773
1.139960,4.862496,0.145635,0.068143,0.976213
1.139905,1.751140,0.150549,0.063643,0.973846
1.139905,5.881723,0.156976,0.072714,0.972118
1.139905,6.450007,0.160476,0.074286,0.972776
1.041614,8.881307,0.156433,0.075429,0.970962
1.041614,6.213634,0.155084,0.070286,0.970103
1.009742,5.916139,0.149227,0.065857,0.970265
1.007823,4.270597,0.146567,0.062643,0.970484
1.007823,9.079017,0.150316,0.065857,0.969844
0.893021,6.411844,0.156539,0.066429,0.967216
0.893021,7.806977,0.159343,0.072786,0.967096
0.802068,5.848854,0.158376,0.072714,0.968466
0.777508,4.250788,0.158184,0.069286,0.969932
0.461568,4.649325,0.158249,0.070714,0.967130
0.461568,4.587251,0.153927,0.067643,0.965548
0.445226,4.100307,0.157590,0.070214,0.964762
0.445226,10.243911,0.157741,0.073571,0.965108
0.445226,9.514784,0.160657,0.074143,0.966539
0.445226,5.061538,0.157459,0.069500,0.965895
0.445226,6.801021,0.156886,0.069429,0.965895
0.445226,11.731786,0.157576,0.071000,0.963890
0.445226,4.774799,0.156957,0.065143,0.964110
0.445226,8.049082,0.156933,0.071500,0.963826
0.445226,8.447363,0.153286,0.070643,0.960303
0.445226,14.892256,0.159778,0.077214,0.962482
0.445226,15.648313,0.160708,0.074929,0.962759
0.445226,16.414820,0.154820,0.070857,0.960918
0.445226,13.841707,0.147104,0.067786,0.958296
0.416767,12.113182,0.148280,0.067786,0.959961
0.416767,7.163910,0.147731,0.064714,0.960578
0.416767,8.002501,0.153310,0.069143,0.960116
0.416767,8.929938,0.159992,0.073143,0.961784
0.416767,6.193442,0.157594,0.069929,0.961820
0.416767,4.257890,0.157235,0.069500,0.962690
0.416767,6.609992,0.154369,0.062929,0.964682
0.416767,11.502264,0.160733,0.070143,0.964474
0.416767,11.271851,0.163280,0.071500,0.965378
0.401389,5.832989,0.163637,0.067286,0.964499
0.401389,6.058142,0.165149,0.074143,0.963433
0.401389,7.268466,0.165418,0.069357,0.963935
0.401389,6.160136,0.169065,0.070571,0.963816
0.401389,7.055389,0.166812,0.073429,0.962899
0.401389,4.854152,0.169592,0.072429,0.962938
0.392894,6.141456,0.167859,0.075500,0.960825
0.392894,6.251819,0.167343,0.081571,0.961696
0.392894,10.448321,0.167690,0.076429,0.961783
