MejorEval,PromedioEval
134.201396,294.860864
134.201396,272.551864
134.201396,262.257670
134.201396,250.931152
134.201396,243.643523
129.002668,227.084996
111.227590,222.440285
104.650818,209.900647
104.650818,209.676555
104.650818,211.793487
103.126305,199.379086
90.022296,197.208308
77.096258,189.118606
77.096258,195.003423
77.096258,177.701701
77.096258,171.364951
77.096258,152.076294
77.096258,164.914390
77.096258,152.985177
73.079420,126.881798
73.079420,123.504663
40.918971,113.167022
40.918971,106.154041
40.918971,102.977197
40.918971,93.578375
40.918971,79.300425
26.067520,74.962515
26.067520,72.768314
26.067520,67.305401
26.067520,61.246348
26.067520,65.879315
26.067520,58.896180
25.907710,49.579511
20.614540,48.424473
20.614540,45.251579
20.614540,40.629429
17.536485,38.684588
17.536485,38.196643
13.846698,33.185121
13.846698,31.350577
13.846698,27.183465
13.846698,24.940617
11.931055,23.712210
11.931055,23.485774
11.931055,21.459311
11.931055,21.935504
11.931055,20.490300
11.325558,17.921169
11.325558,23.902105
8.015336,25.893080
8.015336,22.858546
5.893305,19.133239
3.515762,14.865080
3.515762,14.777850
3.515762,14.931081
3.515762,16.098247
3.515762,15.895966
3.515762,15.411154
3.201373,12.566600
2.022194,12.603549
2.022194,13.012359
2.022194,9.821112
2.022194,7.834866
1.761638,9.390531
1.761638,12.158687
1.761638,8.192982
1.761638,12.243939
1.761638,11.767880
1.761638,6.289871
1.761638,7.028767
1.761638,12.468076
1.761638,11.420729
1.641199,10.907524
1.641199,9.399038
1.641199,12.302144
1.641199,6.398008
1.631976,4.477694
1.624845,5.657607
1.585045,5.204203
1.585045,6.196944
1.585045,6.588801
1.585045,7.279131
1.585045,7.884919
1.582931,9.664746
1.546495,14.140970
1.470701,14.755206
1.428220,11.710691
1.428220,11.593406
1.428220,10.152424
1.428220,3.903189
1.428220,3.464580
1.428220,7.179120
1.428220,6.879650
1.428220,7.524411
1.394803,8.891991
1.394803,8.537881
1.326938,4.789573
1.316246,2.577940
1.310679,4.829224
1.310679,7.880942
1.269135,3.911001
1.269135,5.284602
1.269135,10.049703
1.195064,12.638646
1.195064,10.799017
1.195064,5.962581
1.195064,4.876863
1.189970,6.552151
1.189970,1.959441
1.178563,5.772406
1.095686,6.409356
1.095686,8.120329
1.095686,8.790861
1.095686,5.584170
1.095686,1.963060
1.095686,4.791515
1.084848,7.734275
1.084848,5.855941
1.084848,5.471023
0.982144,3.520213
0.982144,3.368326
0.982144,6.464289
0.982144,4.657091
0.982144,5.567575
0.982144,5.254570
0.982144,7.312462
0.959238,11.147855
0.959238,14.595970
0.959238,7.568845
0.906970,10.146571
0.906970,4.854029
0.906970,6.948844
0.906970,6.429486
0.883607,6.026993
0.682124,7.003396
0.682124,7.076996
0.682124,5.080275
0.682124,6.635266
0.682124,5.526158
0.682124,3.038649
0.682124,3.919349
0.682124,7.152677
0.682124,7.350415
0.682124,6.677276
0.682124,8.138832
0.682124,7.517198
0.682124,4.968190
0.641311,5.229399
0.641311,3.678386
0.641311,2.601480
0.555663,3.320378
0.555663,2.840369
0.555663,6.073642
0.555663,3.792000
0.555663,4.571729
0.470466,5.364468
0.470466,9.270554
0.470466,9.099842
0.470466,7.755171
0.470466,5.759108
0.470466,2.952075
0.470466,3.765067
0.454992,3.300014
0.454992,5.633274
0.451104,7.793125
0.430724,5.650985
0.430724,9.349588
