# Semilla: 1729462934
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
105.725483,185.363347,0.485996,0.330357,0.997961
104.403013,180.158159,0.477476,0.307929,0.997143
104.403013,181.539981,0.476284,0.313286,0.996928
104.403013,184.478708,0.473292,0.323071,0.996547
94.165476,189.155975,0.466335,0.313214,0.995323
89.691293,184.663138,0.465429,0.316500,0.994520
89.691293,186.815743,0.460565,0.307000,0.995385
89.691293,183.634541,0.449861,0.302357,0.994733
89.691293,186.216073,0.444714,0.295357,0.994008
89.691293,181.658257,0.439292,0.295643,0.992128
89.691293,186.474656,0.438027,0.294357,0.992030
89.691293,183.363181,0.435478,0.282571,0.991051
89.691293,183.700416,0.432022,0.286714,0.991375
85.767408,178.900840,0.428865,0.281143,0.990880
85.767408,184.009002,0.422190,0.277500,0.990353
85.767408,181.989297,0.420602,0.276071,0.989355
85.767408,185.021325,0.415835,0.269643,0.988693
85.767408,194.251894,0.406949,0.262500,0.988773
85.767408,199.090217,0.405020,0.276214,0.986718
85.767408,190.931085,0.402602,0.265714,0.986809
85.767408,197.462274,0.404669,0.259429,0.987848
85.767408,184.365210,0.400792,0.255571,0.986507
85.767408,188.088910,0.396920,0.252571,0.985783
85.767408,187.921558,0.391596,0.250857,0.986226
85.767408,187.659164,0.389251,0.252929,0.986182
85.767408,188.678727,0.376639,0.242500,0.983800
85.767408,190.744372,0.388522,0.253643,0.984412
85.767408,187.414169,0.380182,0.235571,0.984313
84.591845,181.986311,0.378471,0.242429,0.984845
84.591845,185.848494,0.384012,0.257143,0.983496
84.591845,188.961869,0.385000,0.246571,0.984217
84.591845,202.027680,0.387502,0.249714,0.982567
84.591845,192.572503,0.387076,0.249143,0.984272
62.664243,189.116540,0.388127,0.236143,0.985958
62.664243,191.664116,0.385645,0.254286,0.984812
62.664243,190.779669,0.388453,0.244500,0.986494
62.664243,178.373191,0.385649,0.252500,0.986969
62.664243,180.691669,0.383494,0.243714,0.987050
62.664243,180.327351,0.385682,0.250786,0.987099
41.443069,181.308561,0.385216,0.246929,0.986949
41.443069,189.514958,0.386094,0.241643,0.985794
41.443069,186.480503,0.380702,0.243786,0.984250
41.443069,190.261811,0.380120,0.248571,0.986509
41.443069,184.296836,0.381096,0.242786,0.985603
41.443069,183.211717,0.379073,0.244500,0.986153
41.443069,183.756610,0.382761,0.247500,0.985315
41.443069,189.312639,0.382494,0.240429,0.983528
41.443069,182.286824,0.386957,0.243286,0.983856
41.443069,184.305589,0.388088,0.258571,0.984678
41.443069,185.565543,0.387990,0.249071,0.985005
41.443069,179.537468,0.391506,0.249500,0.985200
41.443069,177.029728,0.382927,0.237571,0.978776
41.443069,178.642114,0.385986,0.245000,0.978270
41.443069,171.654390,0.385410,0.252929,0.975186
41.443069,172.410219,0.382798,0.249000,0.974796
41.443069,177.107192,0.385116,0.254286,0.976319
41.443069,169.500070,0.384961,0.246786,0.975882
41.443069,163.247361,0.386437,0.244571,0.975014
41.443069,167.451296,0.386767,0.261000,0.978962
41.443069,168.494336,0.376778,0.242571,0.975002
41.443069,174.466812,0.373690,0.241500,0.974877
41.443069,172.114263,0.375865,0.235857,0.972652
41.443069,163.227281,0.374500,0.240143,0.973104
41.443069,173.287571,0.371176,0.241857,0.971312
41.443069,162.295368,0.372853,0.250071,0.975100
41.443069,159.365823,0.366837,0.229429,0.973744
41.443069,157.120380,0.361057,0.230071,0.973663
41.443069,157.130190,0.361869,0.240286,0.974650
41.443069,162.237390,0.357680,0.224286,0.974936
41.443069,160.812258,0.356849,0.222500,0.974509
41.443069,162.606867,0.354853,0.228071,0.973818
41.443069,156.855277,0.353139,0.227500,0.974647
41.443069,146.296357,0.351239,0.216143,0.973816
41.443069,147.094400,0.341639,0.218571,0.974170
41.443069,148.435022,0.335906,0.211643,0.971896
41.443069,145.170648,0.336314,0.215500,0.971263
39.966340,150.146610,0.346876,0.224571,0.973070
39.966340,153.706168,0.344916,0.214857,0.972660
39.966340,149.964655,0.335906,0.218143,0.973270
39.966340,155.245288,0.337069,0.213786,0.971231
39.966340,160.339077,0.342122,0.224500,0.971560
39.966340,163.901512,0.343327,0.216929,0.969512
39.966340,162.926298,0.340259,0.212143,0.972057
39.966340,160.372661,0.343269,0.227643,0.971854
39.966340,157.779017,0.342712,0.231071,0.971665
39.966340,146.596899,0.338304,0.219071,0.973358
39.966340,155.130712,0.342480,0.220143,0.975563
39.966340,155.538916,0.346694,0.231500,0.978245
39.966340,157.681626,0.346241,0.226857,0.975265
39.966340,151.959618,0.344667,0.220000,0.975566
39.966340,152.015194,0.346904,0.216357,0.977545
39.966340,149.100815,0.340520,0.224500,0.974706
39.966340,153.567988,0.339920,0.220214,0.974124
39.966340,145.906881,0.338716,0.214000,0.971648
39.966340,146.023873,0.342941,0.225571,0.972383
39.966340,149.916425,0.344543,0.224643,0.973193
39.966340,149.418277,0.345320,0.226857,0.972419
39.966340,144.760163,0.335239,0.212429,0.970542
39.966340,143.660510,0.336471,0.215143,0.972960
39.966340,142.036797,0.336898,0.211500,0.971328
39.966340,144.858788,0.332592,0.207357,0.974267
39.966340,144.448906,0.330022,0.217071,0.974987
39.966340,144.117940,0.320559,0.205500,0.975329
39.966340,149.722830,0.323210,0.204143,0.974860
39.966340,146.341639,0.331586,0.212214,0.976554
39.966340,149.590377,0.330545,0.212143,0.977953
39.966340,153.621336,0.330190,0.214500,0.978062
39.966340,151.781247,0.330506,0.206071,0.975511
39.966340,149.530809,0.325357,0.212929,0.976689
39.966340,146.272391,0.321659,0.207929,0.977199
39.966340,152.513128,0.323335,0.212571,0.976754
39.966340,145.048048,0.322653,0.209143,0.973082
39.966340,142.129506,0.314645,0.199000,0.969701
39.966340,143.398546,0.320855,0.212500,0.972236
39.966340,148.773839,0.321596,0.211429,0.972634
39.966340,145.068943,0.314853,0.202786,0.971907
39.966340,146.363884,0.312759,0.201643,0.974665
39.966340,154.137637,0.307939,0.196857,0.974741
39.966340,149.129348,0.303945,0.198000,0.974192
39.966340,143.658419,0.304935,0.195857,0.977924
39.966340,146.102984,0.305173,0.201286,0.978154
39.966340,139.665774,0.296912,0.188357,0.975038
39.966340,135.971282,0.303429,0.187429,0.976601
39.966340,133.870092,0.291480,0.177857,0.973213
39.966340,137.524751,0.295671,0.186071,0.972640
39.966340,134.834588,0.294629,0.187571,0.973410
39.966340,131.959447,0.291769,0.184571,0.972209
39.966340,134.081187,0.293947,0.182857,0.970808
39.966340,133.296498,0.292637,0.183286,0.972118
39.966340,134.096680,0.293692,0.178571,0.969369
39.966340,138.963106,0.292443,0.185357,0.971674
39.966340,141.017704,0.288288,0.177857,0.971908
39.966340,135.029566,0.292624,0.175500,0.973365
39.966340,136.291545,0.290867,0.168286,0.972263
39.966340,139.196203,0.288751,0.174143,0.973060
39.966340,137.351017,0.290831,0.177857,0.973702
39.966340,141.574562,0.286504,0.178500,0.972276
39.966340,138.974428,0.290833,0.181857,0.975366
39.966340,140.927764,0.297669,0.187643,0.976164
39.966340,136.595005,0.300488,0.181571,0.981121
39.966340,138.608488,0.290704,0.176214,0.978794
39.966340,135.394019,0.288786,0.180143,0.980763
39.966340,133.686469,0.284951,0.177571,0.982841
39.966340,142.505692,0.287435,0.175714,0.982001
39.966340,143.771246,0.289463,0.185357,0.979914
39.966340,142.843568,0.291149,0.183071,0.979731
39.966340,157.504428,0.294502,0.187929,0.979670
39.966340,161.015960,0.295259,0.184357,0.981038
