# Semilla: 1729463060
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
116.495226,187.253325,0.485416,0.344214,0.997705
96.928962,182.617128,0.480622,0.335857,0.996187
100.600400,190.616347,0.476980,0.315143,0.997109
107.570089,186.142030,0.469908,0.319857,0.995767
93.114767,186.297426,0.465280,0.299429,0.995906
114.684861,187.759705,0.459553,0.295857,0.996097
115.785316,184.648153,0.457147,0.292357,0.996226
119.771064,185.224310,0.443318,0.294929,0.993550
115.779621,178.946842,0.439539,0.296286,0.992686
125.268190,184.558482,0.437214,0.301571,0.993212
118.824896,184.490271,0.433108,0.287000,0.992157
116.039096,184.414251,0.432269,0.280357,0.991175
134.019228,184.277882,0.424363,0.287143,0.992299
131.783066,187.769414,0.416759,0.267143,0.990845
129.058054,185.638683,0.407122,0.272714,0.987790
128.378153,180.721603,0.402380,0.268929,0.985452
115.961880,184.272198,0.402729,0.274857,0.986992
120.333747,183.765046,0.396882,0.260286,0.983620
107.351561,177.114225,0.394349,0.263929,0.983225
111.042279,185.339982,0.391763,0.256571,0.982319
133.780953,187.749929,0.384331,0.250571,0.980723
117.248499,182.838364,0.387339,0.255786,0.983026
131.852167,185.523846,0.388988,0.250786,0.983099
87.380788,180.325009,0.386500,0.246929,0.981889
124.087188,187.752209,0.384643,0.252357,0.980842
117.517807,184.799687,0.380524,0.257857,0.981056
133.839875,193.387881,0.372271,0.248429,0.977421
145.712985,192.734072,0.369022,0.237071,0.976943
108.109309,189.932214,0.364645,0.235786,0.973913
125.692318,188.855013,0.367865,0.235143,0.976487
146.903727,197.630306,0.366894,0.243929,0.974365
122.442280,196.142170,0.365239,0.242143,0.975813
120.877333,195.780177,0.369186,0.234714,0.977635
130.760346,199.213294,0.371443,0.247000,0.978582
130.118662,193.657082,0.373165,0.249357,0.976270
135.739694,201.166221,0.372688,0.242286,0.976514
106.188304,189.915780,0.367937,0.237143,0.977155
151.994339,203.539029,0.363690,0.238000,0.978124
152.291056,210.519924,0.361751,0.236571,0.979153
127.494032,205.239480,0.355561,0.222714,0.980045
139.318269,198.337099,0.354204,0.226929,0.980576
103.351871,187.634477,0.341633,0.226929,0.975569
118.520992,192.387494,0.343624,0.226929,0.977199
99.550821,196.652401,0.346888,0.232714,0.978040
130.152329,196.982534,0.346696,0.225071,0.978284
126.592657,197.201008,0.347208,0.235929,0.977220
114.713647,197.337950,0.355512,0.233500,0.978074
133.485964,198.176463,0.356655,0.231714,0.978593
105.170190,196.415735,0.351482,0.226429,0.978920
146.990285,202.727206,0.351227,0.233929,0.976388
144.502332,203.301901,0.350041,0.225929,0.975208
117.136595,201.288006,0.352349,0.227643,0.978481
122.077244,194.100580,0.350796,0.230571,0.978620
123.678706,188.129781,0.351443,0.226071,0.979545
