MejorEval,PromedioEval
103.277411,182.505219
128.472016,186.170654
114.902695,181.707935
115.754368,183.544287
84.913810,182.290760
109.412874,185.179299
122.381019,183.822881
93.132222,179.555727
84.734832,182.260810
103.109855,178.463750
100.488532,177.732544
110.750905,181.554467
119.341026,182.045388
95.397520,182.225991
118.066346,183.697916
101.669796,180.373616
110.277771,185.083312
118.036878,182.921353
94.787999,182.867994
120.052500,189.396045
93.505714,178.053110
116.516290,180.634742
84.425955,179.479831
91.782419,185.824528
106.490541,184.414601
99.798942,183.291653
108.122404,178.058808
90.944152,192.894415
92.100654,185.683946
103.008093,182.577517
107.521475,175.744698
100.395494,178.301286
106.803696,179.920320
84.803460,179.791976
100.765484,177.139769
110.834386,175.919701
110.017025,183.119037
102.781777,177.241313
117.899423,186.612331
116.432172,180.961560
108.963287,182.288608
93.699245,176.386144
112.320475,173.401626
78.015608,169.599311
109.678988,174.925395
93.665291,174.976356
103.296187,179.200441
97.900197,174.575127
115.074096,177.715321
108.114757,180.031336
104.366643,177.358800
104.341264,181.869983
135.911398,182.663856
115.165252,185.353898
108.602498,184.410968
111.664092,182.421382
91.115995,188.656511
75.111951,182.930897
95.118998,184.025148
136.461796,193.343015
125.945432,185.452676
116.542268,189.621570
111.867756,190.168321
124.604994,186.024238
105.032416,191.451500
64.677354,183.644938
102.247113,187.171504
125.375570,189.116543
123.403055,192.681551
123.799495,191.520704
81.120111,189.900684
109.692467,188.629397
96.837365,186.968572
115.504915,186.764783
121.313044,186.181478
120.013654,188.090869
132.543188,189.024674
111.921349,188.427198
121.096813,191.294039
129.718948,193.533370
84.049943,188.255521
118.469906,189.283038
85.131732,179.896372
98.847672,185.874765
122.664201,184.937740
118.657404,181.182643
121.845511,178.140712
72.816757,182.369843
118.482375,185.076423
105.744084,183.629161
105.656472,178.464650
119.283029,176.930909
93.584693,185.774794
112.626542,191.457304
110.478982,185.128038
85.937999,185.441153
93.265408,180.471706
98.929586,184.007618
112.598204,186.198378
105.368529,187.102789
112.197424,184.412001
100.452072,189.777485
98.768038,188.081340
109.785721,195.084733
83.939771,191.979397
103.696911,190.243001
88.302205,190.797229
105.211276,193.105041
136.865786,194.974080
110.694897,198.097923
108.050276,197.722051
118.074229,198.949861
115.307645,191.353917
105.032360,190.757945
101.598967,189.934383
102.383693,188.147975
110.300973,192.259002
123.706136,199.808514
134.297778,198.691532
111.895836,199.010718
120.133227,192.835090
82.147926,190.840417
119.587739,193.922681
94.356173,184.390163
112.067781,179.362164
118.174585,176.169245
113.355756,176.225978
102.074415,174.889280
71.599256,181.790066
120.061002,176.964345
121.525128,177.130748
128.110858,176.886433
102.753305,179.699802
127.551614,180.062352
129.329813,173.984717
118.775561,174.360740
110.291753,173.355443
105.630792,187.608528
121.720022,187.586369
125.701247,190.248874
116.015044,185.410470
114.260427,187.449383
137.994780,198.359925
107.331767,184.794316
115.469050,187.570490
127.016030,187.597380
131.456254,190.165816
113.705441,187.676274
131.934981,184.667047
121.677598,185.851413
110.624809,183.194093
100.924142,189.570693
118.550090,182.959889
110.558474,185.388746
129.286778,183.379753
104.602929,178.937848
118.647828,179.620923
92.212666,175.825669
96.141274,176.759144
106.463513,178.189042
105.806843,175.581875
78.682612,174.041021
86.480231,174.915857
83.000980,167.714694
83.747495,165.903310
110.462463,165.807496
103.768742,164.094497
105.470641,163.831876
107.704412,165.151602
117.569674,165.307622
89.845484,167.337935
89.697431,166.866775
106.382508,167.489936
110.038464,173.878803
93.617328,169.522620
80.340385,168.907264
101.018795,173.610170
94.173542,171.448310
97.097055,169.142240
101.651751,168.307054
77.091644,164.826849
97.148064,167.044871
105.079956,165.109788
89.271414,167.946471
100.296501,167.619207
83.245007,160.010280
95.309793,166.829942
96.338724,158.953409
94.973371,160.401474
97.420689,162.654439
95.558422,158.384570
98.644405,166.930711
101.309202,157.635735
107.015307,163.205864
83.842396,161.422967
73.808191,163.867550
105.913126,160.903627
94.116656,163.304983
107.655187,163.084433
116.377076,165.001020
99.868378,161.282606
95.360684,165.067706
95.890222,164.119905
112.264938,165.382225
78.975732,173.583496
90.494084,170.395092
110.764712,170.816111
93.072619,171.501989
92.990412,172.517196
111.786199,177.449157
90.431485,174.380796
120.191467,185.395713
118.680276,180.145560
99.957054,170.815894
119.157563,175.571502
107.466515,175.165335
109.513289,167.166827
100.401291,166.907326
101.551397,166.149818
122.720695,174.148869
106.973447,171.273492
103.019840,169.159854
120.510918,170.730751
106.078878,163.625193
108.816311,169.029625
105.510973,165.239063
73.181301,171.456228
109.478474,169.723976
103.950911,161.456037
99.887017,161.569608
77.386437,160.248993
113.705957,166.566960
103.165459,161.802802
95.468727,164.744942
96.461619,164.720754
98.813095,164.589426
95.359116,162.499606
82.675885,162.606301
88.566031,158.115537
97.428470,162.997835
79.174764,161.684007
84.340334,166.136496
96.871717,168.009254
95.380559,164.313749
97.043071,162.287721
83.698847,167.086353
95.918289,171.588004
111.061153,168.582765
105.588550,174.248238
100.793083,173.327734
107.940541,171.169571
106.600351,171.268560
112.552448,166.005309
125.827264,178.490975
100.096123,171.550197
103.107887,169.745397
98.954545,163.027437
90.986127,157.357395
99.680873,161.814353
96.056956,162.692491
110.353110,166.789542
99.519041,165.712446
102.484372,163.086425
101.485577,168.177353
106.198819,174.250085
105.441517,169.265578
88.380421,165.643920
102.191073,169.925643
115.062565,168.593584
101.744921,172.554471
100.876348,172.779015
106.185399,176.352030
106.666956,173.868919
121.703847,178.524859
109.879394,186.397666
106.536048,181.073014
132.605710,187.931587
115.379315,178.986117
103.228821,177.559716
108.540100,178.305734
117.626109,179.447869
107.075091,182.791799
109.522014,170.490081
118.581257,171.101395
111.545232,172.330519
107.280311,174.226112
121.323085,170.654556
112.805858,172.518864
99.600110,167.127499
113.153901,170.469943
109.662885,170.079673
74.904974,169.368135
115.611207,174.559370
113.302290,174.695536
115.676271,171.796661
123.664074,176.066365
124.274174,177.919030
128.129678,179.552783
108.812248,176.440127
110.764074,174.498153
118.293313,181.339384
107.538387,178.906894
118.220757,176.742966
114.751909,182.329127
119.751450,187.882212
107.738850,182.790380
100.119141,187.129875
113.191938,185.013245
125.210803,183.355421
127.118818,186.829685
119.419594,187.711496
109.293184,190.652664
117.310549,187.078957
105.858887,191.018605
111.280310,189.529998
86.900781,187.777095
135.692977,188.580966
116.179358,193.632915
90.704409,186.874159
93.503353,176.946937
103.800997,175.639068
115.218526,182.129004
105.674502,185.373359
112.869048,186.627987
113.375753,178.562545
101.849832,183.485313
122.838541,188.576737
129.509236,194.458891
110.321080,196.444023
129.486120,196.623404
133.399562,192.671336
137.264488,191.632289
135.431960,192.302294
140.803776,193.287612
123.192574,192.968135
131.608513,188.779811
104.444211,190.627540
123.166826,194.388477
117.333657,197.793229
121.991732,192.298417
108.210412,186.940750
131.901642,188.369083
132.692859,184.920112
127.103137,182.505962
123.964029,186.526689
126.466610,185.180926
114.610810,183.798609
123.623969,184.077672
120.019509,187.847220
139.258497,187.077059
135.274010,189.070419
131.317009,187.428388
121.821906,186.953100
126.004287,180.597703
119.744222,174.019676
128.513345,176.703591
142.321259,183.093300
110.179502,181.852374
132.923896,186.300787
125.690444,189.521023
125.619884,189.214096
130.268936,189.837216
128.071130,188.788672
131.408851,191.537323
115.891830,191.991341
111.143218,187.297036
101.516160,189.303875
123.673410,189.581162
128.824209,193.140534
132.177761,194.846171
123.368612,187.662137
119.794112,188.017059
123.141674,189.271411
110.786055,188.609430
123.832212,190.687125
117.172789,187.635577
143.282230,190.519311
121.396157,182.053282
114.359598,186.659701
107.069432,187.814278
119.820832,189.639635
131.848645,196.737428
136.811527,206.552758
125.660834,205.307304
122.164026,201.363377
134.562237,203.228365
151.512047,194.510129
90.803445,194.064164
141.223814,198.501355
122.563853,191.903776
87.846210,195.188778
107.440892,201.379882
124.046402,195.667964
138.719722,197.200836
148.285824,200.369838
79.913195,201.522322
126.762612,202.739841
116.277263,211.454502
128.378699,208.557886
148.409457,207.836644
145.182263,206.568077
136.911669,207.325512
154.747341,211.069082
122.769024,211.350363
139.352461,212.404738
108.008977,208.622997
151.107437,201.279683
141.649015,205.196688
124.078158,209.742326
164.185338,217.199297
155.477145,208.030418
144.599259,207.040491
127.286908,204.609812
139.183273,206.349294
118.425126,208.576302
133.053887,210.573016
142.509160,210.382667
148.338440,209.995163
134.159890,208.081849
142.754564,196.300898
131.196885,203.791492
133.488568,198.232185
127.908761,192.398281
126.987160,190.452303
108.808335,194.822192
130.364930,187.352269
122.098750,193.266113
128.946055,190.219052
114.113755,189.463206
108.714053,188.025168
108.258469,188.305950
100.107585,190.379980
119.892250,185.900077
104.992264,183.442486
125.953520,187.039010
128.333702,184.321060
121.909704,185.187170
91.374958,178.250812
124.399224,185.209952
116.246627,183.287947
126.077778,186.385939
116.307066,187.941487
72.818587,187.238649
96.556233,190.310797
140.016231,193.035751
89.180437,187.173532
117.829940,184.993638
112.446056,185.591567
116.616704,181.212455
126.912956,179.638382
121.705737,185.751478
99.096780,183.293846
115.249962,185.123866
118.964238,187.033481
92.302715,182.874771
114.227810,181.374142
113.508363,182.252771
105.941889,176.640108
118.952210,177.787539
98.506536,173.544435
110.632130,178.817205
101.488505,181.102915
101.881074,173.353088
89.370908,171.533037
115.441782,168.934540
101.901219,168.799476
99.525811,169.323967
105.440804,169.560989
116.617862,178.248216
91.922362,174.113077
112.382713,173.983683
76.343591,170.951129
102.844472,175.560009
104.068413,178.644859
115.174144,177.038934
129.652242,179.609997
121.433781,182.275868
127.415947,188.550234
122.874025,189.566649
120.725056,184.309677
