MejorEval,SolActiva
181.322028,181.363604
181.322028,181.364049
181.322028,182.943394
181.322028,182.938170
181.322028,183.103007
181.322028,184.435301
181.322028,184.442399
176.665171,176.665171
176.665171,181.863991
176.665171,181.855212
176.665171,181.854044
176.665171,203.570905
176.665171,203.571303
176.665171,203.653911
176.665171,203.616805
176.665171,203.084589
176.665171,180.827277
164.834736,164.834736
164.834423,164.834423
164.834064,164.834064
164.834064,164.924974
164.834064,164.919808
164.834064,165.019449
164.834064,164.936849
163.288305,163.288305
163.279107,163.279107
163.237853,163.237853
163.237853,163.438675
163.237853,175.628962
163.237853,175.623994
163.237853,175.253760
163.237853,175.253760
163.237853,175.282410
163.237853,175.282410
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
163.237853,175.278833
162.348796,162.348796
162.348796,162.349138
162.348796,162.349138
162.348796,162.423599
162.348796,163.124266
155.733318,155.733318
155.733318,155.733318
154.747655,154.747655
154.747655,154.747655
154.747655,154.747655
154.747655,154.748913
154.747624,154.747624
154.745463,154.745463
154.739990,154.739990
154.739990,154.739990
154.739990,154.739990
154.739990,154.739990
154.739990,154.739990
152.191572,152.191572
152.191572,152.210586
152.191572,152.205167
152.191572,152.205167
152.191572,152.205167
144.982487,144.982487
136.562220,136.562220
136.562220,136.562220
136.562220,136.566061
136.554139,136.554139
136.554139,136.554139
134.979339,134.979339
134.979339,134.979339
134.979339,134.979339
133.930135,133.930135
133.930135,133.930135
133.930135,133.930135
133.929642,133.929642
133.929642,133.929642
133.435712,133.435712
133.420353,133.420353
133.420353,133.420353
133.420353,133.420353
133.233702,133.233702
133.233702,133.233702
133.233702,133.233702
133.233702,133.233702
133.233702,133.233702
133.233702,133.233702
133.230848,133.230848
133.230848,133.230848
133.230137,133.230137
132.142436,132.142436
132.142436,132.142436
129.657537,129.657537
129.605803,129.605803
129.605803,129.605803
129.605774,129.605774
129.605774,129.605774
129.605774,129.605774
129.605774,129.605774
129.605096,129.605096
129.605096,129.605096
129.605096,129.605096
129.590610,129.590610
129.590610,129.590610
129.502819,129.502819
129.475749,129.475749
129.475749,129.475749
129.475749,129.475749
129.475749,129.475749
129.475749,129.475749
129.475749,129.475749
129.452983,129.452983
129.450530,129.450530
128.388909,128.388909
128.388909,128.388909
128.388909,128.388909
121.824525,121.824525
121.702260,121.702260
121.702260,121.702260
121.694729,121.694729
121.694729,121.694729
121.694729,121.694729
121.694729,121.694729
121.694729,121.694729
121.640956,121.640956
121.640956,121.640956
121.640956,121.640956
121.640727,121.640727
121.639777,121.639777
121.639777,121.639777
121.639777,121.639777
121.639777,121.639777
121.639777,121.639777
120.978308,120.978308
120.978308,120.978308
120.973439,120.973439
120.973439,120.973439
120.968295,120.968295
120.968295,120.968295
120.968295,120.968295
120.341869,120.341869
120.341869,120.341869
120.268627,120.268627
120.268627,120.268627
120.268627,120.268627
120.268627,120.268627
120.268627,120.268627
119.847986,119.847986
119.847986,119.847986
119.787270,119.787270
118.863374,118.863374
118.863374,118.863374
118.863374,118.863374
118.863374,118.863374
118.862433,118.862433
98.140860,98.140860
98.140860,98.140860
98.140860,98.140860
98.140860,98.140860
98.140860,98.140860
98.140860,98.140860
98.140860,98.140860
97.903050,97.903050
97.903050,97.903050
97.903050,97.903050
97.873761,97.873761
97.873761,97.873761
97.873761,97.873761
97.873761,97.873761
97.373890,97.373890
97.373890,97.373890
97.373890,97.373890
97.372063,97.372063
97.372063,97.372063
97.372063,97.372063
97.372063,97.372063
97.372063,97.372063
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.372045,97.372045
97.371537,97.371537
88.501881,88.501881
88.501881,88.501881
84.316744,84.316744
84.316744,84.316744
84.221306,84.221306
84.221269,84.221269
84.221269,84.221269
84.221269,84.221269
84.221269,84.221269
84.221269,84.221269
84.208257,84.208257
84.208257,84.208257
84.208257,84.208257
84.208257,84.208257
84.208257,84.208257
84.208257,84.208257
84.208257,84.208257
83.204549,83.204549
83.204549,83.204549
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.322181,82.322181
82.309276,82.309276
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.146703,82.146703
82.142245,82.142245
82.142245,82.142245
63.854354,63.854354
63.777004,63.777004
63.763608,63.763608
63.763608,63.763608
63.763608,63.763608
63.763608,63.763608
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.817994,60.817994
60.426122,60.426122
60.426122,60.426122
59.950864,59.950864
59.950864,59.950864
59.950864,59.950864
59.939812,59.939812
59.939812,59.939812
59.936176,59.936176
59.936176,59.936176
59.936176,59.936176
59.936176,59.936176
59.936176,59.936176
59.936176,59.936176
59.936176,59.936176
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.934829,59.934829
59.933596,59.933596
59.933596,59.933596
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.807140,59.807140
59.805769,59.805769
59.805769,59.805769
59.805769,59.805769
59.805769,59.805769
59.805769,59.805769
59.649401,59.649401
59.649401,59.649401
59.649401,59.649401
59.648728,59.648728
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.399670,57.399670
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.374008,57.374008
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.344961,57.344961
57.342270,57.342270
57.342270,57.342270
57.342088,57.342088
57.342088,57.342088
57.342088,57.342088
57.342088,57.342088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.476088,56.476088
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475992,56.475992
56.475987,56.475987
56.475987,56.475987
56.475987,56.475987
56.475987,56.475987
56.474867,56.474867
56.474867,56.474867
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.473344,56.473344
56.155044,56.155044
56.137441,56.137441
56.137441,56.137441
56.137441,56.137441
56.137441,56.137441
53.341099,53.341099
53.341099,53.341099
53.341099,53.341099
50.853656,50.853656
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.853609,50.853609
50.708622,50.708622
50.708622,50.708622
50.708622,50.708622
50.708622,50.708622
50.708289,50.708289
50.708289,50.708289
50.708289,50.708289
50.708289,50.708289
50.707725,50.707725
50.707725,50.707725
50.707725,50.707725
50.707725,50.707725
50.707725,50.707725
50.707725,50.707725
50.707725,50.707725
50.707725,50.707725
50.707725,50.707725
