MejorEval,SolActiva
224.053967,224.057551
224.053967,235.503512
224.053967,235.673755
224.053967,235.005345
221.547921,221.547921
215.138450,215.138450
215.132090,215.132090
215.057934,215.057934
215.057934,215.669616
215.057934,215.669025
215.057934,215.666052
215.057934,215.644799
215.057934,215.635529
207.490085,207.490085
207.319935,207.319935
200.414877,200.414877
200.413425,200.413425
200.413425,201.081835
200.413425,201.091447
189.482117,189.482117
189.482117,196.911139
189.482117,197.079866
182.412865,182.412865
182.412865,182.414316
182.412865,182.418229
182.412865,197.540513
182.412865,195.043545
182.412865,195.043918
182.412865,195.043317
182.412865,195.044519
182.412865,195.061700
182.412865,195.061793
182.412865,195.053969
182.412865,195.058546
182.412865,224.167248
182.412865,224.169597
182.412865,224.158051
182.412865,224.157677
182.412865,209.035393
182.412865,210.402690
182.412865,212.900214
182.412865,212.254309
182.412865,212.297514
182.412865,233.216790
182.412865,222.775204
182.412865,222.770072
182.412865,229.569776
182.412865,229.569489
182.412865,229.531019
182.412865,229.531305
182.412865,231.380281
182.412865,231.378655
182.412865,231.382265
182.412865,224.582561
182.412865,224.630320
182.412865,234.723397
182.412865,234.671638
182.412865,216.527978
182.412865,216.845794
182.412865,219.063385
182.412865,196.730145
182.412865,196.755958
182.412865,203.872469
182.412865,203.868491
182.412865,203.860538
182.412865,199.914421
182.412865,199.910811
182.412865,204.134124
182.412865,192.202966
182.412865,191.030610
182.412865,191.023300
182.412865,191.024214
182.412865,191.011091
182.412865,208.105167
182.412865,205.061010
182.412865,205.056033
182.412865,205.646137
182.412865,206.852155
182.412865,206.853797
182.412865,206.871857
182.412865,206.803751
182.412865,206.816871
182.412865,198.661156
182.412865,198.652794
180.370736,180.370736
180.370736,192.628646
180.370736,192.629940
180.370736,192.887677
180.370736,192.981333
180.370736,181.319284
180.370736,181.324261
180.370736,181.314309
180.370736,192.976357
180.370736,200.533788
180.370736,200.543741
180.370736,200.533068
164.236421,164.236421
164.236421,164.319336
164.236421,164.399465
164.236421,164.359640
164.236421,164.693114
162.588313,162.588313
145.314559,145.314559
145.230927,145.230927
140.354479,140.354479
140.353227,140.353227
140.351444,140.351444
138.336851,138.336851
128.996595,128.996595
128.996595,128.997179
128.845033,128.845033
128.802683,128.802683
128.729652,128.729652
128.729652,129.190438
128.729652,164.985244
128.729652,164.914304
128.729652,163.326676
128.729652,163.162776
128.729652,162.182133
128.729652,161.660152
128.729652,151.440733
128.729652,174.847706
128.729652,177.294373
128.729652,177.296310
128.729652,192.708359
128.729652,192.723776
128.729652,192.724191
128.729652,195.972356
128.729652,166.692168
128.729652,166.666763
128.729652,166.669374
128.729652,166.563473
128.729652,166.567974
128.729652,166.568454
128.729652,166.570832
128.729652,166.508406
128.729652,159.852869
128.729652,182.365873
128.729652,200.872275
128.729652,190.674421
128.729652,190.897388
128.729652,184.138969
128.729652,184.138302
128.729652,184.191490
128.729652,201.236270
128.729652,202.623321
128.729652,202.624412
128.729652,202.625779
128.729652,202.797285
128.729652,202.493010
128.729652,202.449121
128.729652,189.994037
128.729652,189.990726
128.729652,189.977363
128.729652,190.278599
128.729652,190.279479
128.729652,190.263552
128.729652,190.276782
128.729652,206.120025
128.729652,207.243039
128.729652,206.526051
128.729652,206.522528
128.729652,206.982752
128.729652,190.403003
128.729652,190.286231
128.729652,166.914055
128.729652,168.484531
128.729652,168.472013
128.729652,175.829333
128.729652,175.776489
128.729652,193.015852
128.729652,193.103659
128.729652,195.020251
128.729652,195.401919
128.729652,195.403605
128.729652,212.677359
128.729652,212.677359
128.729652,212.047072
128.729652,212.046618
128.729652,209.076671
128.729652,206.348002
128.729652,216.741855
128.729652,214.560276
128.729652,214.686133
128.729652,228.525069
128.729652,234.084231
128.729652,233.882316
128.729652,241.906554
128.729652,248.675013
128.729652,248.637948
128.729652,258.445138
128.729652,261.215674
128.729652,261.243571
128.729652,251.436381
128.729652,251.435926
128.729652,251.422238
128.729652,251.422238
128.729652,250.984363
128.729652,250.990138
128.729652,250.848551
128.729652,250.714540
128.729652,250.254569
128.729652,250.627034
128.729652,250.664099
128.729652,250.681278
128.729652,250.680269
128.729652,248.955027
128.729652,248.843013
128.729652,249.194573
128.729652,249.222804
128.729652,249.330374
128.729652,252.849032
128.729652,252.847271
128.729652,252.847271
128.729652,252.865802
128.729652,253.347152
128.729652,257.840646
128.729652,257.799758
128.729652,257.169312
128.729652,257.168723
128.729652,257.174147
128.729652,257.175050
128.729652,252.681556
128.729652,236.440480
128.729652,211.689295
128.729652,211.670685
128.729652,211.077463
128.729652,205.340795
128.729652,205.345490
128.729652,205.456599
128.729652,205.529428
128.729652,205.544960
128.729652,205.518026
128.729652,205.486991
128.729652,205.485833
128.729652,205.478784
128.729652,198.612735
128.729652,210.632720
128.729652,210.552325
128.729652,193.260388
128.729652,193.258045
128.729652,193.261002
128.729652,221.627765
128.729652,221.504798
128.729652,199.137097
128.729652,199.142863
128.729652,199.223259
128.729652,194.849869
128.729652,194.890757
128.729652,194.891234
128.729652,193.198716
128.729652,193.219332
128.729652,193.088615
128.729652,193.092673
128.729652,193.092150
128.729652,193.096783
128.729652,203.843669
128.729652,201.867821
128.729652,201.867288
128.729652,205.282146
128.729652,205.282635
128.729652,205.283213
128.729652,205.283213
128.729652,204.763269
128.729652,204.746896
128.729652,205.017131
128.729652,204.985854
128.729652,204.804771
128.729652,204.935543
128.729652,204.939039
128.729652,204.943213
128.729652,168.905095
128.729652,168.935587
128.729652,177.770131
128.729652,187.893216
128.729652,188.160006
128.729652,211.745601
128.729652,211.745048
128.729652,211.761421
128.729652,212.102303
128.729652,210.922085
128.729652,213.659478
128.729652,213.674160
128.729652,213.659478
128.729652,213.643070
128.729652,195.399761
128.729652,208.628055
128.729652,209.934478
128.729652,228.653240
128.729652,228.526753
128.729652,230.656324
128.729652,230.660260
128.729652,230.660260
128.729652,230.658291
128.729652,225.699405
128.729652,219.540935
128.729652,211.036147
128.729652,211.034738
128.729652,211.032870
128.729652,211.009920
128.729652,215.519250
128.729652,215.609898
128.729652,215.621388
128.729652,211.885674
128.729652,216.225796
128.729652,216.164213
128.729652,216.164153
128.729652,216.721443
128.729652,221.737165
128.729652,217.228985
128.729652,216.643417
128.729652,241.314788
128.729652,241.316630
128.729652,241.299725
128.729652,240.636471
128.729652,240.653377
128.729652,240.652916
128.729652,240.652528
128.729652,251.248030
128.729652,251.244095
128.729652,251.225417
128.729652,251.211745
128.729652,255.621332
128.729652,249.754101
128.729652,249.757937
128.729652,249.795269
128.729652,238.967106
128.729652,236.520410
128.729652,236.520393
128.729652,236.519764
128.729652,236.452877
128.729652,236.452761
128.729652,212.434908
128.729652,228.937975
128.729652,203.913822
128.729652,203.914452
128.729652,187.411384
128.729652,187.945500
128.729652,187.934842
128.729652,187.934842
128.729652,188.001728
128.729652,175.612700
128.729652,175.613124
128.729652,175.648977
128.729652,175.734325
128.729652,175.730116
128.729652,171.320529
128.729652,170.117375
128.729652,170.154476
128.729652,169.073713
128.729652,165.048371
128.729652,190.482821
128.729652,214.427490
128.729652,214.434188
128.729652,220.079758
128.729652,220.079266
128.729652,220.084227
128.729652,220.009296
128.729652,224.418816
128.729652,225.391671
128.729652,225.391671
128.729652,229.690399
128.729652,229.688321
128.729652,229.115102
128.729652,228.811902
128.729652,214.489703
128.729652,214.507608
128.729652,214.508127
128.729652,214.507703
128.729652,211.539081
128.729652,211.615394
128.729652,200.934979
128.729652,201.236796
128.729652,205.021133
128.729652,205.021345
128.729652,205.158408
128.729652,205.190788
128.729652,205.194563
128.729652,211.149273
128.729652,210.880875
128.729652,218.725403
128.729652,222.626418
128.729652,229.118701
128.729652,233.082487
