# Semilla: 1729463119
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
90.971406,173.828843,0.487329,0.311000,0.998144
90.971406,161.922075,0.483149,0.276143,0.998412
90.971406,160.928655,0.479504,0.254500,0.996479
90.971406,153.877123,0.476527,0.272000,0.996849
90.971406,154.025064,0.471727,0.270643,0.996241
90.971406,145.976363,0.461147,0.251214,0.996022
90.971406,140.563983,0.455188,0.243214,0.995405
88.235669,144.272949,0.443602,0.216571,0.994340
88.235669,142.433631,0.433657,0.225286,0.989572
88.235669,137.542101,0.425867,0.212357,0.987297
63.573800,137.477422,0.429178,0.197500,0.990169
63.573800,129.735362,0.419610,0.205929,0.988854
63.573800,132.562790,0.415994,0.208643,0.988449
63.573800,132.185723,0.405678,0.196214,0.987264
62.228210,123.768983,0.405388,0.193357,0.987270
62.228210,123.580054,0.388676,0.179214,0.984303
62.228210,122.203166,0.364198,0.166214,0.980121
62.228210,113.517768,0.347812,0.158714,0.977311
62.228210,116.491530,0.354494,0.166286,0.974705
62.228210,113.474246,0.312898,0.139286,0.968699
62.228210,101.723563,0.291078,0.125500,0.963714
62.228210,96.899682,0.280880,0.122143,0.962308
62.228210,99.861018,0.279935,0.136643,0.961514
62.228210,94.307136,0.266120,0.123500,0.958433
62.228210,92.475675,0.259149,0.117714,0.957161
57.823013,89.390029,0.249388,0.110857,0.957467
57.823013,86.103453,0.232139,0.098214,0.955148
57.823013,82.036788,0.213186,0.096000,0.955592
56.493770,75.710058,0.204086,0.084714,0.954366
49.185119,75.903773,0.195273,0.083071,0.953887
49.185119,74.369902,0.186494,0.077643,0.953287
48.963615,67.131711,0.182463,0.075357,0.953295
48.603523,64.135542,0.183031,0.075286,0.953943
48.603523,61.783902,0.187002,0.082714,0.956076
47.825222,61.381051,0.188886,0.082143,0.955156
47.686715,60.821639,0.189467,0.090214,0.955142
45.678439,57.476312,0.182122,0.083500,0.952172
44.192271,56.856509,0.179380,0.083500,0.949996
42.386681,53.637329,0.174259,0.079214,0.950703
42.386681,54.173176,0.180906,0.078857,0.954573
42.386681,55.938525,0.176404,0.072429,0.954935
39.017274,53.994136,0.173369,0.072857,0.950812
30.222089,50.929208,0.172082,0.076500,0.951158
30.222089,47.710340,0.177143,0.078286,0.950850
30.122362,45.994025,0.175124,0.074214,0.950661
30.122362,45.626584,0.175647,0.075000,0.950726
30.122362,44.823071,0.172345,0.072929,0.949849
29.059971,44.721534,0.174612,0.077786,0.951236
29.059971,43.811453,0.174455,0.074000,0.950038
24.025873,42.592475,0.175029,0.071714,0.948459
24.025873,41.553889,0.167569,0.072929,0.947492
24.025873,39.539706,0.172604,0.072500,0.948507
24.025873,39.878998,0.171220,0.075714,0.948683
23.930710,39.193576,0.171720,0.075500,0.948057
22.143952,39.172699,0.171969,0.071643,0.947312
22.143952,37.374984,0.166657,0.071714,0.949695
22.143952,37.848283,0.167980,0.074429,0.949139
22.143952,38.157066,0.171498,0.071571,0.948724
22.143952,37.778950,0.165684,0.070786,0.950255
22.143952,35.980546,0.162945,0.063214,0.948894
22.143952,36.661803,0.166843,0.070571,0.948363
22.143952,34.585197,0.160969,0.066714,0.950983
22.143952,34.019565,0.157376,0.063143,0.949388
20.748922,34.191492,0.154902,0.062143,0.950559
20.238348,32.985080,0.150345,0.059500,0.947800
20.238348,31.315222,0.146176,0.060643,0.945366
19.872006,28.133409,0.144176,0.061571,0.943808
19.872006,30.307385,0.147247,0.059571,0.944814
19.681494,28.249498,0.138465,0.053643,0.943006
19.681494,29.012334,0.138541,0.058571,0.943006
18.891892,27.341109,0.138304,0.056571,0.943037
18.891892,28.903591,0.142247,0.059143,0.944816
18.891892,26.921503,0.139041,0.059429,0.944342
18.847599,25.137752,0.140492,0.062000,0.945243
18.847599,24.835504,0.138884,0.057500,0.944837
18.840726,25.612657,0.139131,0.058000,0.947239
18.840726,24.556770,0.131512,0.058286,0.947129
18.840726,24.712101,0.135718,0.057857,0.948222
18.840726,23.733360,0.135388,0.062500,0.949003
18.840726,22.253925,0.135845,0.059643,0.949397
18.840726,22.995684,0.136518,0.059714,0.950026
18.840726,24.637605,0.132690,0.058929,0.949785
18.271029,26.316548,0.132390,0.056214,0.950037
17.455292,23.415058,0.129629,0.051857,0.948813
17.455292,23.698709,0.125984,0.054071,0.947483
17.455292,24.702813,0.124002,0.053714,0.947434
17.455292,25.029369,0.127314,0.051714,0.948841
17.157483,24.676436,0.126598,0.047286,0.948070
17.157483,23.270379,0.122782,0.046571,0.947981
17.157483,25.349829,0.123422,0.049286,0.948588
17.157483,21.883110,0.122845,0.045857,0.948559
17.157483,22.613590,0.114806,0.038786,0.948448
17.157483,22.757841,0.111839,0.041429,0.949407
17.157483,22.161164,0.100684,0.036857,0.946688
17.150049,22.839072,0.098812,0.034429,0.946202
17.032389,21.342654,0.093424,0.033571,0.947795
17.032389,24.110436,0.095957,0.037929,0.948704
17.032389,21.305622,0.096376,0.036857,0.950080
17.032389,22.356361,0.098684,0.040429,0.951928
17.032389,23.548441,0.099231,0.036714,0.952462
17.032389,21.427788,0.098610,0.036643,0.952158
16.861393,21.437421,0.096876,0.035357,0.952109
16.861393,21.720768,0.103157,0.039214,0.952664
16.861393,22.435802,0.097700,0.036857,0.953950
16.861393,22.519962,0.095494,0.039857,0.953621
16.861393,24.746105,0.098804,0.041929,0.955003
16.861393,22.704619,0.099324,0.042571,0.953210
16.853613,23.252974,0.104016,0.042786,0.952856
16.813696,21.288845,0.103871,0.046429,0.951024
16.785737,21.115181,0.102645,0.043143,0.951476
16.731615,23.437245,0.100016,0.044714,0.951089
16.731615,23.565799,0.098118,0.040500,0.951562
16.701763,22.291805,0.095267,0.037786,0.949917
16.701763,20.364359,0.093933,0.033857,0.948513
16.701763,22.707564,0.093249,0.035571,0.949137
16.694135,22.847366,0.095976,0.035286,0.949807
16.694135,24.303926,0.098957,0.039000,0.949949
16.694135,24.078345,0.102237,0.041786,0.949304
16.649660,22.537772,0.098008,0.037929,0.949725
16.649660,21.631970,0.093308,0.034714,0.949866
16.605673,19.047563,0.088043,0.032143,0.950487
16.590106,20.581856,0.091547,0.034429,0.950540
16.522696,19.544553,0.090576,0.036500,0.949957
16.522696,18.987753,0.091088,0.038143,0.950081
16.522696,19.709901,0.090571,0.037071,0.950935
16.522696,20.681627,0.090906,0.035929,0.949958
16.522696,21.014758,0.090445,0.033929,0.950276
16.522696,22.395829,0.094073,0.037571,0.949518
16.522696,22.956278,0.093018,0.037429,0.949826
16.522696,21.813249,0.093629,0.036643,0.949448
16.522696,25.971336,0.097514,0.039071,0.947874
16.522696,19.888302,0.087088,0.030071,0.947723
16.522696,21.088942,0.085582,0.029857,0.947908
16.522696,19.520259,0.081314,0.031214,0.947781
16.522696,20.017434,0.081455,0.031786,0.947962
16.452840,20.443488,0.085418,0.035714,0.947961
16.452840,21.834527,0.087818,0.035857,0.946771
16.452840,20.276397,0.089606,0.034429,0.945956
16.452840,19.582718,0.088110,0.036571,0.945772
16.452840,21.172586,0.083039,0.033643,0.945000
16.451977,21.223450,0.082314,0.033357,0.943975
16.451977,18.772862,0.081031,0.033000,0.942641
16.451977,19.202630,0.078571,0.026643,0.941677
16.451484,21.035873,0.082827,0.026571,0.941821
16.434428,20.558134,0.084037,0.029643,0.942588
16.434133,22.360836,0.086480,0.030500,0.943310
16.432296,21.076927,0.089012,0.030714,0.945703
16.432296,19.656162,0.089290,0.033000,0.943791
16.429264,19.166710,0.091024,0.032571,0.943696
16.423551,18.506924,0.089392,0.030929,0.941949
16.421819,21.252353,0.087210,0.033071,0.938396
16.414657,21.026944,0.088247,0.034643,0.939001
16.414657,20.731329,0.089655,0.034571,0.940030
16.412546,22.389493,0.091898,0.032786,0.942413
16.412546,20.858056,0.089345,0.034071,0.941830
16.409755,23.379533,0.092414,0.034500,0.938203
16.398640,22.531208,0.095980,0.037143,0.935992
16.398640,21.164349,0.093169,0.035214,0.933635
16.398306,22.641601,0.095488,0.036571,0.930471
16.390698,24.161072,0.095920,0.041429,0.929618
16.390698,23.947943,0.095618,0.040143,0.931864
16.390698,26.437019,0.096718,0.042357,0.929138
16.390698,22.929032,0.093398,0.040000,0.930284
16.390698,21.943756,0.090865,0.037786,0.927124
16.390698,24.834649,0.095808,0.040429,0.929622
16.384957,22.290774,0.095229,0.039286,0.924213
16.379384,24.197342,0.095153,0.037786,0.921430
16.379384,23.589618,0.095800,0.036571,0.919671
16.379384,22.406120,0.101953,0.041429,0.922698
16.379384,20.888365,0.102424,0.043286,0.923044
16.379384,20.761841,0.101506,0.042786,0.920801
16.374342,22.693507,0.102482,0.044357,0.922065
16.374342,23.190967,0.102043,0.041071,0.923073
16.374342,23.652717,0.105369,0.044643,0.924260
16.366540,20.965407,0.103029,0.043857,0.922548
16.366540,21.099009,0.103494,0.039786,0.924402
16.353294,19.615276,0.098631,0.034071,0.921569
16.353294,20.263554,0.101702,0.036500,0.922386
16.353204,20.079565,0.101267,0.038929,0.920515
16.353204,19.220551,0.094786,0.036643,0.918477
16.350347,19.971724,0.096967,0.036786,0.918918
16.349558,19.044197,0.097018,0.035000,0.917489
16.349558,20.220675,0.098965,0.036214,0.919200
16.349558,20.031020,0.102316,0.044571,0.920988
16.349558,21.053956,0.106273,0.044214,0.922830
16.338178,21.673090,0.103912,0.041286,0.925351
16.338178,21.835613,0.103096,0.042143,0.925868
16.336848,24.198494,0.102106,0.040286,0.926240
16.336848,22.672553,0.101110,0.040571,0.927555
16.336848,21.093099,0.099265,0.043071,0.925798
16.336212,20.776836,0.094802,0.040929,0.926775
16.325043,21.044567,0.096265,0.038500,0.927282
16.325043,20.622731,0.093316,0.039714,0.927297
16.325043,23.480040,0.097114,0.042357,0.930483
16.325043,22.586631,0.096669,0.043714,0.932424
16.322209,23.015782,0.096406,0.041857,0.932924
16.322028,21.538447,0.093814,0.039429,0.932828
16.319669,23.323616,0.092310,0.040571,0.933522
16.319669,21.489169,0.093192,0.039143,0.932396
16.319669,21.120520,0.086782,0.036857,0.934735
16.318202,23.421241,0.088537,0.036357,0.936079
16.318202,21.723026,0.088333,0.037000,0.936281
16.318202,20.194730,0.086639,0.033286,0.936872
16.318202,20.065275,0.089416,0.033000,0.936604
16.318202,21.227473,0.089916,0.033286,0.937697
16.316889,20.066484,0.089329,0.031357,0.937389
16.316889,20.974826,0.091016,0.034429,0.939455
16.316352,22.043571,0.090527,0.033714,0.939486
16.316352,22.947677,0.093643,0.036857,0.939620
16.316352,20.903324,0.090792,0.035643,0.938966
16.312874,20.416847,0.080822,0.031357,0.936945
16.312874,21.275731,0.080445,0.031643,0.937498
16.312874,21.012351,0.076569,0.027500,0.936276
16.312874,19.862598,0.073073,0.026286,0.935774
16.312874,20.108609,0.070655,0.023214,0.936274
16.312874,20.201536,0.069345,0.022286,0.936499
16.312874,21.480018,0.071437,0.025571,0.936584
16.311955,21.894396,0.071092,0.025000,0.936665
16.311955,21.396095,0.072492,0.024857,0.936900
16.310632,20.606069,0.074100,0.025286,0.936716
16.310632,21.279079,0.071908,0.023357,0.939253
16.310632,22.347839,0.078147,0.027500,0.939301
16.310632,22.221835,0.075759,0.027357,0.938767
16.310632,20.386333,0.070547,0.024429,0.938572
16.310632,21.235236,0.072027,0.025357,0.940443
16.310632,20.756069,0.071294,0.023571,0.941204
16.310632,20.580256,0.075969,0.027143,0.941578
16.310632,23.921584,0.075616,0.027214,0.942360
16.310632,21.021097,0.073647,0.025786,0.938768
16.310632,20.550225,0.070800,0.025857,0.939211
16.309237,20.321738,0.070969,0.025500,0.938096
16.309237,21.568468,0.068092,0.026857,0.937833
16.308841,23.594243,0.066422,0.025429,0.940698
16.308841,22.919353,0.064488,0.023214,0.936367
16.307549,23.821689,0.065402,0.025214,0.936964
16.307549,21.619723,0.061784,0.022143,0.935309
16.307147,22.150883,0.065122,0.025500,0.934652
16.306183,22.160532,0.057641,0.020429,0.935526
16.306183,23.096272,0.057680,0.021286,0.936042
16.306183,21.541566,0.057676,0.022071,0.934649
16.306183,22.044636,0.054490,0.019143,0.934630
16.306008,20.950073,0.062788,0.020571,0.934513
16.306008,23.468921,0.062753,0.020143,0.933629
16.306008,20.517337,0.057608,0.017714,0.934506
16.306008,20.415167,0.055088,0.015571,0.935587
16.306008,20.307755,0.061027,0.016071,0.932553
16.306008,20.834771,0.058973,0.018857,0.932365
16.306008,21.271101,0.046869,0.013214,0.934354
16.306008,19.218931,0.045769,0.011643,0.933367
16.305646,20.072235,0.045082,0.014286,0.934863
16.305646,20.576939,0.043673,0.013714,0.934248
16.305646,20.882802,0.042245,0.012786,0.934202
16.305646,22.501899,0.043735,0.016500,0.932609
16.305646,20.159515,0.042692,0.014643,0.931498
