MejorEval,PromedioEval
110.083981,168.350148
110.083981,167.506718
101.374881,158.486316
101.374881,154.082380
101.374881,156.437939
96.265969,149.319639
96.265969,149.509356
96.265969,146.876639
91.978900,147.942871
91.978900,142.908134
55.004702,140.704152
55.004702,137.509613
55.004702,130.837561
55.004702,129.399145
55.004702,124.601680
55.004702,124.282758
55.004702,122.563265
55.004702,119.284937
55.004702,115.771289
55.004702,108.227736
55.004702,102.863089
55.004702,102.453020
55.004702,101.983884
55.004702,96.505437
55.004702,93.882969
55.004702,92.956237
55.004702,92.722824
55.004702,92.642335
55.004702,93.394929
51.654512,88.835512
51.654512,89.335898
51.654512,92.265441
51.654512,93.549138
51.654512,83.383097
51.654512,82.517530
37.530895,76.517966
37.530895,81.511309
37.530895,74.972746
37.530895,77.353444
37.530895,69.755955
37.530895,74.551147
37.530895,74.666260
37.530895,77.215861
37.530895,77.447521
37.530895,73.547142
37.530895,70.714451
37.530895,65.013440
37.530895,62.165897
37.530895,69.938192
37.530895,64.322915
37.530895,72.875178
36.842553,68.399917
36.842553,64.404891
36.842553,57.365183
35.362019,55.905618
34.453307,55.233591
34.453307,57.941132
34.453307,54.844413
31.982790,50.471313
31.982790,49.909947
26.264884,47.943110
26.264884,45.005079
24.161479,44.009792
24.161479,40.120469
23.224420,39.587047
23.224420,39.049964
22.323762,38.288802
21.733897,36.011897
21.581823,32.715387
20.724219,32.978342
20.724219,30.029134
20.134931,30.068405
20.134931,28.357063
20.134931,28.966613
19.976308,27.620388
19.576561,25.399767
19.093039,25.201305
18.208074,24.384130
18.208074,26.949663
17.366238,24.442894
17.366238,24.846579
17.366238,24.808780
17.335240,24.337469
17.216676,22.744753
16.602515,22.123805
16.598119,20.756034
16.598119,19.724574
16.598119,22.006219
16.515090,23.459062
16.326082,22.544717
16.326082,20.808941
16.326082,21.461728
16.326082,23.135894
16.251676,21.934167
16.251676,21.033048
16.233679,21.342602
16.233679,21.170440
16.212567,22.042234
16.006843,20.985189
16.006843,21.687645
16.006843,20.981902
15.680532,20.458965
15.680532,20.989421
15.680532,20.498777
15.680532,21.156980
15.619776,20.404891
15.619776,21.720781
15.578190,21.577630
15.578190,21.918664
15.578190,22.677353
15.576227,22.655606
15.549191,21.667571
15.466267,21.306131
15.466267,23.261025
15.466267,18.626861
15.445790,19.627301
15.445790,21.763737
15.445790,20.645206
15.445790,18.174274
15.410072,17.591954
15.410072,18.782553
15.410072,17.567479
15.244951,19.902706
15.244951,19.432609
15.244951,20.528836
15.244951,21.048838
15.244951,19.434786
15.244951,20.321467
15.244951,19.198542
15.244951,19.808353
15.244951,19.167126
15.244951,21.405930
15.244951,19.887505
15.244951,19.997533
15.244951,21.750131
15.187326,19.743468
15.187326,19.675570
15.069386,20.298533
15.069386,20.247307
15.069386,20.134777
15.069386,21.780101
15.069386,19.731507
15.069386,18.671038
15.069386,18.984110
15.069386,19.859476
15.037773,18.736885
15.037773,19.793309
15.017167,18.418247
15.017167,19.784053
15.017167,21.434900
15.004725,19.882894
15.004725,18.993983
15.003550,19.104034
14.909584,23.371126
14.903993,21.454484
14.901935,18.577230
14.899758,18.642356
14.878715,18.163227
14.878715,18.718984
14.878715,19.882033
14.878715,22.445758
14.878715,24.331140
14.878715,18.606774
14.866799,19.123126
14.866799,18.409006
14.833467,19.509681
14.833467,19.847022
14.827882,21.312484
14.827882,20.222144
14.827882,19.072385
14.827882,20.487167
14.827882,18.689892
14.809667,19.476297
14.809667,20.028108
14.809667,19.693098
14.809667,20.989639
14.809667,21.397059
14.806007,20.011726
14.797260,19.697899
14.794769,21.158485
14.794769,19.809260
14.784239,20.542708
14.784239,22.211879
14.772251,22.278845
14.772251,20.961082
14.772251,18.213057
14.772251,18.514709
14.772251,19.141998
14.772251,21.208946
14.752066,19.292884
14.752066,19.015166
14.752066,20.554497
14.752066,19.560731
14.752066,19.784579
14.750819,19.219637
14.750819,18.530598
14.741567,18.230249
14.737845,19.216859
14.737845,17.795436
14.737391,18.545291
14.737391,20.375847
14.733509,20.652887
14.731265,17.845635
14.727872,17.792691
14.727872,17.866288
14.727872,17.355101
14.727081,17.785435
14.727081,18.294975
14.723778,18.793666
14.723339,17.737085
14.720678,19.746147
14.720678,18.818953
14.720678,19.782312
14.720678,19.273510
14.720678,20.561311
14.720678,19.150921
14.716885,19.872322
14.716885,19.282467
14.716490,20.972830
14.715460,20.398335
14.715460,20.553634
14.713416,19.974540
14.711983,21.142792
14.711983,21.135879
14.711983,21.280142
14.711983,20.847902
14.711533,19.928222
14.708406,18.809069
14.705647,18.365392
14.701824,17.963921
14.701670,18.637483
14.701670,17.831243
14.694452,18.082098
14.694452,19.595980
14.694452,17.949474
14.693560,19.190125
14.693560,17.770255
14.693560,20.076139
14.693560,18.305774
14.693560,19.128148
14.688929,20.874840
14.688929,20.421535
14.688929,19.985483
14.685993,20.865528
14.685993,22.188542
14.685993,21.478859
14.685993,21.033629
14.685993,20.853533
14.685993,18.238631
14.685949,19.567404
14.683900,19.888756
14.683900,19.742308
14.683900,19.323578
14.683792,20.605539
14.679563,19.825177
14.679563,22.356610
14.679563,18.366033
14.679563,21.989775
14.677862,20.293451
14.677862,21.012139
14.677862,21.880721
14.676315,20.643454
14.676315,19.075716
14.676315,21.150515
14.675960,19.311956
14.675960,21.247860
14.675418,20.063672
14.675418,17.565090
14.675418,18.846068
14.675418,18.540225
14.675418,18.433580
14.675418,19.563908
14.675418,19.473993
14.674608,19.249378
14.674608,18.665733
14.673982,20.607816
14.673982,19.895017
14.673982,19.236588
14.673982,21.605087
14.673982,21.926697
14.673548,20.374875
14.673195,19.518763
14.673195,18.331320
14.669085,19.349191
14.669085,20.151363
14.669085,19.711738
14.667979,17.935269
14.667979,18.164575
14.667979,19.070278
14.667979,20.034909
14.667979,21.323128
14.667979,22.814250
14.667421,22.519995
14.667421,20.624104
14.665770,18.173601
14.664247,20.031984
14.664247,20.363384
14.664247,17.899035
14.664247,18.303934
14.664247,19.440419
14.664247,19.545205
14.664247,21.224440
14.664064,19.722101
14.663391,18.789475
14.663391,18.459410
14.662451,18.342677
14.661864,18.994658
14.661864,19.210598
14.661864,21.794443
14.661864,21.073949
14.661278,20.101319
14.661278,21.192567
14.661278,21.546119
14.660981,21.339699
14.660981,19.968734
14.660981,19.294078
14.660981,20.930464
14.660981,20.905425
14.660981,20.330663
14.660981,21.842166
14.660981,20.490181
14.660981,20.074609
14.660981,18.551266
14.660981,19.893368
14.660867,21.085026
14.660867,20.028430
14.659199,19.586094
14.658803,17.983782
14.658803,18.864034
14.658803,17.803070
14.658743,17.729365
14.658743,19.606778
14.658743,20.459075
14.658743,22.239112
14.658743,20.342509
14.658592,19.175728
14.658592,19.213614
14.658592,19.458391
14.658592,20.891323
14.658592,20.117006
14.658592,18.458395
14.658560,17.609114
14.658221,18.349707
14.658221,20.341411
14.657947,20.745038
14.657947,21.155456
14.657947,18.442073
14.657947,19.396323
14.657947,19.855861
14.657947,20.185856
14.657947,19.104608
14.657947,18.093328
14.657818,19.120272
14.657818,19.019773
14.657818,18.667651
14.657818,17.314436
14.657652,19.245589
14.657652,21.953684
14.657652,19.481515
14.657652,20.115424
14.657652,18.432030
14.657521,18.889831
14.657521,17.768790
14.657521,21.616510
14.657521,19.396650
14.657521,19.543404
14.657521,19.073496
14.657521,18.949057
14.657521,20.932805
14.657521,20.379999
14.657521,18.559602
14.657459,19.729641
14.657459,17.052370
14.657459,20.129038
14.657459,18.942460
14.657351,17.405196
14.657351,19.597556
14.657351,17.119721
14.657315,16.912807
14.657315,18.896692
14.657315,19.184774
14.657315,18.063856
14.657315,19.218465
14.657315,20.325727
14.657315,20.761568
14.657315,19.124089
14.657315,19.239329
14.657315,18.995769
14.657311,19.470158
14.657311,17.304108
14.657289,18.497213
14.657289,19.004834
14.657289,19.934410
14.657289,20.079645
14.657270,20.774517
14.657211,21.336044
14.657211,20.985953
14.657211,18.810069
14.657207,19.251962
14.657156,18.804795
14.657156,20.205350
14.657156,21.233073
14.657156,18.711885
14.657156,19.654906
14.657156,19.631232
14.657156,19.768900
14.657156,18.750169
14.657154,19.997069
14.657154,18.230051
14.657150,17.825466
14.657150,18.218257
14.657150,18.974311
14.657150,18.563556
14.657147,18.465239
14.657147,19.949090
14.657138,20.016841
14.657125,18.119306
14.657125,18.693278
14.657125,18.021904
14.657125,18.396752
14.657125,20.262748
14.657125,18.296159
14.657125,19.302009
14.657125,18.767619
14.657125,19.996536
14.657125,18.944057
14.657111,17.237190
14.657111,19.706914
14.657111,19.916331
14.657108,18.382188
14.657108,17.891902
14.657108,18.281885
14.657108,19.561401
14.657108,19.684432
14.657108,20.512406
14.657108,22.156044
14.657108,21.165710
14.657108,20.417681
14.657108,20.283438
14.657085,20.656645
14.657085,20.023424
14.657085,17.346346
14.657085,17.672021
14.657085,18.719006
14.657085,17.857038
14.657085,21.051530
14.657081,20.787082
14.657081,20.637307
14.657068,21.652595
14.657068,19.767838
14.657068,18.512580
14.657065,17.776474
14.657065,19.546382
14.657065,18.694529
14.657065,19.271274
14.657065,18.361825
14.657065,18.509612
14.657065,17.666540
14.657065,20.695693
14.657065,19.875589
14.657065,21.584744
14.657065,19.504235
14.657065,18.764668
14.657064,19.626357
14.657064,19.968440
14.657064,20.797666
14.657064,21.781896
14.657064,18.835137
14.657064,21.453443
14.657064,19.935564
14.657064,22.279411
14.657064,20.011109
14.657064,18.658914
14.657064,17.942400
14.657064,20.684710
14.657064,18.176278
14.657064,19.531725
14.657064,21.685081
14.657064,19.141307
14.657064,19.774749
14.657064,18.091163
14.657064,17.926179
14.657064,21.084102
14.657064,18.702647
14.657064,20.347748
14.657064,18.910020
14.657064,18.274951
14.657064,19.945276
14.657064,20.670874
14.657064,19.419275
14.657064,21.572782
14.657064,19.475288
14.657064,20.465440
14.657064,20.051927
14.657064,19.339153
14.657063,18.916507
14.657063,18.879521
14.657063,18.881998
14.657063,18.429243
14.657063,18.821101
14.657063,19.542243
14.657063,20.463892
14.657063,19.384321
14.657063,20.034991
14.657063,20.328292
14.657063,21.322481
14.657063,22.011084
14.657063,18.315589
14.657063,18.106468
14.657063,18.697456
14.657063,19.390313
14.657063,19.488185
14.657063,16.948564
14.657063,18.892043
14.657063,21.531875
14.657063,21.304282
14.657063,18.543160
14.657063,18.695133
14.657063,19.628020
14.657063,21.069824
14.657063,18.417042
14.657063,19.161233
14.657063,18.761779
14.657063,16.756638
14.657063,17.610084
14.657063,18.059109
14.657063,19.750282
14.657063,19.541972
14.657063,22.603537
14.657063,22.084740
14.657063,20.236760
14.657063,21.511902
14.657063,22.729887
14.657063,21.338165
14.657063,17.506700
14.657063,18.348815
14.657063,19.666396
14.657063,18.461921
14.657063,17.676910
14.657063,19.413374
14.657063,18.409638
14.657063,21.711899
14.657063,18.488836
14.657063,21.536016
14.657063,21.548427
14.657063,20.188320
14.657063,20.542484
14.657063,19.610539
14.657063,20.842618
14.657063,19.160015
14.657063,20.191056
14.657063,17.658929
14.657063,20.778193
14.657063,19.809458
14.657063,18.801055
14.657063,17.579668
14.657063,17.711855
14.657063,19.273984
14.657063,23.775686
14.657063,23.004941
14.657063,21.824211
14.657063,23.189476
14.657063,21.093990
13.906522,19.085328
13.906522,16.420829
13.906522,17.213511
13.906522,18.921072
13.906522,21.497684
13.906522,20.491401
13.906522,18.949538
13.906522,19.554351
13.906522,17.823857
13.906522,17.661777
13.906522,18.740743
13.906522,19.312229
13.906522,19.012094
13.906386,19.503306
13.906386,18.657276
13.906386,18.675599
13.906386,21.926558
13.906386,19.324918
13.906386,18.273763
13.906386,19.358883
13.906386,18.565760
13.904363,17.938107
13.904363,20.204714
13.904363,19.905542
13.904363,19.615485
13.904363,22.449403
13.904240,21.064911
13.904229,20.447011
13.904229,19.240210
13.904229,20.066726
13.904229,21.476222
13.904229,23.974363
13.904229,25.032033
13.904229,21.702165
13.904229,20.409982
13.904229,22.556333
13.904229,21.834094
13.904229,21.881187
13.904229,22.983760
13.904229,22.194233
13.840200,21.634774
13.840200,21.785103
13.706740,21.646487
13.706740,19.317244
13.706740,16.978313
13.706740,17.828466
13.706740,17.052530
13.706740,19.739428
13.706740,16.994417
13.706740,16.859385
13.706740,20.498881
13.706740,22.815316
13.706740,20.925387
13.681995,20.172356
13.681995,18.691235
13.681995,19.699519
13.681995,17.909665
13.681995,17.348141
13.681967,17.644401
13.681956,18.770424
13.681956,17.380059
13.681956,17.300771
13.681956,15.685011
13.667468,18.310776
13.667468,18.233158
13.662106,18.831649
13.662106,19.474839
13.662106,18.219797
13.662106,17.490708
13.662106,16.341385
13.662106,17.287822
13.662104,18.419864
13.662104,20.621613
13.662104,20.900856
13.662104,17.578746
13.662104,17.171390
13.662104,18.105747
13.662104,16.283667
13.662104,18.898741
13.662104,18.313666
13.662104,17.529300
13.662104,17.897732
13.662104,20.225116
13.662104,21.431327
13.662104,18.724084
13.662104,16.587960
13.662104,19.066603
13.662104,19.305640
13.662104,16.656379
13.662104,18.158939
13.662104,17.899040
13.662104,17.994535
13.662104,16.553501
13.662104,18.822652
13.662104,20.014974
10.940221,20.946044
10.940221,18.278068
10.939163,15.236719
10.939163,17.526218
10.939163,19.023815
10.939163,19.255992
10.939163,18.736663
10.939163,19.922230
10.921323,19.825910
10.921323,18.171898
10.921323,17.890105
10.919568,20.488394
10.919256,18.254194
10.919256,17.861652
10.919256,20.262627
10.909537,18.796404
10.904374,17.081769
10.904374,18.576557
10.904374,16.273315
10.699702,15.932943
10.682536,13.651052
10.682536,13.374226
10.682536,14.799423
10.682536,14.158099
10.682536,14.072020
10.682536,15.009886
10.682536,16.737047
10.682536,14.615760
10.682536,15.744427
10.682536,15.436696
10.682536,14.568335
10.682536,15.443996
10.682536,14.934252
10.682536,15.894507
10.682536,15.190522
10.682536,14.543443
10.682427,15.631977
10.682294,14.181237
10.682268,16.014414
10.682268,18.382042
10.682268,17.738833
10.682268,17.113144
10.682268,15.535684
10.682268,13.899424
10.682268,15.346916
10.682268,16.967935
10.682268,18.393816
10.682268,14.225371
10.682268,13.543510
10.682268,14.769801
10.682268,15.552409
10.682155,16.034674
10.682155,16.070730
10.682113,16.512424
10.682113,16.845609
10.682113,16.294870
10.682113,17.205986
10.682113,20.005676
10.682113,17.703843
10.682113,19.117406
10.682113,18.076997
10.682113,17.891596
10.682113,17.147842
10.682110,16.606544
10.682110,15.998756
10.682110,16.720634
10.682110,19.661851
10.682110,21.910684
10.682110,19.306805
10.682110,19.320007
10.682110,16.355259
10.682110,16.244463
10.682091,16.039739
10.682091,15.015359
10.682091,15.132296
10.682091,15.250342
10.682091,16.269331
10.682091,13.301301
10.682091,15.516332
10.682091,18.241493
10.682091,15.837645
10.682091,16.970597
10.682091,17.783901
10.682091,15.474224
10.682091,16.783994
10.682091,14.782443
10.682091,16.087263
10.677232,15.912278
10.677232,15.964878
10.677232,19.261230
10.677232,17.893840
10.677232,19.110753
10.677232,17.393498
10.677232,17.149993
10.677232,15.725251
10.677232,16.263004
10.677232,16.176239
10.677232,15.068970
10.677232,14.255165
10.677232,14.811864
10.677232,15.273944
10.677232,15.590411
10.677232,16.185181
10.677232,16.405344
10.677232,17.056756
10.677232,14.622825
10.677232,14.917973
10.677232,17.113140
10.677232,19.254161
10.677232,17.149414
10.677232,17.145655
10.677232,14.734096
10.677232,15.758555
10.677232,15.000168
10.677232,13.679551
10.677232,15.255834
10.677232,15.048669
10.677232,16.589298
10.677232,14.564585
10.677232,16.001373
10.677232,15.161447
10.677232,16.359049
10.677232,16.043400
10.677232,15.393193
10.677232,14.987985
10.677232,15.325852
10.677232,15.459297
10.677232,15.714509
10.677232,15.666068
10.677232,15.264152
10.677232,14.372993
10.677232,14.967359
10.677232,15.881424
10.677232,17.450122
10.677232,15.774571
10.677232,14.965336
10.677232,15.765715
10.677232,16.137521
10.677232,13.860348
10.677232,15.742157
10.677232,15.355092
10.677232,13.452410
10.677232,13.418658
10.677232,14.929165
10.677232,13.386466
10.677232,14.253943
10.677232,14.396822
10.677232,16.320328
10.677232,17.509377
10.677232,17.941995
10.677232,17.064580
10.677232,15.931080
10.677232,14.865484
10.677232,16.138488
10.677232,14.455336
10.677232,13.495516
10.677232,14.892641
10.677232,15.371327
10.677232,15.123422
10.677232,15.903879
10.677232,14.954999
10.677232,14.806881
10.677232,15.645253
10.677232,14.745106
10.677232,15.786436
10.677232,17.140608
10.677232,15.390690
10.677232,14.604358
10.677232,14.311723
10.677232,14.178137
10.677232,14.047647
10.677232,15.887407
10.677232,16.230400
10.677232,17.196471
10.677232,14.395013
10.677232,15.788324
10.677232,15.173247
10.677232,16.264892
10.677232,17.411553
10.677232,19.343723
10.609216,14.550847
10.609216,13.796931
10.609216,13.868325
10.609216,16.420327
10.609216,19.124338
10.609216,15.773356
10.609216,16.061057
10.609216,15.972192
10.609216,15.303417
10.609216,14.421824
10.609216,17.751994
10.609216,18.202665
10.609216,18.023812
10.609216,16.267819
10.609216,16.882461
10.609216,17.385776
10.609216,14.752235
10.609216,15.597970
10.609216,15.813838
10.609216,15.282831
10.609216,15.474292
10.609216,15.371386
10.609216,14.835307
10.609216,16.115141
10.609216,15.284177
10.609216,15.300828
10.609216,18.480939
10.609216,17.140394
10.609216,17.248141
10.609216,16.576134
10.609216,16.358227
10.609216,16.041099
10.609216,14.773244
10.609216,14.717508
10.609216,14.109770
10.609216,15.091559
10.609216,13.610939
10.609216,16.470089
10.609216,18.425860
10.609216,14.921077
10.609216,15.671387
10.609216,15.747060
10.609216,15.916776
10.609216,16.375259
10.609216,16.131385
10.609216,15.863172
10.609216,14.849772
10.609216,16.872499
10.609216,13.723212
10.609216,14.124718
10.609216,13.556868
10.609216,16.817091
10.609216,16.737322
10.609216,15.501858
10.609216,17.604558
10.609216,17.041111
10.609216,17.585683
10.609216,17.989634
10.609216,16.140508
10.609216,14.173812
10.609216,14.779440
10.508077,16.642804
10.508077,19.585345
10.508077,20.191173
10.508077,17.936800
10.508077,16.983363
10.508077,17.301494
10.508077,18.781349
10.508077,14.434303
10.508077,14.893616
10.508077,15.178214
10.464037,15.163881
10.464037,16.181781
10.464037,15.743900
10.464037,15.335277
10.464037,16.955823
10.464037,16.760494
10.464037,17.112055
10.464037,18.806702
10.464037,19.780539
10.464037,16.687284
10.464037,14.813235
10.464037,14.705595
10.464037,14.676479
10.464037,15.804921
10.457975,15.631839
10.457975,13.762081
10.457398,15.551821
10.455278,15.719856
10.455278,13.882006
10.452513,13.926350
10.450003,14.696609
10.450003,16.259915
10.448773,19.475959
10.448773,19.025517
10.448773,15.000635
10.448321,14.678898
10.448321,15.451852
10.448321,15.686708
10.445424,16.885508
10.445365,16.959151
10.445365,16.791466
10.444360,14.654943
10.443592,14.818178
10.443592,15.588921
10.443503,15.725746
10.442887,16.519538
10.441790,14.726727
10.441790,14.157186
10.441790,14.355786
10.441790,15.072565
10.441790,14.150641
7.707086,15.507491
7.707086,17.623900
7.707086,17.951704
7.707086,17.371841
7.632613,15.950256
7.632613,16.445603
7.632613,13.985057
7.632613,13.947501
7.632613,15.056692
7.632613,17.486788
7.632613,16.317300
7.632613,17.933420
7.632613,18.720391
7.632613,17.541377
7.592766,17.041097
7.592766,13.122679
7.592766,17.145136
7.592766,17.514967
7.592766,16.090806
7.592766,14.427337
7.503088,16.023265
7.503088,16.529132
7.502691,14.176861
7.502691,11.797003
7.502691,11.644308
7.502691,10.744473
7.502691,11.635087
7.463756,11.169943
7.463756,12.430089
7.463756,11.575171
7.463756,14.057079
7.463756,11.506001
7.463756,12.549084
7.463756,13.665635
7.462574,14.592912
7.462574,14.235343
7.462090,12.961966
7.461928,12.094169
7.461928,11.530459
7.461928,10.965545
7.461928,11.064047
7.461635,10.576218
7.461635,12.526011
7.461635,12.673507
7.461635,11.682450
7.461635,11.164306
7.461635,12.351615
7.461635,13.174538
7.461635,14.900521
7.461635,11.845902
