# Semilla: 1729463257
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
1247.630160,4294.475325,0.489622,0.337857,0.998160
578.833085,3924.843813,0.483569,0.316143,0.997610
578.833085,4440.081024,0.478371,0.333000,0.995815
578.833085,4857.014781,0.475369,0.325857,0.995941
578.833085,4111.503415,0.470369,0.317071,0.993708
578.833085,4523.182765,0.464351,0.297857,0.992377
578.833085,5078.391937,0.459092,0.310214,0.991742
578.833085,5255.113574,0.453045,0.297786,0.991539
578.833085,5323.357406,0.447443,0.299786,0.991313
578.833085,5310.528247,0.445316,0.286929,0.989878
578.833085,4955.392909,0.441806,0.299857,0.988333
578.833085,5087.239586,0.435859,0.284143,0.988823
578.833085,4944.816963,0.434435,0.278357,0.990041
578.833085,5365.813992,0.429971,0.271429,0.991320
578.833085,5579.712891,0.429147,0.285214,0.989462
578.833085,5968.872437,0.424657,0.273929,0.989209
578.833085,5357.984232,0.422959,0.273357,0.990588
578.833085,5090.004482,0.424084,0.277000,0.990941
578.833085,5225.198110,0.417014,0.274071,0.990974
578.833085,4912.961999,0.408459,0.256500,0.990181
392.870505,4484.511456,0.404014,0.267429,0.991064
392.870505,4343.796720,0.398471,0.271000,0.989414
392.870505,4832.819465,0.395776,0.256929,0.986954
392.870505,4931.288286,0.391280,0.261071,0.986962
392.870505,5226.555434,0.387973,0.254857,0.984196
350.365526,4918.824199,0.374084,0.234357,0.984002
350.365526,4741.081033,0.374153,0.243786,0.982916
350.365526,4792.777166,0.366908,0.233143,0.981270
338.725893,3818.629960,0.357353,0.212286,0.981838
338.725893,4193.012378,0.353116,0.224500,0.982170
284.407774,4009.580508,0.346104,0.219929,0.981834
284.407774,4210.040376,0.346976,0.226000,0.982404
284.407774,4156.315076,0.348282,0.221143,0.980136
284.407774,4625.799923,0.353063,0.223500,0.980033
284.407774,4381.083269,0.362773,0.231571,0.981558
284.407774,4076.390546,0.368214,0.233857,0.982695
284.407774,4025.386464,0.368635,0.226000,0.982016
284.407774,3855.449485,0.361922,0.222000,0.982626
250.287818,3953.594047,0.362376,0.228214,0.982410
250.287818,3910.540915,0.360029,0.228643,0.981673
250.287818,3662.975865,0.358227,0.225429,0.981500
250.287818,3967.680890,0.351416,0.212357,0.979081
242.345579,4045.740334,0.350108,0.224214,0.976536
242.345579,3908.286224,0.349863,0.217643,0.975841
196.714150,3572.159900,0.340984,0.210286,0.973829
173.033610,3454.554185,0.344982,0.220714,0.975077
173.033610,3377.176236,0.341804,0.226857,0.972392
173.033610,3341.992536,0.346318,0.212214,0.976422
173.033610,3192.167524,0.349157,0.222857,0.976574
155.824015,3006.785696,0.346904,0.219929,0.976138
129.877369,3129.870567,0.348971,0.216071,0.974783
129.877369,3279.322777,0.351661,0.215214,0.975020
129.877369,3421.774311,0.354798,0.226071,0.975588
129.877369,3443.758980,0.350314,0.225357,0.975055
129.877369,3578.030732,0.342800,0.204786,0.974773
129.877369,3064.789697,0.346661,0.223071,0.974796
129.877369,3426.807004,0.343988,0.215000,0.975458
129.877369,3286.896099,0.345876,0.210429,0.977679
129.877369,3179.065058,0.340976,0.215429,0.977043
129.877369,3439.150360,0.343714,0.213714,0.979076
129.877369,3289.553301,0.346147,0.218286,0.979207
129.877369,3283.179850,0.346786,0.215643,0.979506
