# Semilla: 1729463276
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
514.234151,4696.527073,0.484047,0.334857,0.998054
832.798176,5064.725604,0.479986,0.339357,0.997340
1263.693128,4923.549840,0.477216,0.309929,0.996398
1799.700757,5712.133291,0.471798,0.317143,0.995471
1138.536967,5307.207697,0.467763,0.315143,0.994342
791.331616,4380.704573,0.465441,0.320071,0.993994
1034.167858,4868.310784,0.458310,0.325000,0.992969
566.571444,4690.547159,0.452882,0.310643,0.992385
439.485837,4619.085676,0.449704,0.305929,0.991623
793.800888,4028.923933,0.447416,0.287286,0.992047
1284.994672,4575.893135,0.441204,0.291714,0.990962
1460.711306,5117.889118,0.440898,0.299143,0.991212
632.799984,5239.407722,0.438414,0.292429,0.991144
1237.133912,5154.719286,0.434696,0.288071,0.990369
1139.649149,4982.464907,0.429694,0.279000,0.991665
436.729804,5275.447551,0.425153,0.287143,0.991018
526.018054,5401.346846,0.420884,0.260643,0.989102
814.367799,4969.103515,0.419816,0.274214,0.991194
946.838795,4603.526429,0.415008,0.277286,0.990475
1152.405820,4679.597320,0.404192,0.264714,0.991096
1341.146159,4778.898316,0.402459,0.251857,0.991091
1322.723904,4618.069933,0.396280,0.257071,0.991114
546.136564,5227.508276,0.396363,0.237286,0.989701
1133.870209,6056.620713,0.388259,0.243929,0.985637
1110.051154,6344.612005,0.382816,0.251786,0.983598
883.055400,6792.932507,0.376945,0.243357,0.977474
992.818445,6565.964219,0.376455,0.252929,0.979639
1559.870414,6363.144058,0.371380,0.239286,0.978896
1175.038848,6387.070285,0.377245,0.253714,0.979361
1320.465681,6161.836332,0.375082,0.245929,0.981775
953.002451,5649.718779,0.373912,0.254786,0.982404
916.183501,5921.806186,0.369045,0.235643,0.979710
1075.294835,5612.514367,0.364886,0.230429,0.982582
1618.379372,5852.409010,0.358412,0.232143,0.982237
1138.737176,6160.482794,0.357643,0.239500,0.981102
975.993653,6535.040613,0.358414,0.235214,0.981798
1005.147938,6001.837985,0.359133,0.230929,0.984113
859.378898,5474.166946,0.353049,0.220786,0.985842
1426.219049,5510.650095,0.353986,0.229500,0.985270
1106.184021,5312.426108,0.354071,0.231357,0.985916
301.511033,5535.109630,0.352980,0.236571,0.985321
736.057074,5512.290225,0.346594,0.218786,0.986136
716.681376,5936.875314,0.341686,0.219643,0.986066
1042.192705,5074.794923,0.344831,0.220929,0.988203
1087.809505,5348.922808,0.345994,0.210143,0.987284
439.239130,6107.157895,0.347427,0.228357,0.985633
1144.926160,5950.437856,0.347561,0.230357,0.983764
1082.464728,6639.397980,0.350363,0.225286,0.983990
1202.879160,6361.287783,0.345402,0.227000,0.984690
906.122153,5681.044467,0.349137,0.218286,0.986447
1014.106096,5808.712830,0.351347,0.227929,0.985674
724.984611,5683.910867,0.348288,0.222286,0.984763
514.956764,5626.209637,0.353065,0.229857,0.984676
530.666424,5849.128374,0.353012,0.231643,0.984568
1482.579255,5589.926057,0.346961,0.218071,0.981910
686.519258,5528.897307,0.347573,0.232357,0.980945
563.562203,4952.431083,0.346637,0.223429,0.981272
1039.977745,5167.367770,0.348137,0.216786,0.980347
786.677535,5528.962243,0.349280,0.227143,0.980411
699.584762,5095.907716,0.343186,0.210643,0.981055
973.929460,5358.177142,0.342027,0.219714,0.978973
1262.937311,5277.057641,0.334700,0.221929,0.977561
1691.875733,5391.552893,0.333137,0.205929,0.976560
1457.219970,5434.092853,0.335784,0.221071,0.976141
809.140325,5259.787175,0.333182,0.216643,0.975304
1039.634299,5023.645300,0.338202,0.215571,0.979250
850.071203,5139.219121,0.343010,0.218571,0.980300
790.989923,5541.643031,0.339537,0.230857,0.979412
996.018883,5658.786755,0.342502,0.223929,0.981205
1765.038726,5734.133916,0.345096,0.235714,0.980656
611.892633,5279.505441,0.346831,0.228286,0.983226
1155.014757,5256.202085,0.345118,0.223571,0.982199
628.109152,4646.479480,0.349331,0.221500,0.982105
571.862191,4647.898139,0.348927,0.227571,0.983958
1064.302162,4683.340664,0.348002,0.234143,0.981299
767.586418,4380.957354,0.341580,0.211714,0.982947
694.982248,4320.361003,0.336441,0.220429,0.981902
786.059057,4784.902963,0.337596,0.214929,0.983101
1192.629198,4411.735129,0.334765,0.226143,0.983111
1177.159209,4512.124546,0.330706,0.219643,0.982486
981.222863,4739.737877,0.325561,0.204786,0.979885
899.361723,4578.593519,0.326586,0.214929,0.980192
783.921276,4868.152034,0.318316,0.198286,0.983142
800.187235,4813.439297,0.317467,0.207714,0.981567
793.816385,4783.205059,0.308008,0.203286,0.979601
614.744726,4918.345615,0.305694,0.193000,0.977826
389.734783,4912.346129,0.306700,0.203929,0.979761
1170.819609,4780.397567,0.307661,0.201071,0.980171
1496.017054,4566.275832,0.310255,0.201643,0.981238
379.849528,4893.637393,0.314102,0.190143,0.984001
1133.207257,4645.407260,0.310741,0.196500,0.983928
785.490509,4898.413470,0.314547,0.196786,0.984080
942.446330,4742.768221,0.311367,0.205357,0.982667
1049.710321,4531.617144,0.314484,0.207143,0.984383
