MejorEval,PromedioEval
934.375090,3267.342915
637.308081,3102.420352
637.308081,3023.575558
637.308081,2743.144863
570.845732,2511.446047
570.845732,2266.633329
570.845732,2269.760370
570.845732,2279.564968
570.845732,2306.373055
570.845732,2112.079573
570.845732,1979.917761
570.845732,1863.444788
512.736305,1941.248303
512.736305,1578.917562
512.736305,1467.952082
315.456454,1659.044549
315.456454,1606.459041
315.456454,1396.739525
315.456454,1685.767704
315.456454,1627.216981
315.456454,1496.925423
315.456454,1345.180247
279.810091,1434.024507
279.810091,1462.037877
279.810091,1395.781549
279.810091,1404.700045
279.810091,1479.961937
279.810091,1639.509679
215.284408,1157.520844
215.284408,1248.596995
215.284408,1015.070471
215.284408,826.405798
215.284408,637.525862
140.926165,516.160540
140.926165,372.631319
133.155878,348.182931
133.155878,311.008435
133.155878,271.502863
118.995055,298.733578
106.420053,248.737692
106.420053,232.899864
106.420053,294.267770
97.762260,312.352526
97.762260,345.373615
97.762260,343.292414
91.708421,304.642672
91.708421,222.159369
91.708421,217.362979
82.951357,165.193823
82.951357,159.815339
82.951357,184.915576
82.951357,120.772429
82.951357,214.889084
82.951357,208.846735
82.951357,190.313383
82.951357,234.903675
82.951357,174.050773
73.134660,158.188020
67.317968,133.676456
59.156438,256.172733
59.156438,165.014668
55.377441,143.068653
55.377441,131.711061
54.483243,117.704645
54.483243,128.573675
54.483243,183.157135
53.373446,162.516890
51.130500,185.307641
51.130500,179.402298
51.130500,204.692742
50.415031,126.159759
50.415031,185.687080
49.360509,155.737474
49.360509,184.424738
49.239977,245.998607
49.205370,203.969756
47.909915,199.143306
47.909915,257.568472
47.909915,153.744983
46.905613,112.812316
44.255128,144.148069
44.255128,150.561121
41.613541,159.198591
20.891446,80.512865
20.891446,105.886908
20.891446,150.006852
17.610958,100.729633
17.610958,85.925572
17.610958,97.464377
17.500814,113.811613
17.500814,103.434812
17.500814,90.477009
17.500814,78.190753
17.253347,94.197309
17.253347,103.060538
17.253347,51.756249
10.031153,93.585760
10.031153,165.741800
10.031153,115.769943
10.031153,108.988837
10.031153,98.161585
10.030266,60.151364
9.667183,81.857911
9.667183,111.144452
9.667183,65.878852
9.667183,139.530197
9.667183,121.867299
9.667183,217.384292
9.480834,230.402509
9.457340,127.001656
9.447428,65.487355
9.357181,213.564391
9.357181,168.419051
9.326254,317.532412
9.326254,212.291117
9.326254,278.778319
9.326254,131.321345
9.024999,114.190435
9.024999,117.640764
9.024999,106.583418
9.024999,85.207835
9.024999,84.517315
9.024999,102.607721
9.024999,119.136695
9.024999,81.862797
9.024999,110.446545
9.024999,14.737589
8.927605,102.850261
8.916087,196.392148
8.916087,99.826065
8.916087,46.956692
8.916087,83.714066
8.869710,131.009868
8.847100,159.149550
8.847100,15.863093
8.847100,63.892545
8.847100,14.964856
8.847100,20.704847
8.839532,102.025907
8.839532,41.844317
8.839532,68.250889
8.839532,77.410314
8.839532,111.115610
8.833242,144.188848
8.833242,147.408518
8.817156,223.862519
8.817156,129.151443
8.817156,145.230305
8.817156,107.290313
8.817156,138.375500
8.817156,113.395503
8.817156,85.377901
8.817156,33.560587
8.801735,72.840446
8.801735,143.125630
8.801735,161.682039
8.801735,142.534705
8.801735,53.548836
8.801735,126.830929
8.785685,88.122897
8.785685,29.342148
8.785685,141.153618
8.785685,140.174449
8.785685,150.922099
8.785685,108.447940
8.785685,158.949649
8.774127,183.668799
8.773902,97.468170
8.773598,69.797325
8.773598,89.828292
8.773598,94.626580
8.772027,117.161361
8.772027,83.956519
8.772027,206.032020
8.771731,175.632239
8.770526,155.738670
8.770526,98.905325
8.768635,165.772327
8.768635,211.149908
8.768635,50.714223
8.768467,76.025111
8.768321,144.823739
8.767300,86.421226
8.767249,61.523775
8.763800,60.113336
8.762596,58.854327
8.762596,118.659806
8.762596,58.703971
8.762596,49.148273
8.762596,58.084690
8.762596,103.587646
8.762596,278.478376
8.760566,112.056983
8.760566,107.985805
8.760566,47.782024
8.760566,133.948010
8.760566,168.697929
8.760566,142.314176
8.759692,169.225104
8.759692,299.663762
8.758760,172.954590
8.756818,151.349201
8.756818,50.261718
8.756818,200.567169
8.756818,261.583373
8.756818,245.722668
8.756818,90.701462
8.756818,84.058868
8.756593,113.151375
8.755672,106.783453
8.755570,110.658401
8.755570,167.065042
8.755570,111.876406
8.755570,102.477267
8.755069,112.582267
8.753169,165.833786
8.753169,139.239736
8.753169,75.373151
8.753169,164.539108
8.751916,157.062780
8.751916,255.033881
8.751916,190.706175
8.751916,157.436971
8.751703,92.558064
8.751703,96.878743
8.751703,95.423874
8.751678,138.739842
8.751678,46.108255
8.751678,32.987952
8.750996,63.257626
8.750996,21.226018
8.750996,74.590094
8.750996,75.688443
8.750996,162.830452
8.750996,126.475633
8.750996,108.863810
8.750996,81.062338
8.750996,118.330626
8.750996,165.091314
8.750996,144.223411
8.750497,58.037724
8.750497,77.899597
8.750497,129.218545
8.749900,89.512370
8.749900,145.494363
8.749900,170.115608
8.749900,116.487942
8.747976,123.790702
8.747976,129.238603
8.747976,92.811002
8.747926,72.770972
8.747713,62.233132
8.747713,143.112218
8.747713,270.042040
8.747481,131.657593
8.747481,217.283812
8.747235,134.591951
8.747235,175.327872
8.747235,98.235806
8.746790,120.433601
8.746790,40.091549
8.746790,101.599438
8.746790,183.146202
8.746790,201.975319
8.746781,141.616392
8.746760,75.686811
8.746642,88.166326
8.746642,241.540770
8.746642,263.444712
8.746577,220.277501
8.746577,54.174111
8.746577,88.818656
8.746577,147.832367
8.746405,221.101584
8.746405,123.523084
8.746405,59.381716
8.746405,124.182264
8.746394,202.903127
8.746323,139.237228
8.746323,16.288947
8.746289,84.245597
8.746102,83.686891
8.746102,149.980395
8.746102,128.193128
8.746102,74.376567
8.745763,156.738598
8.745763,138.394945
8.745763,37.902668
8.745763,66.211860
8.745763,104.281177
8.745755,19.958915
8.745755,135.057681
8.745617,74.806369
8.745617,50.490730
8.745615,83.807931
8.745615,87.945636
8.745615,85.073939
8.745523,136.214477
8.745523,197.251940
8.745523,203.142574
8.745522,127.100376
8.745505,121.275956
8.745505,110.929704
8.745505,82.903491
8.745453,93.644567
8.745443,75.248960
8.745443,90.282060
8.745443,84.426192
8.745396,112.193089
8.745396,87.685539
8.745396,139.238168
8.745396,105.606406
8.745396,182.249480
8.745396,99.127127
8.745396,73.304529
8.745396,120.880570
8.745390,111.748720
8.745378,85.881296
8.745378,163.550720
8.745378,165.051387
8.745369,84.070263
8.745369,115.236313
8.745369,112.946193
8.745369,45.573511
8.745331,51.577123
8.745331,134.951776
8.745331,56.771511
8.745331,58.042721
8.745331,108.884684
8.745331,139.897587
8.745331,168.770832
8.745331,103.439162
8.745331,134.788928
8.745313,70.482597
8.745313,115.223206
8.745313,88.944031
8.745313,17.359446
8.745313,22.099033
8.745305,215.187134
8.745305,318.285761
8.745304,201.950375
8.745300,267.555274
8.745300,205.930383
8.745300,74.911333
8.745290,47.773528
8.745290,115.350627
8.745275,126.083731
8.745275,44.074069
8.745275,16.654775
8.745275,83.344352
8.745275,113.700997
8.745275,49.420891
8.745275,52.073340
8.745275,82.722539
8.745274,50.275048
8.745272,93.695189
8.745272,86.466066
8.745272,106.785375
