# Semilla: 1729463407
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
716.811185,3334.049290,0.487282,0.299786,0.997630
716.811185,3068.523412,0.483447,0.273357,0.996956
716.811185,2636.265425,0.477927,0.264571,0.996826
690.449084,2498.958101,0.477965,0.251429,0.997123
690.449084,2554.481035,0.472518,0.251357,0.996957
690.449084,2298.936580,0.468794,0.245429,0.997610
690.449084,2736.085869,0.466967,0.243786,0.997470
690.449084,2201.752980,0.461059,0.233000,0.994994
667.211617,2110.606797,0.459635,0.248357,0.995161
667.211617,2038.162941,0.455467,0.239286,0.995134
667.211617,2442.732787,0.453629,0.233500,0.995573
667.211617,2033.067107,0.452792,0.239714,0.995220
667.211617,2096.598862,0.452273,0.236714,0.995673
667.211617,1917.132659,0.449945,0.221929,0.995536
180.095101,1936.950963,0.445908,0.218714,0.993951
180.095101,1745.819348,0.440996,0.207286,0.994245
180.095101,1623.786493,0.436590,0.201429,0.993956
180.095101,1660.653135,0.435149,0.206929,0.993680
180.095101,1620.559436,0.438839,0.216071,0.993241
180.095101,1700.575303,0.438957,0.224500,0.993159
180.095101,1650.358527,0.429667,0.209357,0.992527
180.095101,1760.946371,0.424120,0.205929,0.991456
180.095101,1470.638909,0.414143,0.182857,0.987158
180.095101,1405.607052,0.413265,0.188357,0.987421
176.540684,1423.019912,0.414508,0.178857,0.986838
163.253307,1525.060564,0.405633,0.182214,0.985841
163.253307,1304.144859,0.393414,0.183714,0.983755
154.861848,960.489396,0.380680,0.178786,0.984045
92.979627,966.983320,0.363231,0.166143,0.980616
92.979627,863.636139,0.342573,0.161714,0.976895
92.979627,980.311590,0.334100,0.162429,0.976548
92.979627,653.311059,0.312747,0.145000,0.975051
92.979627,449.621252,0.301998,0.139929,0.972942
92.979627,450.710351,0.299792,0.137714,0.975077
92.979627,463.460147,0.303761,0.144857,0.977154
92.979627,533.951092,0.291594,0.144286,0.974682
92.979627,440.940537,0.278329,0.130500,0.974742
80.231766,361.491075,0.273553,0.132714,0.972103
80.231766,313.719107,0.265647,0.124714,0.970685
77.795102,196.590914,0.262084,0.123214,0.969783
74.415293,195.170746,0.250861,0.117857,0.967849
56.132761,144.316867,0.247294,0.116714,0.965673
56.132761,117.645373,0.243863,0.108714,0.965460
56.132761,125.609194,0.236512,0.101571,0.967292
56.132761,174.135356,0.234994,0.095786,0.965249
56.132761,157.961527,0.226498,0.102500,0.963293
56.132761,181.623293,0.227531,0.100500,0.961090
56.132761,222.848102,0.235763,0.105429,0.962424
56.132761,198.149709,0.239296,0.107500,0.960461
52.658570,146.219129,0.240888,0.102929,0.961332
52.658570,134.263950,0.230965,0.107071,0.959960
52.658570,178.929497,0.234298,0.104929,0.961220
45.512539,101.303938,0.225682,0.094143,0.960302
45.512539,105.465676,0.218227,0.098429,0.960971
45.512539,125.653466,0.216735,0.092857,0.963300
45.512539,143.605579,0.215441,0.091929,0.963029
45.512539,93.039258,0.216476,0.096357,0.961876
45.512539,90.007247,0.216790,0.092929,0.963999
45.512539,115.847826,0.207467,0.093143,0.962332
45.512539,137.098682,0.204053,0.095857,0.961920
45.384306,172.953600,0.196418,0.089214,0.960557
45.384306,182.334674,0.199653,0.087286,0.962346
35.074008,120.886234,0.201216,0.089071,0.962399
35.074008,82.058003,0.196922,0.085857,0.963812
35.074008,103.865472,0.187755,0.077143,0.961367
34.246123,83.662036,0.185012,0.078286,0.963381
34.246123,90.181606,0.170637,0.068214,0.962452
29.681524,88.110220,0.172037,0.068929,0.961850
29.681524,81.790033,0.170982,0.069000,0.960629
29.681524,120.668698,0.169461,0.071143,0.962837
29.681524,170.708352,0.176551,0.075071,0.961973
29.681524,125.215631,0.177220,0.077286,0.962598
26.063389,154.656751,0.168106,0.072071,0.962208
26.063389,177.916105,0.166888,0.070714,0.964145
24.667267,127.560317,0.173353,0.076786,0.964083
24.667267,261.564956,0.176482,0.077643,0.963957
24.667267,228.513376,0.176951,0.078571,0.964047
24.667267,122.755122,0.178900,0.078786,0.965587
24.667267,100.784175,0.183043,0.079214,0.966093
19.175047,140.434524,0.184620,0.074571,0.965845
19.175047,161.534307,0.186147,0.076357,0.966030
19.149436,294.363257,0.187151,0.080214,0.965698
19.149436,268.077543,0.184296,0.083000,0.966017
19.149436,159.961243,0.181810,0.079286,0.963570
18.599212,38.944305,0.175594,0.081286,0.960149
18.599212,111.477658,0.173555,0.072643,0.959179
17.263631,195.753293,0.180592,0.077000,0.958704
16.761031,227.196536,0.182116,0.077571,0.958483
16.761031,234.090357,0.185251,0.082071,0.960853
15.332904,156.535072,0.185351,0.082214,0.958865
14.461886,61.880226,0.186769,0.076357,0.956480
14.461886,51.170056,0.185188,0.079643,0.955888
14.461886,44.686354,0.184312,0.074929,0.952296
14.461886,123.845554,0.183263,0.082714,0.950109
14.434747,59.094817,0.182782,0.079286,0.951408
14.434747,85.719676,0.183839,0.087357,0.952871
14.033002,153.793207,0.185078,0.086000,0.953031
14.033002,87.636148,0.183827,0.080714,0.954349
14.033002,114.422520,0.188086,0.080857,0.955236
14.033002,99.081017,0.185071,0.082357,0.955001
14.033002,136.227280,0.183859,0.073500,0.954526
14.033002,173.963036,0.179684,0.077000,0.954030
14.033002,315.282123,0.182939,0.080286,0.957087
14.033002,237.231406,0.180749,0.080643,0.956631
13.566304,54.568185,0.178292,0.082286,0.960034
13.566304,46.629784,0.174069,0.077857,0.963060
12.330443,132.656718,0.176527,0.075571,0.967066
12.330443,223.154837,0.178565,0.080071,0.968649
12.330443,155.868986,0.178031,0.078929,0.968706
11.637676,130.918504,0.178022,0.077000,0.966540
11.637676,22.351202,0.178520,0.080571,0.967360
11.637676,52.028502,0.178890,0.084286,0.968463
11.637676,82.175109,0.182922,0.091929,0.968201
11.637676,73.563409,0.185233,0.087214,0.969006
11.637676,18.832192,0.185224,0.084214,0.968073
11.637676,39.131285,0.188055,0.091143,0.967921
10.896267,23.631147,0.188578,0.089071,0.970369
10.819612,84.391303,0.187843,0.089000,0.969533
10.623792,155.389419,0.182910,0.086714,0.969070
10.623792,181.936420,0.182012,0.085357,0.968940
10.623792,136.961337,0.187333,0.082357,0.966399
10.623792,134.204170,0.189912,0.086000,0.966875
10.566056,23.038444,0.186586,0.078500,0.966399
10.425684,44.621965,0.183631,0.081857,0.967029
10.425684,58.619692,0.186673,0.085071,0.967389
10.425684,23.912142,0.185120,0.079357,0.968541
10.425684,85.489032,0.182237,0.085714,0.970057
10.425684,129.337985,0.176824,0.081214,0.968364
10.425684,56.515895,0.173882,0.080929,0.969287
10.291505,54.899036,0.176145,0.078357,0.967789
10.291505,90.101251,0.177647,0.083714,0.967134
10.291505,39.235439,0.176290,0.081071,0.968428
10.291505,56.925341,0.184078,0.084429,0.968753
10.280245,56.910160,0.178069,0.084643,0.968406
10.280245,117.177404,0.172245,0.080143,0.968301
10.211603,124.690606,0.168706,0.070286,0.968730
9.770298,222.125505,0.169173,0.082071,0.970715
9.770298,144.662481,0.162622,0.073929,0.970954
9.770298,80.575223,0.158967,0.074571,0.970852
9.770298,105.865969,0.156751,0.075071,0.971432
9.770298,145.638687,0.159435,0.074214,0.972963
9.649530,163.018157,0.156635,0.071714,0.971568
9.649530,190.377490,0.154761,0.073214,0.972937
9.649530,138.376647,0.148933,0.070286,0.974350
9.649530,157.540515,0.151006,0.073000,0.975936
9.570136,193.163298,0.151639,0.070929,0.976177
9.536183,104.358256,0.153024,0.072357,0.973795
9.490091,83.890127,0.148800,0.065214,0.973192
9.465334,138.568836,0.147059,0.069714,0.972870
9.425174,164.403319,0.144698,0.066143,0.971225
9.425174,164.555695,0.138251,0.064571,0.971668
9.410219,172.569078,0.141631,0.062857,0.971021
9.395515,140.799747,0.136378,0.059429,0.970028
9.395515,102.897045,0.140206,0.063714,0.971308
9.395515,43.140391,0.138682,0.062071,0.971706
9.395515,49.324441,0.140153,0.061500,0.971511
9.395515,46.288285,0.139165,0.062786,0.970810
9.355438,22.410280,0.135790,0.060214,0.969235
9.312653,24.574085,0.135282,0.059500,0.968342
9.312653,106.014450,0.138251,0.066071,0.968479
9.312653,163.045841,0.144071,0.069143,0.968600
9.312653,76.757891,0.140012,0.065071,0.967379
9.312653,104.105489,0.147241,0.070357,0.969442
9.245760,30.316650,0.147343,0.066143,0.971306
9.245760,85.643114,0.145498,0.067357,0.969136
9.245760,152.884847,0.146257,0.069143,0.969427
9.245760,106.673474,0.146976,0.070000,0.971508
9.245760,168.407560,0.148337,0.069857,0.970818
9.245760,166.457388,0.148510,0.069071,0.971297
9.245760,115.982576,0.147527,0.067929,0.973092
9.180868,69.210125,0.145318,0.063500,0.975503
9.180868,74.403792,0.144565,0.060714,0.975855
9.139705,49.516904,0.144037,0.063714,0.975542
9.139705,58.107486,0.140676,0.057643,0.974493
9.139705,85.820951,0.137739,0.058786,0.975447
9.139705,107.014123,0.135043,0.054929,0.977027
9.111246,106.484054,0.139992,0.064000,0.978176
9.081100,152.138528,0.144194,0.065786,0.977041
9.081100,131.964767,0.146496,0.071071,0.978030
9.081100,152.085645,0.147208,0.068857,0.976108
9.081100,157.872072,0.148245,0.067143,0.973941
9.081100,116.212310,0.146390,0.069500,0.973037
9.081100,197.814654,0.143731,0.070857,0.973621
9.081100,125.782019,0.139486,0.065143,0.971878
9.081100,144.173707,0.137661,0.066286,0.972076
9.081100,112.453095,0.130806,0.059929,0.971637
9.068300,81.260348,0.125969,0.060786,0.970210
9.068300,154.630119,0.126084,0.057643,0.971112
9.068300,181.579037,0.127559,0.063000,0.971893
9.056455,231.887513,0.132212,0.064786,0.973851
9.056455,143.122834,0.137733,0.069286,0.976495
9.056455,46.847438,0.135931,0.064714,0.975846
9.039867,18.197732,0.136610,0.064500,0.977140
9.039867,47.861029,0.135655,0.061643,0.978445
