MejorEval,PromedioEval
37.134224,87.992526
37.134224,90.136267
18.877784,83.696305
17.336104,76.179663
17.336104,86.501781
17.336104,86.188433
17.336104,89.222170
16.283594,86.727713
16.283594,87.344203
16.283594,89.069976
16.283594,94.565306
9.797755,87.901897
9.797755,81.852748
9.797755,86.578554
9.797755,84.157402
9.797755,87.165822
8.558648,82.731132
8.558648,88.980502
8.558648,89.103450
8.558648,87.668283
8.558648,90.631736
8.558648,96.957801
8.558648,91.475295
8.558648,94.707864
8.558648,99.245684
8.558648,96.726660
8.558648,92.562013
8.558648,90.248764
8.558648,93.579968
8.558648,93.644854
8.558648,88.044766
8.558648,89.168178
8.558648,87.344956
8.558648,89.542455
8.558648,82.984153
8.558648,87.094419
8.558648,76.823150
8.558648,74.470513
8.558648,72.753808
8.466599,75.432235
4.917753,64.865268
4.917753,67.083502
4.917753,68.948621
4.917753,67.717299
4.917753,64.210705
4.917753,58.552950
4.917753,55.223459
4.917753,54.123533
4.917753,49.992998
4.917753,50.598973
4.917753,61.343704
4.917753,59.451604
4.917753,63.431186
4.917753,58.598522
4.917753,60.969115
4.917753,58.174600
4.917753,55.857583
4.917753,55.467930
4.917753,61.040443
4.917753,59.662752
4.917753,67.085348
4.917753,63.108705
4.917753,63.181130
4.917753,63.506552
4.917753,63.363460
4.917753,57.547521
4.917753,64.237305
4.917753,64.390205
4.917753,63.903251
4.917753,62.117115
4.917753,60.322188
4.917753,60.928799
4.917753,61.140144
4.917753,62.819375
4.917753,64.709903
4.917753,62.710802
4.917753,61.994642
4.917753,61.472354
4.917753,57.288529
4.917753,53.378360
4.917753,51.932333
4.917753,61.350437
4.917753,59.584410
4.917753,59.136708
4.014854,62.282416
4.014854,64.199778
4.014854,66.120992
4.014854,69.394161
4.014854,67.571844
4.014854,69.999662
4.014854,69.287076
4.014854,71.586086
4.014854,74.688274
4.014854,74.838794
4.014854,74.324964
4.014854,70.159566
4.014854,73.357920
4.014854,72.677428
4.014854,74.404751
4.014854,69.835324
4.014854,62.145489
4.014854,63.012592
4.014854,69.210166
4.014854,59.447783
3.094947,56.214909
3.094947,60.441762
3.094947,61.340707
3.094947,66.627232
3.094947,62.916240
3.094947,61.623007
3.094947,64.990485
3.094947,65.379533
3.094947,70.794338
3.094947,69.284980
3.094947,64.374741
3.094947,61.924538
3.094947,60.997792
2.468265,58.076496
2.468265,60.478949
2.468265,65.652097
2.468265,65.923130
2.468265,56.841968
2.468265,58.873150
2.468265,58.549786
2.468265,66.307516
2.468265,61.057075
2.468265,62.695179
2.468265,55.763789
1.717985,56.261618
1.717985,58.911084
1.717985,62.090279
1.717985,60.987914
1.717985,60.678589
1.717985,62.422834
1.717985,61.496867
1.717985,61.549533
1.663037,59.535148
1.663037,64.382554
1.663037,68.751956
1.663037,71.756441
1.663037,72.199297
1.663037,69.900451
