# Semilla: 1729461881
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
43.133010,83.602134,0.486114,0.340357,0.998381
39.200598,87.742152,0.477986,0.318286,0.997496
39.200598,86.207767,0.471331,0.334714,0.996687
39.200598,88.097987,0.469012,0.306071,0.997573
39.200598,87.027812,0.464767,0.310571,0.997238
39.200598,88.231857,0.457804,0.313714,0.996483
39.200598,89.692088,0.454567,0.314143,0.996600
26.027410,82.010590,0.450988,0.306714,0.996149
26.027410,83.094101,0.449904,0.291429,0.995345
26.027410,86.363159,0.444396,0.292786,0.992810
26.027410,81.818607,0.438488,0.275429,0.993142
26.027410,84.759461,0.427065,0.268286,0.990243
26.027410,83.065355,0.426457,0.282429,0.988432
26.027410,84.547238,0.421598,0.279929,0.986119
26.027410,86.764491,0.415369,0.267143,0.985095
26.027410,80.720184,0.409124,0.265286,0.983802
26.027410,83.884723,0.406543,0.278071,0.983600
26.027410,79.638335,0.405076,0.258571,0.987017
26.027410,79.785184,0.401394,0.268071,0.985851
23.251638,78.695476,0.403196,0.274786,0.987267
23.251638,79.830277,0.400131,0.250714,0.985704
23.251638,82.559496,0.399165,0.262929,0.989304
23.251638,76.841572,0.392996,0.241071,0.987541
23.251638,83.737302,0.392094,0.255143,0.985402
23.251638,81.149095,0.396812,0.255571,0.986085
23.182874,81.827877,0.394096,0.253571,0.984402
21.242885,82.489661,0.396929,0.250643,0.984111
21.242885,80.507759,0.388961,0.256429,0.982929
21.242885,81.647716,0.385416,0.244143,0.982880
21.242885,80.599166,0.389127,0.266214,0.983583
21.242885,80.208930,0.385218,0.259857,0.983251
18.368961,79.377400,0.374902,0.240571,0.982827
18.368961,78.674820,0.373998,0.237857,0.982477
14.916930,74.023414,0.376404,0.259786,0.983098
14.916930,74.477580,0.375990,0.246071,0.981470
14.916930,80.612042,0.383243,0.246429,0.980787
14.916930,81.481508,0.387282,0.256214,0.980298
14.916930,82.728559,0.384922,0.253071,0.978950
10.077600,81.852754,0.374537,0.233714,0.980131
10.077600,79.947648,0.368178,0.227000,0.979224
10.077600,82.676695,0.370784,0.241071,0.981679
10.077600,81.365861,0.369602,0.237071,0.980995
10.077600,78.284101,0.366198,0.233071,0.979572
10.077600,80.801203,0.359188,0.225929,0.977699
10.077600,80.053134,0.355245,0.232500,0.975954
10.077600,76.347174,0.351471,0.221786,0.975213
10.077600,74.882350,0.349390,0.217643,0.975607
10.077600,70.759151,0.345249,0.211714,0.976303
10.077600,71.074859,0.338663,0.217571,0.975362
10.077600,74.398569,0.337835,0.210071,0.977078
9.329137,70.699648,0.336708,0.197714,0.977448
9.329137,67.464947,0.331757,0.205214,0.977886
9.329137,72.176831,0.332627,0.199000,0.979061
9.329137,74.658663,0.332284,0.211143,0.979157
9.329137,70.590446,0.331341,0.204000,0.980437
9.329137,74.753742,0.330767,0.210714,0.979764
9.329137,74.550890,0.330722,0.204143,0.980891
9.329137,79.660433,0.335137,0.218786,0.979617
9.329137,76.808495,0.335369,0.203643,0.979261
9.329137,77.056702,0.333155,0.207714,0.980560
9.329137,78.783389,0.340084,0.202571,0.980820
9.314947,77.028714,0.334259,0.202571,0.980671
9.314947,75.436583,0.326439,0.203857,0.978829
9.314947,71.725339,0.328065,0.199500,0.979428
9.314947,74.435788,0.327753,0.202714,0.977639
9.314947,79.584050,0.322537,0.192429,0.978621
8.992310,72.564706,0.325878,0.205571,0.979588
8.992310,78.171833,0.330492,0.210357,0.979704
8.968543,74.048403,0.326484,0.211929,0.982035
8.968543,74.832908,0.326494,0.220071,0.982668
8.968543,77.721964,0.327951,0.202071,0.982279
8.968543,81.032354,0.323092,0.204357,0.983521
8.968543,83.695760,0.322659,0.201000,0.984679
8.968543,83.979273,0.321453,0.206429,0.985509
8.968543,87.213067,0.324873,0.195429,0.984457
8.968543,89.516971,0.316161,0.196286,0.984561
8.968543,79.362889,0.321327,0.208857,0.981726
8.968543,79.950920,0.324396,0.208143,0.982526
8.968543,78.842446,0.331653,0.213143,0.982348
8.968543,72.153414,0.331292,0.212929,0.980286
5.872682,72.268434,0.326959,0.197714,0.980232
5.872682,78.122636,0.321388,0.208786,0.978408
5.872682,76.766514,0.314951,0.196571,0.975489
5.372637,78.570112,0.318927,0.205000,0.973799
5.372637,71.002980,0.316696,0.198929,0.971421
5.372637,70.597908,0.313498,0.196643,0.970552
5.372637,75.031339,0.312445,0.201500,0.971152
5.372637,76.101342,0.309496,0.194929,0.971551
5.372637,71.524019,0.317671,0.206143,0.973532
5.372637,79.682934,0.317665,0.204929,0.970857
3.715583,84.149322,0.313090,0.192857,0.967930
3.352130,76.142037,0.304231,0.189429,0.964481
3.352130,73.783841,0.302657,0.181429,0.964167
3.352130,69.076348,0.308220,0.187286,0.967526
3.218808,70.068204,0.313708,0.199286,0.967271
3.218808,72.880544,0.309406,0.196286,0.965348
3.218808,74.896786,0.310088,0.195857,0.963163
3.218808,68.173364,0.310147,0.197571,0.964093
3.218808,70.523284,0.312765,0.198786,0.964943
2.347617,69.961016,0.313857,0.193643,0.965198
2.347617,67.013294,0.317776,0.206929,0.968410
2.347617,66.973755,0.320069,0.208286,0.968141
2.347617,71.049940,0.323184,0.211500,0.967036
2.347617,67.818881,0.323488,0.191143,0.966157
2.347617,69.086212,0.329684,0.210714,0.965185
2.347617,72.160774,0.329094,0.213571,0.964349
2.347617,65.874301,0.328945,0.204643,0.963759
2.347617,66.879422,0.327765,0.214214,0.966263
2.347617,64.640582,0.324178,0.208857,0.964154
2.347617,71.939277,0.325545,0.206000,0.966194
2.347617,74.388337,0.330610,0.203571,0.967163
2.347617,71.519739,0.331827,0.214000,0.971360
2.347617,71.976865,0.328184,0.205500,0.970876
2.347617,71.104791,0.332184,0.220929,0.971404
2.347617,73.659035,0.336743,0.212214,0.973890
2.347617,74.761269,0.335876,0.211429,0.975386
2.347617,69.533788,0.333135,0.219071,0.976253
2.019053,69.624373,0.330896,0.205643,0.975099
2.019053,76.364877,0.331708,0.201357,0.979547
2.019053,76.651433,0.331900,0.202071,0.980636
2.019053,74.973044,0.331708,0.213714,0.981172
2.019053,83.156045,0.335088,0.214857,0.983334
2.019053,79.204544,0.333035,0.208286,0.984557
1.790075,85.346316,0.330327,0.210429,0.985190
1.790075,84.066672,0.332922,0.204429,0.985398
