# Semilla: 1729461922
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
41.612519,91.112138,0.487884,0.346714,0.997401
36.459166,89.597967,0.478992,0.333500,0.995622
49.568450,93.165994,0.474829,0.319857,0.996543
36.235812,90.664356,0.470222,0.325429,0.996436
35.304429,86.585205,0.464965,0.315071,0.995821
49.141687,89.790487,0.460290,0.296429,0.994499
41.927087,90.477473,0.456445,0.303071,0.993498
31.150535,86.889433,0.449194,0.305643,0.993332
19.201829,90.669585,0.444847,0.310214,0.992466
35.605162,88.690918,0.440967,0.296500,0.991600
43.951822,91.394597,0.437555,0.295071,0.990953
39.565916,88.268817,0.434876,0.281000,0.992364
46.664437,90.963576,0.431349,0.280429,0.992740
45.474848,92.187065,0.424631,0.275643,0.992680
50.290575,91.009027,0.422331,0.281143,0.992981
45.108724,89.886714,0.419337,0.269214,0.993746
50.435702,89.605830,0.421737,0.277143,0.993185
34.080546,85.948850,0.417841,0.271071,0.992025
47.132896,91.121284,0.417716,0.264143,0.991512
40.376218,84.958333,0.409524,0.273857,0.990048
38.102525,91.112882,0.406067,0.269214,0.989108
46.795346,91.007733,0.404786,0.260929,0.989403
50.023820,92.905015,0.406594,0.272071,0.986949
47.238030,96.888065,0.407937,0.261000,0.987325
47.145224,89.963048,0.403653,0.260357,0.989085
39.811988,94.507914,0.399696,0.266571,0.987471
24.911341,91.454805,0.387851,0.245071,0.989613
25.662506,92.868616,0.385367,0.255500,0.989157
39.713450,94.294454,0.375637,0.246071,0.987333
43.990051,90.359018,0.374492,0.237643,0.986086
26.613390,93.740810,0.377471,0.242929,0.985836
28.995489,91.208160,0.373249,0.249071,0.985086
30.418575,87.552026,0.369431,0.244214,0.980334
37.114263,92.278059,0.368439,0.239000,0.979860
34.584022,90.958394,0.364853,0.241571,0.977822
18.779678,92.096206,0.365812,0.238286,0.976236
39.662599,87.492070,0.365390,0.234214,0.976963
45.009204,91.957944,0.365661,0.237786,0.977400
33.929639,91.022860,0.368084,0.243786,0.978189
31.899700,90.788732,0.366557,0.233786,0.975312
31.603592,86.428203,0.366359,0.235143,0.974272
32.817750,79.549799,0.367735,0.234857,0.976692
30.056598,78.903618,0.364678,0.245357,0.973954
39.005235,84.460841,0.369376,0.233286,0.972459
39.326512,85.236654,0.374349,0.243143,0.972170
40.323320,91.194034,0.370229,0.230429,0.973682
18.021509,86.319004,0.372733,0.252429,0.975099
18.689639,89.783379,0.373467,0.246929,0.977494
15.390130,87.147145,0.368882,0.241000,0.977725
20.880122,91.341268,0.371265,0.244143,0.979052
23.416827,91.855282,0.365022,0.232071,0.975579
28.963878,92.458150,0.365102,0.237500,0.978527
34.440939,97.060760,0.366922,0.240357,0.978633
27.916564,88.294678,0.365090,0.245143,0.978421
26.921242,93.560230,0.361702,0.249786,0.978655
14.378900,100.864258,0.367227,0.243643,0.979988
29.811330,96.721306,0.371139,0.241571,0.980951
14.571224,91.817067,0.367761,0.239429,0.980632
5.897789,90.906349,0.366678,0.242714,0.978944
20.559802,93.747844,0.366484,0.242714,0.978586
38.758327,92.311564,0.363873,0.226571,0.978379
22.683270,92.457060,0.358298,0.237714,0.977156
35.481233,93.211494,0.363584,0.234071,0.977238
30.127883,94.959246,0.364027,0.247000,0.978872
25.198102,88.007804,0.366055,0.223357,0.978673
48.491070,88.795164,0.367798,0.238857,0.979536
24.521591,87.913336,0.368104,0.242857,0.979483
21.248445,90.474890,0.365692,0.245571,0.980316
35.457564,87.345629,0.366673,0.248643,0.982024
23.304310,86.288609,0.368010,0.238429,0.982753
24.693491,86.264220,0.370180,0.251571,0.982477
28.732526,89.156556,0.368047,0.243500,0.981497
28.234952,84.562501,0.369363,0.259000,0.981240
29.397817,87.342401,0.366312,0.249929,0.980202
35.895845,86.566259,0.367249,0.238714,0.979901
32.918208,87.817555,0.370124,0.244929,0.980175
34.899016,88.013001,0.370337,0.247929,0.980608
40.375877,93.097702,0.366696,0.236714,0.980743
53.479621,95.898967,0.362333,0.230143,0.983138
30.764276,94.119014,0.362059,0.239857,0.983591
29.377142,93.512950,0.361133,0.240714,0.980890
39.674316,95.539450,0.358776,0.236429,0.981858
25.091206,100.066281,0.356180,0.226286,0.979888
32.758230,99.127331,0.352659,0.227500,0.978320
26.480487,98.205273,0.348029,0.237214,0.980365
39.543572,95.704371,0.352339,0.235000,0.979829
