MejorEval,PromedioEval
15.117237,83.663859
44.074952,84.608909
29.756396,85.292418
48.191635,90.518455
30.702479,85.384708
42.697244,89.590803
34.948742,88.098526
32.617146,90.857784
31.881559,86.519116
42.093420,88.188041
49.329579,86.596657
42.953304,85.088081
44.872618,86.098927
43.094580,87.142944
36.865913,87.514460
47.510059,88.954534
37.370604,87.930932
36.399489,90.318943
46.718248,86.344185
43.816592,83.481165
39.703022,86.409892
33.567798,87.179931
42.914560,92.216811
39.037152,85.709278
30.320237,83.407729
38.207042,88.458700
39.954535,83.978013
48.027487,85.678740
36.814118,85.113563
32.120606,82.351604
36.836675,81.748102
43.742842,84.719671
34.833984,84.018969
43.225843,81.218968
38.927381,78.843174
36.858173,81.651147
33.121601,82.286908
31.533375,80.477291
39.436297,81.635829
26.475045,79.586990
35.034154,78.579291
36.254355,77.619725
37.722919,77.877294
29.182018,75.775938
16.339261,77.509637
26.442676,81.734821
25.210523,81.408456
29.018795,79.536833
40.152133,81.694450
39.661222,79.767295
37.685949,80.547204
39.168511,85.053696
40.498707,78.701984
42.590208,84.111388
31.627201,84.657292
49.125087,83.919439
43.275039,81.581249
40.426114,83.548162
25.654081,81.153615
32.315628,83.076017
39.838807,81.377148
39.249449,81.761641
32.332214,82.119203
35.728692,78.377572
42.473501,83.384998
36.370552,83.980840
44.158370,82.862272
25.715341,78.565516
32.138937,80.223068
41.957742,82.764080
38.657624,85.173368
42.772317,84.540201
30.389089,81.736003
42.147628,87.105264
40.875783,85.433206
42.229217,85.127543
29.739175,85.571571
46.672649,83.369183
33.555667,87.357956
41.330344,87.728037
42.791777,82.002295
37.685007,79.248159
29.260589,75.821337
31.661408,73.521082
36.455363,75.824988
32.699730,79.953503
28.278690,77.058028
37.080198,75.945479
32.865859,73.149372
26.640784,72.724337
31.625327,74.342830
33.849182,71.290507
38.256472,73.922950
29.964886,77.720343
36.227267,77.460317
40.791214,84.198208
28.952625,81.822845
30.086481,82.538670
27.477363,78.189315
47.401549,77.321912
34.850097,77.617834
38.072583,80.843559
41.325551,79.353532
40.056957,83.944072
39.957323,83.997961
45.636481,81.140199
46.186146,88.388912
38.529653,82.428588
45.789411,81.386578
29.708077,83.268925
33.851489,87.785493
33.574414,79.223742
36.543786,89.123451
37.474166,86.336160
41.413781,86.023951
31.013867,85.462205
28.157843,78.911135
28.126133,79.769287
17.095799,83.394704
34.776528,82.738416
28.824407,85.679991
29.349824,78.563051
41.003402,78.593733
29.329659,73.020468
25.122751,75.736443
37.066416,80.800489
40.048034,76.927522
38.770128,79.239830
34.550297,75.627444
30.967029,78.111636
28.919579,79.235995
26.800769,76.785908
38.048784,76.863021
36.580916,78.150972
29.197609,76.841804
28.286318,76.022904
36.399453,79.958308
39.097112,84.110953
45.461155,84.363613
27.352929,84.043193
25.948091,84.067995
37.396467,80.953588
37.110655,83.311147
39.366561,86.786410
28.079375,75.985488
35.974082,77.714383
33.961475,81.830257
37.113236,82.852504
34.812738,76.227584
29.636927,77.246167
31.583247,79.327887
30.254600,82.333962
38.555745,80.663886
38.642166,78.691671
40.409354,75.298854
39.871814,72.772212
35.057041,75.681322
29.725433,76.480010
32.728475,76.833934
27.489645,75.723841
28.552191,78.566459
31.559307,78.065332
44.343452,73.295487
29.449863,75.151485
27.128928,73.340839
29.326356,76.509141
30.225213,78.753929
24.127375,78.004880
33.835112,77.817971
37.298524,78.302421
35.778775,78.629675
30.454862,78.236918
33.572765,77.445477
30.433763,73.411369
36.976206,78.536459
37.072879,75.745971
34.959942,77.546608
32.204569,75.839398
35.047123,76.782274
39.078942,79.892171
23.152119,78.002239
37.582520,82.339827
39.537800,80.523901
41.517771,85.456402
32.805031,89.633080
38.470277,90.352195
47.718667,93.248171
37.078331,95.126554
49.173663,93.118511
39.996507,91.096844
41.525805,89.195669
35.410242,84.755456
36.833131,86.534058
22.592565,84.302119
21.527343,84.620066
30.387770,80.477454
44.089587,84.018767
27.980553,78.888650
35.464944,80.984902
35.464279,77.745884
39.753786,86.944077
35.636354,83.176261
34.394253,82.437352
41.319571,81.027292
31.840143,84.046045
39.065000,85.255489
40.925895,92.385450
40.419688,92.990386
42.303801,90.371910
40.923734,90.000800
24.805789,84.851837
43.408652,90.312719
30.422678,84.151752
48.985791,89.796523
53.279649,88.798469
44.764140,89.067748
48.545379,86.724823
40.107053,87.858480
37.119597,89.893958
43.194710,82.387330
26.157392,92.079970
40.767491,97.028502
49.323697,96.615164
45.248547,98.888447
48.189501,94.659454
42.638747,92.572268
46.676551,98.243517
46.291683,99.538546
49.901749,100.401470
61.658761,99.395035
52.650832,103.305152
50.335869,105.317871
43.425767,101.375715
43.341394,97.941851
48.316256,100.084073
47.684480,102.717676
42.901901,104.523403
42.707211,103.091808
35.237855,101.866433
58.882535,103.957061
59.997731,103.476729
61.542606,99.681368
19.661069,95.208849
43.141179,101.711661
58.024080,100.126919
40.176300,95.387754
27.249558,96.896662
37.408523,96.296220
33.678906,93.376151
37.001468,92.178467
47.193139,93.248218
53.084309,100.428062
53.404737,96.163783
56.702285,95.221451
34.693610,94.933118
40.980477,96.320282
