MejorEval,SolActiva
95.632051,99.642996
95.632051,101.205988
95.632051,101.205963
95.632051,106.061135
95.632051,106.061333
95.632051,105.257751
95.632051,105.261847
95.632051,104.862398
95.632051,104.862334
95.632051,104.181766
95.632051,104.179464
95.632051,101.093136
95.632051,101.081474
95.632051,101.083009
95.632051,101.081916
95.632051,101.081916
95.632051,101.131585
90.834277,90.834277
90.834277,91.130487
90.763878,90.763878
90.725833,90.725833
78.219634,78.219634
78.169966,78.169966
78.169966,95.203073
78.169966,95.202016
78.169966,95.203040
78.169966,95.202528
78.169966,105.230210
78.169966,105.398346
78.169966,80.777849
78.169966,80.778212
78.169966,80.778020
78.169966,80.781092
78.169966,80.774950
78.169966,80.967393
78.169966,80.970427
78.169966,80.970427
78.169966,80.971484
78.169966,80.604541
78.169966,80.757020
76.274493,76.274493
76.274397,76.274397
76.079502,76.079502
69.710540,69.710540
69.709009,69.709009
69.709009,69.710416
67.027304,67.027304
66.982372,66.982372
66.982277,66.982277
66.695654,66.695654
66.695654,66.695654
66.650109,66.650109
66.650105,66.650105
66.650105,66.700215
66.650105,66.700126
66.650105,66.700130
66.650105,66.741305
66.650105,66.741305
66.650105,66.740699
66.650105,66.740699
66.650105,66.740699
66.650105,66.740650
66.650105,66.739593
66.650105,66.764948
66.650105,66.765037
66.650105,66.921667
66.650105,66.921667
66.650105,66.921667
56.158272,56.158272
56.158272,56.162389
56.158272,56.162389
56.158272,56.160988
56.158272,56.161338
56.158272,56.161350
56.158272,56.161350
56.141596,56.141596
56.141596,56.141596
56.141596,56.141646
56.140616,56.140616
56.074104,56.074104
56.074104,56.074104
56.074104,56.074818
56.071904,56.071904
56.071904,56.071904
56.071904,56.076838
56.071904,56.076838
56.071904,56.076838
56.071904,56.075415
46.060909,46.060909
46.060909,46.060919
46.060872,46.060872
46.060872,46.060872
46.060872,46.061051
45.822939,45.822939
45.822939,45.822939
45.822754,45.822754
45.822754,45.822754
45.822339,45.822339
45.820119,45.820119
45.819762,45.819762
45.809898,45.809898
45.809898,45.810206
45.807351,45.807351
45.707130,45.707130
45.707130,45.707176
45.707130,45.707215
45.703125,45.703125
45.701893,45.701893
45.701893,45.701915
45.701544,45.701544
45.701544,45.701544
45.636218,45.636218
45.636218,45.636218
45.635585,45.635585
45.635585,45.635585
45.635407,45.635407
45.635407,45.635407
45.633749,45.633749
45.633749,45.633749
45.633009,45.633009
45.632701,45.632701
45.610689,45.610689
45.610304,45.610304
45.609954,45.609954
45.609944,45.609944
45.609944,45.609944
45.609790,45.609790
45.609790,45.609790
35.557958,35.557958
35.557958,35.557958
35.557958,35.557958
35.525118,35.525118
35.525118,35.525118
35.525118,35.525118
35.525105,35.525105
32.117011,32.117011
32.117011,32.117011
24.728947,24.728947
24.728947,24.728947
24.728947,24.728947
24.728947,24.728947
24.728947,24.728947
24.728947,24.728947
24.538129,24.538129
24.538129,24.538129
24.538129,24.538129
24.538129,24.538129
24.538129,24.538129
24.538129,24.538129
24.501459,24.501459
20.736608,20.736608
20.736608,20.736608
20.736608,20.736608
20.736608,20.736608
20.736608,20.736608
20.736605,20.736605
20.736605,20.736605
20.736605,20.736605
20.736605,20.736605
20.736605,20.736605
20.736605,20.736605
20.736605,20.736605
20.736605,20.736605
20.736605,20.736605
20.680556,20.680556
20.672129,20.672129
20.672129,20.672129
20.666372,20.666372
20.665543,20.665543
20.665543,20.665543
20.665543,20.665543
20.665543,20.665543
20.665543,20.665543
20.665508,20.665508
20.665508,20.665508
20.665508,20.665508
20.665508,20.665508
20.665508,20.665508
20.665508,20.665508
20.665508,20.665508
20.665508,20.665508
20.665508,20.665508
20.656371,20.656371
20.656371,20.656371
20.551920,20.551920
20.551920,20.551920
20.551920,20.551920
20.551849,20.551849
20.551834,20.551834
20.551834,20.551834
20.551834,20.551834
20.551834,20.551834
20.551834,20.551834
20.551834,20.551834
20.545378,20.545378
20.545378,20.545378
20.545378,20.545378
20.545378,20.545378
20.545378,20.545378
20.529255,20.529255
20.529255,20.529255
20.529255,20.529255
20.529255,20.529255
20.529255,20.529255
20.529255,20.529255
20.529255,20.529255
20.528978,20.528978
20.528978,20.528978
20.528978,20.528978
20.384499,20.384499
20.384499,20.384499
20.382468,20.382468
20.382468,20.382468
20.382468,20.382468
20.382293,20.382293
17.448575,17.448575
17.448575,17.448575
17.448569,17.448569
17.448569,17.448569
17.448569,17.448569
17.448569,17.448569
17.448569,17.448569
17.448569,17.448569
17.448569,17.448569
17.448569,17.448569
17.448014,17.448014
17.448014,17.448014
17.448014,17.448014
17.448014,17.448014
17.434288,17.434288
17.434263,17.434263
17.434263,17.434263
17.434263,17.434263
17.434263,17.434263
17.433153,17.433153
17.433153,17.433153
17.433153,17.433153
17.433149,17.433149
17.433149,17.433149
17.433149,17.433149
17.433149,17.433149
17.433149,17.433149
17.433149,17.433149
17.433048,17.433048
17.433048,17.433048
17.433048,17.433048
17.415323,17.415323
17.415323,17.415323
16.352777,16.352777
16.332938,16.332938
16.332938,16.332938
16.332938,16.332938
16.332938,16.332938
16.332938,16.332938
12.233692,12.233692
12.233692,12.233692
12.233692,12.233692
12.233692,12.233692
12.233692,12.233692
12.233642,12.233642
12.233642,12.233642
12.233642,12.233642
12.233642,12.233642
5.468754,5.468754
5.468754,5.468754
5.468754,5.468754
5.468754,5.468754
5.468754,5.468754
5.468754,5.468754
5.468754,5.468754
5.468754,5.468754
5.468450,5.468450
5.468450,5.468450
5.465144,5.465144
5.465144,5.465144
5.465144,5.465144
5.465131,5.465131
5.465131,5.465131
5.465131,5.465131
5.465131,5.465131
5.465131,5.465131
5.465131,5.465131
5.465131,5.465131
5.465131,5.465131
5.465131,5.465131
4.952320,4.952320
4.932316,4.932316
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
4.931390,4.931390
2.038572,2.038572
2.038572,2.038572
2.028872,2.028872
2.028872,2.028872
1.900870,1.900870
1.900870,1.900870
1.900870,1.900870
1.900870,1.900870
1.900870,1.900870
1.900870,1.900870
1.900863,1.900863
1.900863,1.900863
1.900863,1.900863
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.900851,1.900851
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899249,1.899249
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.899248,1.899248
1.690819,1.690819
1.690819,1.690819
1.690819,1.690819
1.690819,1.690819
1.690819,1.690819
1.690819,1.690819
1.690819,1.690819
1.690612,1.690612
1.690612,1.690612
1.690612,1.690612
1.689009,1.689009
1.689009,1.689009
1.689009,1.689009
1.689009,1.689009
1.689009,1.689009
1.689009,1.689009
1.689009,1.689009
1.689009,1.689009
1.689009,1.689009
1.688932,1.688932
1.688932,1.688932
1.688932,1.688932
1.688932,1.688932
1.688932,1.688932
1.688932,1.688932
1.688932,1.688932
1.688932,1.688932
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.688931,1.688931
1.586528,1.586528
1.586528,1.586528
1.586528,1.586528
1.586528,1.586528
1.586528,1.586528
1.584827,1.584827
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557612,1.557612
1.557511,1.557511
1.557511,1.557511
1.557511,1.557511
1.557511,1.557511
1.557511,1.557511
1.557511,1.557511
1.557511,1.557511
1.557511,1.557511
1.557511,1.557511
1.346289,1.346289
1.346289,1.346289
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.936682,0.936682
0.883879,0.883879
0.883879,0.883879
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
0.855068,0.855068
