MejorEval,SolActiva
69.386555,69.387883
69.386555,69.429516
69.386555,69.428851
69.386555,70.310701
69.386555,79.584494
69.386555,79.919353
69.386555,79.584494
69.386555,79.584571
69.386555,79.753020
69.386555,79.128701
69.386555,79.357163
69.386555,82.547957
69.386555,82.547969
69.386555,82.522883
69.303083,69.303083
69.303083,69.304262
69.303083,69.304993
69.303083,72.523286
69.303083,72.523309
69.303083,72.532788
69.303083,72.542227
69.303083,73.215145
69.303083,73.064973
69.303083,73.091113
69.303083,82.643219
69.303083,82.632292
69.303083,82.631997
69.303083,82.633182
69.303083,82.634979
69.303083,82.339117
69.303083,82.377064
69.303083,82.822501
69.303083,85.116249
69.303083,85.116932
69.303083,85.117023
69.303083,84.548336
69.303083,84.621128
69.303083,84.965447
69.303083,84.292529
69.303083,84.283038
69.303083,84.191152
69.303083,84.190912
69.303083,84.191264
69.303083,84.180002
69.303083,84.104184
69.303083,81.111190
69.303083,80.777198
69.303083,80.775993
69.303083,80.781456
69.303083,78.385308
69.303083,77.562138
69.303083,77.568700
69.303083,77.569362
69.303083,77.538599
61.713994,61.713994
61.713994,61.715055
61.571795,61.571795
61.571775,61.571775
61.536460,61.536460
61.536460,61.536940
58.973270,58.973270
58.973270,58.973305
56.266213,56.266213
56.266213,66.588282
56.266213,66.887454
56.266213,66.885657
56.266213,66.867823
56.266213,63.998730
56.266213,63.979656
56.266213,73.245549
56.266213,73.216816
56.266213,73.208567
56.266213,73.210611
56.266213,73.210911
56.266213,73.206105
56.266213,73.338297
56.266213,73.915180
56.266213,73.915124
56.266213,73.792570
56.266213,73.869572
56.266213,73.869873
56.266213,72.906754
56.266213,72.906745
56.266213,74.846439
56.266213,72.994376
56.266213,72.994068
56.266213,72.993812
56.266213,59.731537
56.266213,59.731751
56.266213,59.888437
56.266213,59.888499
56.266213,59.737713
56.266213,59.737691
56.266213,59.663498
56.266213,60.703869
56.266213,60.712984
56.266213,60.712806
56.266213,60.709965
56.266213,60.711381
56.266213,60.711480
56.266213,60.711336
56.266213,60.555506
56.266213,58.234917
56.266213,60.555506
56.266213,60.565227
56.266213,60.558394
50.775200,50.775200
50.752632,50.752632
50.752632,50.752703
50.752632,50.753932
50.374764,50.374764
50.374764,57.698628
50.374764,57.698575
50.374764,67.481769
50.374764,67.481747
50.374764,67.482744
50.374764,67.481747
50.374764,67.481491
50.374764,67.481513
50.374764,68.412033
50.374764,59.965342
47.135043,47.135043
47.135043,62.035321
47.135043,62.039880
47.135043,66.358526
47.135043,66.360993
47.135043,66.295590
47.135043,66.168358
47.135043,66.168373
47.135043,71.717315
47.135043,71.782718
47.135043,71.780876
47.135043,72.224496
47.135043,72.367620
47.135043,72.385863
47.135043,72.373629
47.135043,72.372902
47.135043,72.376996
47.135043,72.246364
47.135043,72.251336
47.135043,71.885421
47.135043,71.848947
47.135043,71.843336
47.135043,71.840528
47.135043,71.840538
47.135043,54.560380
47.135043,54.561080
47.135043,55.628540
47.135043,55.628101
47.135043,55.656251
47.135043,55.655592
47.135043,55.654344
47.135043,55.674687
47.135043,55.685924
47.135043,55.685862
47.135043,55.657711
47.135043,55.674797
47.135043,55.674939
47.135043,55.685420
47.135043,57.130239
47.135043,57.221937
47.135043,75.276846
47.135043,75.136510
47.135043,75.137169
47.135043,74.148122
47.135043,86.952821
47.135043,86.955184
47.135043,86.956686
47.135043,86.888420
47.135043,86.903480
47.135043,87.096477
47.135043,87.096666
47.135043,87.187427
47.135043,78.313086
47.135043,78.331998
47.135043,78.233900
47.135043,77.564314
47.135043,77.564240
47.135043,77.564169
47.135043,78.115899
47.135043,76.671056
47.135043,76.670917
47.135043,76.656861
47.135043,76.675391
47.135043,76.678904
47.135043,76.672857
47.135043,76.229549
47.135043,76.229385
47.135043,76.267247
47.135043,84.656638
47.135043,93.633380
47.135043,93.729610
47.135043,93.765456
47.135043,94.447792
47.135043,94.447768
47.135043,94.357806
47.135043,88.602276
47.135043,88.937997
47.135043,88.936173
47.135043,88.359387
47.135043,88.275157
47.135043,88.233117
47.135043,105.526075
47.135043,105.525956
47.135043,114.929487
47.135043,115.039113
47.135043,115.413316
47.135043,115.413683
47.135043,115.392123
47.135043,115.865442
47.135043,115.865526
47.135043,115.860791
47.135043,115.813840
47.135043,115.813248
47.135043,100.855145
47.135043,100.855145
47.135043,100.854632
47.135043,100.853958
47.135043,89.547411
47.135043,89.547121
47.135043,89.557900
47.135043,89.502986
47.135043,89.503134
47.135043,89.511347
47.135043,79.136765
47.135043,79.136839
47.135043,79.150548
47.135043,77.274895
47.135043,77.274836
47.135043,77.851623
47.135043,77.851480
47.135043,75.529529
47.135043,66.231161
47.135043,65.654378
47.135043,65.656996
47.135043,76.421529
47.135043,76.421262
47.135043,76.487740
47.135043,76.487484
47.135043,76.485394
47.135043,76.486422
47.135043,85.865489
47.135043,84.446715
47.135043,85.143132
47.135043,85.280033
47.135043,74.515500
47.135043,89.626354
47.135043,89.591619
47.135043,89.592293
47.135043,89.590983
47.135043,80.793641
47.135043,80.794738
47.135043,80.794786
47.135043,102.508978
47.135043,102.544652
47.135043,102.544920
47.135043,93.609853
47.135043,89.449988
47.135043,89.450013
47.135043,89.450343
47.135043,89.076532
47.135043,89.076511
47.135043,88.843720
47.135043,88.843802
47.135043,88.841190
47.135043,79.440835
47.135043,79.440563
47.135043,79.440090
47.135043,79.439447
47.135043,79.440394
47.135043,79.301959
47.135043,77.554827
47.135043,77.554506
47.135043,77.386800
47.135043,76.505955
47.135043,76.507277
47.135043,76.506738
47.135043,76.506679
47.135043,79.087571
47.135043,80.467263
47.135043,80.535160
47.135043,78.312312
47.135043,78.312852
47.135043,75.731959
47.135043,75.729034
47.135043,75.729152
47.135043,75.508897
47.135043,75.508696
47.135043,74.518335
47.135043,74.520230
47.135043,74.518857
47.135043,74.972169
47.135043,74.605398
47.135043,74.606129
47.135043,74.611980
47.135043,74.611980
47.135043,76.359087
47.135043,76.360391
47.135043,76.360377
47.135043,76.360602
47.135043,76.360169
47.135043,74.447128
47.135043,74.468551
47.135043,84.941233
47.135043,84.935320
47.135043,84.934372
47.135043,84.957783
47.135043,84.371442
47.135043,84.751463
47.135043,84.751467
47.135043,84.939204
47.135043,84.909372
47.135043,84.776162
47.135043,84.776152
47.135043,84.777525
47.135043,84.020682
47.135043,84.020680
47.135043,83.997169
47.135043,83.909438
47.135043,83.815733
47.135043,83.816184
47.135043,94.241329
47.135043,103.469172
47.135043,101.721990
47.135043,101.688854
47.135043,101.688671
47.135043,101.776401
47.135043,101.776310
47.135043,101.786493
47.135043,101.785121
47.135043,106.140085
47.135043,106.738218
47.135043,106.871427
47.135043,106.901259
47.135043,106.897121
47.135043,106.895226
47.135043,106.834687
47.135043,106.850532
47.135043,106.857995
47.135043,107.567016
47.135043,107.566667
47.135043,107.565632
47.135043,107.561855
47.135043,107.562038
47.135043,113.694956
47.135043,113.320483
47.135043,113.320583
47.135043,113.320583
47.135043,113.320583
47.135043,113.320583
47.135043,103.027051
47.135043,103.025589
47.135043,103.025618
47.135043,102.994127
47.135043,102.994644
47.135043,103.088346
47.135043,103.088082
47.135043,103.088052
47.135043,81.275760
47.135043,81.292671
47.135043,81.292735
47.135043,81.285272
47.135043,81.428689
47.135043,81.255954
47.135043,81.250698
47.135043,81.248371
47.135043,81.235595
47.135043,81.481450
47.135043,80.424372
47.135043,80.363790
47.135043,80.428358
47.135043,80.425145
47.135043,80.421150
47.135043,82.289691
47.135043,82.297776
47.135043,82.297790
47.135043,91.530083
47.135043,84.928545
47.135043,84.927534
47.135043,84.923492
47.135043,84.923615
47.135043,95.252109
47.135043,95.219162
47.135043,95.220172
47.135043,95.220049
47.135043,95.217991
47.135043,106.384725
47.135043,106.417855
47.135043,106.418337
47.135043,106.417481
47.135043,106.417416
47.135043,106.417428
47.135043,116.334860
47.135043,116.130856
47.135043,116.147440
47.135043,116.134936
47.135043,116.140579
47.135043,116.140548
47.135043,116.141577
47.135043,116.241692
47.135043,116.241686
47.135043,116.208531
47.135043,118.431232
47.135043,118.430204
47.135043,118.430204
47.135043,118.430204
47.135043,118.430263
47.135043,118.695220
47.135043,128.068225
47.135043,128.064061
47.135043,129.252211
47.135043,119.879206
47.135043,119.907901
47.135043,108.718767
47.135043,108.720850
47.135043,109.347632
47.135043,118.720637
47.135043,123.076815
47.135043,123.076708
47.135043,106.515451
47.135043,106.516492
47.135043,107.918518
47.135043,107.918556
47.135043,107.913671
47.135043,107.968853
47.135043,107.160839
47.135043,106.944911
47.135043,106.237498
47.135043,106.239825
47.135043,106.890506
47.135043,95.703072
47.135043,93.417789
47.135043,93.404719
47.135043,93.540667
47.135043,93.540594
47.135043,94.652012
47.135043,93.486071
47.135043,95.771353
47.135043,95.621226
47.135043,95.610274
47.135043,95.610135
47.135043,79.737730
47.135043,79.738299
47.135043,79.737968
47.135043,79.880911
47.135043,80.225439
47.135043,80.225610
47.135043,80.258953
47.135043,80.184438
47.135043,79.615930
47.135043,79.625037
47.135043,79.620595
47.135043,90.784129
47.135043,90.711620
47.135043,90.711752
47.135043,90.737943
47.135043,88.412842
47.135043,99.600276
47.135043,99.622234
47.135043,99.619994
47.135043,96.915027
47.135043,96.893068
47.135043,94.495195
47.135043,94.497435
47.135043,94.514125
47.135043,94.115664
47.135043,94.116186
47.135043,94.117751
47.135043,94.117611
47.135043,83.636341
47.135043,82.074498
47.135043,82.074629
47.135043,82.074727
47.135043,94.828201
47.135043,94.828397
47.135043,94.830318
47.135043,94.830196
47.135043,94.830061
47.135043,95.926572
47.135043,95.926719
47.135043,70.835921
47.135043,79.525862
47.135043,80.611986
47.135043,80.731476
47.135043,80.740992
47.135043,84.987081
47.135043,84.987012
47.135043,84.984670
47.135043,84.967312
47.135043,79.231945
47.135043,90.181728
47.135043,90.216458
47.135043,89.165134
47.135043,86.120487
47.135043,86.119966
47.135043,86.108809
47.135043,76.734641
47.135043,76.736077
47.135043,79.250713
47.135043,79.217346
47.135043,95.279152
47.135043,95.297904
47.135043,95.652870
47.135043,96.745429
47.135043,80.478823
47.135043,80.480124
47.135043,80.480286
47.135043,76.270216
47.135043,76.270762
47.135043,76.232920
47.135043,76.232848
47.135043,61.482494
47.135043,61.481948
47.135043,61.481950
47.135043,87.404549
47.135043,74.638275
47.135043,73.912442
47.135043,73.334180
47.135043,73.333717
47.135043,73.338085
