MejorEval,PromedioEval
35.142586,79.770994
35.142586,69.361539
35.142586,71.518950
35.142586,73.441212
35.142586,67.901839
26.644432,67.144620
26.644432,64.077438
26.644432,60.328238
24.008737,64.186062
24.008737,63.329592
24.008737,65.485406
24.008737,61.371617
24.008737,61.037237
22.203826,62.679862
22.203826,60.060888
22.203826,58.087209
22.203826,57.323274
22.203826,52.473802
21.424017,52.470157
21.424017,58.473764
21.424017,54.354249
21.416934,54.351164
21.416934,54.863792
21.416934,48.965785
20.896325,45.986848
20.896325,46.776531
19.022118,46.441928
12.749436,43.734064
10.572059,38.634821
10.572059,43.667186
10.572059,38.789727
10.572059,38.692683
10.572059,34.863795
9.345251,29.784675
9.345251,31.191382
9.345251,29.768695
9.345251,31.740036
9.345251,32.914696
7.373326,30.844224
7.373326,28.910027
7.373326,28.369773
7.312234,23.633721
7.312234,27.463909
7.312234,22.445523
7.312234,18.112661
7.312234,17.183871
7.312234,15.712212
7.312234,14.432384
7.191300,11.695274
6.876215,10.048030
6.656355,9.870547
6.656355,9.365670
6.243277,8.077312
6.243277,8.736108
6.243277,8.288598
5.313494,8.333143
5.313494,8.133467
5.313494,8.571460
5.313494,7.770347
5.313494,7.248036
5.249093,7.265536
4.680883,8.198237
4.097804,8.209600
3.733814,6.922844
3.733814,6.847707
3.733814,6.771928
3.333698,6.014941
3.333698,6.131783
3.333698,5.281081
3.333698,5.355092
3.209791,5.257569
3.209791,5.915620
3.209791,5.527737
3.118424,4.384868
3.067130,5.349388
2.698321,5.118306
2.607431,5.988073
2.607431,5.486885
2.607431,5.804628
2.607431,4.473669
2.607431,4.295714
2.607431,4.483143
2.607431,5.470428
1.601137,6.013280
1.428472,5.275853
0.927423,5.814422
0.927423,6.958145
0.711604,4.208350
0.711604,4.812514
0.711604,3.904395
0.711604,2.976957
0.711604,3.692768
0.711604,2.428105
0.510670,4.249636
0.510670,2.861870
0.510670,3.881522
0.510670,4.374827
0.510670,2.355757
0.510670,2.551297
0.330030,1.801803
0.330030,2.198645
0.304501,2.494984
0.304501,2.763495
0.304501,1.232518
0.302480,3.667181
0.274915,0.758058
0.272863,0.591890
0.270912,1.899927
0.270912,2.436903
0.270912,3.669263
0.270912,2.807073
0.251250,2.425420
0.247459,1.577602
0.232456,2.122433
0.212970,0.927380
0.167078,2.783398
0.167078,2.368501
0.167078,2.939894
0.167078,3.221769
0.167078,6.097554
0.139288,4.017567
0.114422,2.217931
0.114422,0.770343
0.114422,1.849370
0.109685,1.700502
0.109685,1.071099
0.091825,1.485952
0.091601,0.695236
0.090832,1.148183
0.084767,1.328904
0.084767,1.046024
0.084767,1.038505
0.084767,1.089228
0.084767,0.673454
0.078241,0.419601
0.078241,1.660492
0.070587,1.497804
