# Semilla: 1729461971
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
33.801092,83.247028,0.488651,0.313929,0.998235
33.801092,75.596108,0.485576,0.284357,0.998032
26.947776,71.450948,0.482165,0.261071,0.997479
26.947776,69.388566,0.477518,0.240357,0.997544
26.947776,65.416755,0.477408,0.262643,0.997286
26.947776,65.724810,0.475424,0.258857,0.996347
26.947776,65.784371,0.473949,0.259000,0.995791
26.947776,65.969359,0.466782,0.268571,0.995754
26.762239,61.915401,0.461680,0.235857,0.995016
26.762239,58.429756,0.456239,0.229643,0.994173
26.762239,59.856355,0.448788,0.221500,0.993507
25.477438,53.020423,0.435576,0.203714,0.991727
25.477438,55.403571,0.433518,0.213357,0.990421
23.957578,47.828520,0.411714,0.194429,0.985078
23.957578,49.789897,0.397906,0.188571,0.983847
22.823457,44.524299,0.375686,0.168429,0.976850
22.479882,40.969037,0.363520,0.158286,0.975473
21.601064,38.327802,0.344557,0.158286,0.972457
21.367675,31.189991,0.317504,0.140429,0.970894
19.063058,28.996238,0.287416,0.123357,0.968154
19.063058,26.021342,0.283361,0.122214,0.967878
16.999898,26.045440,0.297045,0.135214,0.968917
16.999898,26.765972,0.299829,0.141429,0.970266
14.628608,24.493298,0.294547,0.147071,0.970735
14.628608,25.175784,0.288096,0.134143,0.971358
14.628608,24.128535,0.287104,0.139143,0.969788
14.628608,23.636754,0.284349,0.144571,0.970845
14.628608,22.672537,0.282451,0.141214,0.972595
14.628608,21.788013,0.276551,0.139214,0.971603
11.563576,21.318781,0.275320,0.135286,0.970169
7.351666,22.225325,0.277173,0.139857,0.970825
7.351666,20.457255,0.278084,0.137286,0.973227
7.351666,17.907493,0.283088,0.147643,0.972655
7.087431,16.193053,0.278331,0.142000,0.972875
7.087431,14.413567,0.278488,0.133429,0.974567
6.186156,14.169085,0.271073,0.116786,0.974882
6.186156,12.574867,0.262896,0.110929,0.973415
6.186156,10.886021,0.254949,0.109214,0.971562
6.186156,10.704332,0.257110,0.112000,0.972091
6.186156,10.018905,0.255220,0.115286,0.971612
6.186156,9.615999,0.252959,0.113357,0.970307
6.186156,10.537870,0.259147,0.112714,0.970699
6.186156,9.121006,0.256106,0.108714,0.971845
4.696896,9.224142,0.244835,0.104929,0.971259
3.621676,8.902569,0.235253,0.105500,0.969522
3.621676,9.101094,0.237231,0.104286,0.968818
3.621676,8.439452,0.222684,0.090714,0.968477
3.621676,8.211664,0.215212,0.087929,0.966353
3.621676,8.133372,0.218643,0.090929,0.966844
3.621676,7.891197,0.211578,0.084714,0.966716
3.621676,6.991339,0.215394,0.095714,0.964583
3.621676,7.027891,0.219190,0.090500,0.965013
3.621676,7.194977,0.219633,0.099571,0.964801
2.912844,6.165049,0.216761,0.092429,0.965116
2.912844,6.084526,0.217167,0.103786,0.966946
2.912844,6.558404,0.211276,0.094857,0.966534
2.912844,7.650806,0.208567,0.098357,0.968525
1.569919,6.423540,0.204765,0.095214,0.969641
1.569919,5.515983,0.207851,0.099571,0.969730
1.569919,5.810043,0.203235,0.098286,0.969776
1.569919,4.109808,0.200176,0.093500,0.968036
1.569919,4.550492,0.190347,0.081857,0.966472
1.569919,5.019701,0.194618,0.087500,0.967067
1.569919,3.716882,0.194369,0.088000,0.965913
1.147067,4.002464,0.191029,0.088500,0.964462
1.147067,3.642922,0.184973,0.084714,0.961114
1.100994,4.594329,0.187902,0.080143,0.962131
0.893844,3.207931,0.193878,0.086786,0.962873
0.893844,2.961199,0.195178,0.093714,0.963112
0.893844,3.279870,0.190539,0.088857,0.963071
0.869436,3.110542,0.190218,0.082500,0.962659
0.869436,3.509272,0.187794,0.082571,0.962026
0.471987,3.748928,0.180884,0.081857,0.960612
0.471987,2.126065,0.171061,0.075714,0.960884
0.404028,1.962632,0.174837,0.074429,0.963258
0.404028,3.380186,0.177255,0.076571,0.962858
0.404028,5.331431,0.179178,0.079286,0.964107
0.381108,2.998364,0.176949,0.077429,0.964590
0.381108,2.267290,0.172533,0.073500,0.962324
0.358685,2.003218,0.175273,0.077143,0.963003
0.354557,2.182456,0.166059,0.068929,0.962501
0.333595,2.690310,0.166169,0.072571,0.962692
0.293495,2.765623,0.167522,0.076357,0.962161
0.293495,2.250796,0.170976,0.078429,0.961069
0.293495,1.863657,0.171227,0.080786,0.960442
0.293495,2.614476,0.165573,0.073929,0.959305
0.265401,2.891778,0.170092,0.080071,0.959872
0.223481,2.555084,0.170035,0.084071,0.961610
0.219230,2.719449,0.173139,0.086786,0.960025
0.200151,2.613084,0.166749,0.073714,0.959005
0.200151,2.114074,0.159567,0.074643,0.958197
0.147287,2.472117,0.151757,0.065643,0.955799
0.145167,3.858822,0.153512,0.066714,0.954950
0.143073,3.217523,0.155688,0.071500,0.954670
0.135565,2.321141,0.154490,0.071786,0.953057
0.135565,3.354752,0.152031,0.061786,0.951726
0.135565,3.960818,0.146557,0.063143,0.950400
0.052630,4.734725,0.150147,0.065214,0.950653
0.052630,4.887812,0.151341,0.062429,0.949074
0.052630,2.351117,0.149388,0.061857,0.948506
0.052630,1.645787,0.148733,0.060071,0.948425
0.052630,1.871271,0.145031,0.061929,0.946519
0.052630,1.577016,0.143933,0.056071,0.946445
0.052630,1.870178,0.136902,0.055929,0.945469
0.023088,3.049207,0.131994,0.052429,0.943735
0.023088,3.640461,0.130592,0.053071,0.944670
0.019919,2.059603,0.131149,0.053786,0.943708
0.019919,2.332910,0.130992,0.054071,0.942361
0.016934,1.848506,0.123920,0.053786,0.945533
0.013071,1.039333,0.124673,0.053786,0.944975
0.013071,1.550441,0.123408,0.048857,0.942931
0.012288,3.342620,0.123818,0.049143,0.942370
0.012288,2.122829,0.118704,0.049786,0.943596
0.012110,1.381455,0.115024,0.045429,0.940557
0.012110,1.400057,0.115208,0.045714,0.940187
0.012110,1.278025,0.119273,0.049286,0.940243
0.011389,0.234104,0.118582,0.046786,0.940642
0.011389,0.926316,0.112943,0.048929,0.941160
0.009632,1.861466,0.113833,0.049429,0.941574
0.009632,1.947315,0.105412,0.044929,0.941182
0.009632,1.049330,0.107829,0.042000,0.941456
0.009632,2.137326,0.108394,0.039357,0.940605
0.009632,2.121085,0.108073,0.042571,0.940825
0.009632,1.293650,0.105269,0.042000,0.940284
0.009632,1.193307,0.105422,0.043000,0.940757
0.009632,1.644878,0.099939,0.037286,0.939096
0.009632,2.703228,0.101337,0.042286,0.939233
0.009621,2.816249,0.104863,0.043071,0.939955
0.009621,1.311553,0.105453,0.043857,0.940646
0.009499,0.715550,0.100449,0.043357,0.939457
0.009100,0.376210,0.108365,0.047071,0.938503
0.009100,0.492154,0.109780,0.040929,0.939477
0.008601,0.937062,0.115900,0.046857,0.939109
0.007969,0.919831,0.115471,0.047286,0.937899
0.007969,1.599965,0.115408,0.050643,0.934820
0.007969,0.794038,0.111741,0.046929,0.933071
0.007969,1.285154,0.108733,0.044071,0.934005
0.007969,3.001109,0.111892,0.042500,0.935413
0.007407,2.046591,0.112480,0.045214,0.935563
0.007176,2.177523,0.116131,0.049286,0.937768
0.007176,4.355640,0.120192,0.053429,0.938891
0.007176,2.120096,0.119565,0.051000,0.937823
0.007176,1.342411,0.119945,0.052929,0.934941
0.006450,1.260444,0.119461,0.049500,0.933444
0.006450,1.586383,0.122090,0.052143,0.935915
0.006450,2.007922,0.124949,0.053929,0.935707
0.006450,3.312804,0.125086,0.052500,0.933716
0.006450,2.906622,0.114378,0.047571,0.931202
0.006450,2.890024,0.112106,0.047000,0.929205
0.006450,2.471404,0.115755,0.048071,0.932685
0.006450,2.142531,0.113980,0.047143,0.933375
0.006239,1.510987,0.115943,0.046500,0.938166
0.005369,2.284083,0.121437,0.052500,0.939776
0.005369,1.465741,0.120382,0.049143,0.937439
0.005111,0.795722,0.122939,0.051571,0.938749
0.004713,0.992610,0.124635,0.047500,0.939981
0.004713,0.234847,0.127686,0.050500,0.940897
0.003093,1.967000,0.129035,0.051071,0.941431
0.002775,0.500130,0.128757,0.050357,0.945132
0.002775,0.949816,0.131294,0.054571,0.944445
0.002775,0.899376,0.126700,0.054071,0.945406
0.002775,0.676998,0.125490,0.052286,0.945509
0.002775,0.736267,0.123751,0.052714,0.945979
0.002476,1.364767,0.124006,0.056214,0.946659
0.002476,3.343710,0.125606,0.057214,0.947043
0.002476,1.751218,0.124165,0.058071,0.947931
0.002476,4.419406,0.126808,0.057571,0.950416
0.002476,3.150822,0.120039,0.051929,0.951268
0.002181,3.616509,0.120571,0.053857,0.952029
0.002181,1.847099,0.121110,0.056286,0.950466
0.002181,2.087083,0.118200,0.054000,0.950474
0.002181,2.411975,0.117127,0.049286,0.950249
0.001882,2.399609,0.118545,0.054000,0.948783
0.001882,1.201732,0.119894,0.052071,0.949103
0.001882,1.198434,0.120488,0.051286,0.949313
0.001882,0.883386,0.115761,0.047214,0.949163
0.001882,1.570078,0.118020,0.049000,0.949541
0.001873,2.166796,0.115437,0.047286,0.950119
0.001841,1.123948,0.107243,0.044214,0.949923
0.001740,2.196118,0.109131,0.046286,0.950041
0.001324,2.831960,0.107535,0.048429,0.949781
0.001324,3.587394,0.105337,0.045786,0.948055
0.001324,3.809487,0.106586,0.047429,0.950045
0.001324,2.587985,0.102735,0.043000,0.949151
0.001324,1.492785,0.102557,0.039214,0.948440
0.001324,0.840068,0.101392,0.035500,0.948425
0.001066,0.615462,0.103637,0.042143,0.947553
0.001066,0.173743,0.104455,0.045429,0.947008
0.001066,0.839322,0.105884,0.044357,0.946796
0.001066,1.950069,0.106349,0.043643,0.944956
0.001066,3.196969,0.108373,0.046714,0.944606
0.000927,1.705486,0.113102,0.046357,0.945159
0.000927,1.760377,0.112273,0.042214,0.944978
0.000823,2.121300,0.111676,0.045500,0.943833
0.000823,3.453431,0.117641,0.051071,0.944328
0.000823,3.208907,0.118110,0.049714,0.944543
0.000823,1.412068,0.117924,0.050786,0.942981
0.000823,0.701244,0.116627,0.049571,0.942457
0.000703,0.617774,0.109416,0.043714,0.940954
0.000703,2.389644,0.108676,0.043929,0.940492
0.000684,1.243366,0.103969,0.041357,0.941649
0.000684,1.905114,0.103167,0.043643,0.942632
0.000684,3.488465,0.099300,0.038214,0.942412
0.000684,2.973700,0.100902,0.041214,0.942136
0.000684,2.439810,0.105633,0.043214,0.940696
0.000674,1.316404,0.106888,0.043214,0.942384
0.000674,2.604817,0.106114,0.044071,0.940861
0.000673,2.702804,0.106578,0.041071,0.940371
0.000673,3.358099,0.103831,0.043571,0.939527
0.000580,1.073217,0.101098,0.042857,0.937527
0.000580,0.869883,0.099631,0.042857,0.936566
0.000580,0.671151,0.098216,0.042429,0.934451
0.000580,2.304588,0.097841,0.043214,0.934036
0.000580,4.574667,0.096547,0.043214,0.933025
0.000580,3.307579,0.091663,0.038500,0.931808
0.000580,3.831237,0.087310,0.035857,0.931175
0.000580,1.450679,0.086024,0.036571,0.930508
0.000580,1.123490,0.087088,0.037429,0.930446
0.000580,1.014966,0.083476,0.034429,0.929271
0.000580,0.672241,0.083606,0.035357,0.930073
0.000516,1.443554,0.084516,0.035000,0.929792
0.000516,1.949168,0.083073,0.034429,0.929406
0.000516,0.693341,0.074898,0.027857,0.929991
0.000234,1.182878,0.079551,0.030643,0.932405
0.000234,2.379648,0.079747,0.027714,0.932619
0.000234,2.235855,0.078657,0.028929,0.932715
0.000234,1.276440,0.084222,0.033357,0.933420
0.000234,1.642773,0.083788,0.032143,0.934737
0.000112,1.566634,0.082920,0.031286,0.936414
0.000112,3.147883,0.083876,0.032357,0.937311
0.000112,2.527949,0.081735,0.030143,0.938550
0.000112,1.794622,0.079851,0.029929,0.936709
0.000112,1.366031,0.082020,0.032714,0.937203
0.000100,2.220742,0.083467,0.035214,0.936317
0.000100,2.332542,0.085649,0.038071,0.936238
0.000100,1.633781,0.088531,0.037571,0.936073
0.000100,1.969671,0.089002,0.041000,0.935378
0.000099,1.521838,0.089416,0.039929,0.933506
