MejorEval,PromedioEval,Semilla
957.287166,3219.117758,1728964503
1234.721097,4296.182713,1728964504
801.578220,3475.289051,1728964506
283.764866,2869.492727,1728964507
1907.941127,5561.500230,1728964508
781.235096,4645.427444,1728964509
758.096052,4037.832273,1728964511
834.448315,5953.513990,1728964512
1365.543659,5473.348048,1728964513
1043.917601,3785.944496,1728964515
963.842416,3284.125932,1728964516
579.092177,3347.033815,1728964517
1167.974547,3778.628936,1728964518
1744.053268,3803.217293,1728964520
1984.900019,6476.735506,1728964521
883.689976,4406.249184,1728964522
570.044965,3106.335157,1728964523
1098.494416,5650.445325,1728964525
856.561628,3333.097691,1728964526
1113.797658,3628.640222,1728964527
676.264606,4082.712590,1728964528
1219.506392,4546.516093,1728964530
2329.814153,7216.266668,1728964531
439.058880,4795.934819,1728964532
1038.652889,3872.360098,1728964533
760.336476,4335.202718,1728964535
920.839671,5067.018377,1728964536
1395.636687,4459.366831,1728964537
1001.392074,4033.779705,1728964538
1548.492729,4027.482410,1728964540
