MejorEval,PromedioEval,Semilla
7.602919,608.029528,1728964515
7.300058,780.065563,1728964516
7.593110,1250.577931,1728964517
8.737685,562.264614,1728964519
8.721530,824.990677,1728964520
8.751906,425.573851,1728964521
7.644272,405.444371,1728964522
0.876493,560.955925,1728964524
7.239132,581.224874,1728964525
6.580930,1164.203883,1728964526
8.767279,952.797613,1728964527
8.950189,836.488022,1728964529
8.732125,381.955313,1728964530
8.939812,818.914835,1728964531
67.599311,829.028690,1728964532
6.709050,884.311310,1728964534
8.960401,826.022351,1728964535
8.731281,811.589012,1728964536
8.757181,942.770263,1728964538
8.788086,1073.434106,1728964539
1.839085,533.536036,1728964540
8.950523,793.661178,1728964541
3.159660,710.292806,1728964543
73.999194,812.693769,1728964544
8.741445,468.832970,1728964545
8.939661,959.653414,1728964546
8.777858,464.678926,1728964548
9.094966,457.132810,1728964549
8.940214,343.216587,1728964550
8.411581,658.752059,1728964551
