,media,mediana,moda,minimo,max,STD
Sphere Lineal,31.781397433333332,31.5003445,29.139009,18.522999,51.139433,7.539240139656089
Sphere Geometrico,21.950267633333333,0.0,0.0,0.0,123.32447,37.48687651322817
Ackley Lineal,18.948623633333334,18.992503499999998,19.319631,16.951969,20.234054,0.7548107650613147
Ackley Geometrico,8.851652066666666,2.460731,20.75016,0.053851,21.002912,9.025184114344391
Griewank Lineal,107.2633648,109.0165165,104.043082,32.621879,184.047269,35.48281261178535
Griewank Geometrico,60.1728213,0.7059225,1.569514,2.6e-05,376.460918,108.85355720401502
Rastrigin Lineal,100.507888,99.666167,125.6785,59.90309,129.362471,17.383881354551352
Rastrigin Geometrico,64.3730679,31.594871,130.385803,15.22506,174.195424,54.88520911987506
Rosenbrock Lineal,585.4943946,509.180575,582.008242,152.037338,1114.571286,279.65775117060673
Rosenbrock Geometrico,75.09837263333333,40.438318,110.417764,7.57942,806.521795,144.02484736828652
