Función,Algoritmo,Mejor Valor,Promedio,Peor Valor,Desviación Estándar,Mediana
Ackley,elitismo,1.907095,3.428372,5.014215,0.7389222381293357,3.3650805
Ackley,generacional,18.381165,19.62663846666667,20.629539,0.626039664857733,19.840379
Ackley,peores,0.000114,0.13224819999999998,2.318008,0.5019495244335098,0.000114
Griewank,elitismo,0.810187,1.1887214666666666,1.607139,0.13843683142808813,1.209042
Griewank,generacional,64.473699,142.26346330000004,238.051202,44.60251000732026,144.35128250000002
Griewank,peores,0.019731,0.1377196,0.482048,0.09314381340006789,0.12173300000000001
Rastrigin,elitismo,7.085009,20.2714617,40.89043,7.483773020954405,19.671204000000003
Rastrigin,generacional,76.116443,112.66393343333333,142.34367,16.170895799653664,113.4305445
Rastrigin,peores,1.235823,7.747866599999999,18.236847,3.5042370337259303,7.833602
Rosenbrock,elitismo,5.695898,14.789546466666666,82.500902,17.670418337659747,9.460814
Rosenbrock,generacional,516.779063,1134.783186566667,2666.981766,501.22329395503414,968.7245949999999
Rosenbrock,peores,5.487716,23.434386266666664,99.752019,27.578958854575138,8.965574499999999
Sphere,elitismo,0.009616,0.07974496666666667,0.23314,0.053025451213848454,0.0695975
Sphere,generacional,16.061197,38.80066896666667,74.035502,11.219153563120104,38.049886
Sphere,peores,0.0,0.0,0.0,0.0,0.0
